B.da content.tsv
Level	Esperanto	da	en-us	Grupo	Alternativoj	Pronoco
level	kutime ĝi ne estas tre vigla	normalt er det ikke særlig livligt	usually it is not very lively	grupo	alternativoj	prononco
level	sed por vi, kiel "novulo"	men for dig som 'rookie'	but for you as a 'rookie'	grupo	alternativoj	prononco
level	povus esti interese ĉeesti ĝin	det kunne være interessant at deltage	it might be interesting to attend it	grupo	alternativoj	prononco
level	mi supozas ke ~	Jeg gætter på, at ~	I guess that ~	grupo	alternativoj	prononco
level	la prezidanto de TEJO diros kelkajn vortojn	formanden for TEJO vil sige et par ord	the president of TEJO will say a few words	grupo	alternativoj	prononco
level	la temon de la kongreso	kongressens tema	the theme of the congress	grupo	alternativoj	prononco
level	ŝajnas, verŝajne	det ser ud til, sandsynligvis	it seems, probably	grupo	alternativoj	prononco
level	iu de LKK verŝajne prezentos la temon de la kongreso	nogen fra LKK vil formentlig præsentere kongressens emne	someone from LKK will probably present the topic of the congress	grupo	alternativoj	prononco
level	ĉiu IJK havas sian temon	hver IJK har sit tema	each IJK has its theme	grupo	alternativoj	prononco
level	mi esperas ke estos iom da muziko ankaŭ	Jeg håber, der også kommer noget musik	I hope there will be some music as well	grupo	alternativoj	prononco
level	bone, kie ĝi okazos?	hvor vil det foregå?	well, where will it take place?	grupo	alternativoj	prononco
level	en la granda prelegejo	i den store foredragssal	in the great lecture hall	grupo	alternativoj	prononco
level	kiel trovi tiun?	hvordan finder man det?	how to find that?	grupo	alternativoj	prononco
level	kiam vi eliras tiun ĉi ejon	når du forlader dette sted	when you leave this place	grupo	alternativoj	prononco
level	iru dekstren ĝis la fino de la konstruaĵo	gå lige til enden af bygningen	go right to the end of the building	grupo	alternativoj	prononco
level	dum eble 100 metroj	for måske 100 meter	for maybe 100 meters	grupo	alternativoj	prononco
level	dekstren denove, rekten dum eble 100 metroj	lige igen, lige til måske 100 meter	right again, straight for maybe 100 meters	grupo	alternativoj	prononco
level	kaj estas flava domo	og der er et gult hus	and there is a yellow house	grupo	alternativoj	prononco
level	je la maldekstra flanko de la vojo	i venstre side af vejen	on the left side of the road	grupo	alternativoj	prononco
level	ŝildoj pri ĉiuj ejoj de IJK	skilte om alle IJK-steder	signs about all IJK sites	grupo	alternativoj	prononco
level	en ĝi, vi trovos ŝildojn pri ĉiuj ejoj de IJK	i den finder du skilte om alle IJK-steder	in it, you will find signs about all IJK sites	grupo	alternativoj	prononco
level	mi sendos mesaĝon per poŝtelefono	Jeg sender en besked på mobiltelefon	I will send a message by mobile phone	grupo	alternativoj	prononco
level	se mi ne trovos	hvis jeg ikke finder det	if I don't find it	grupo	alternativoj	prononco
level	ha, bona ideo, ĝis tie!	åh, god idé, vi ses deroppe!	oh, good idea, see you up there!	grupo	alternativoj	prononco
level	en la prelegejo	i foredragssalen	in the lecture hall	grupo	alternativoj	prononco
level	gardanĝeloj? ĉu vi ŝercas?	skytsengle? laver du sjov?	guardian angels? are you kidding?	grupo	alternativoj	prononco
level	prezidanto de TEJO	formand for TEJO	president of TEJO	grupo	alternativoj	prononco
level	fine mi deziras al vi ĉiuj amuzan semajnon	til sidst ønsker jeg jer alle en sjov uge	finally I wish you all a fun week	grupo	alternativoj	prononco
level	laŭ la lastaj informoj	ifølge de seneste oplysninger	according to the latest information	grupo	alternativoj	prononco
level	ni estas 423 ĉi tie de 38 landoj	vi er 423 her fra 38 lande	we are 423 here from 38 countries	grupo	alternativoj	prononco
level	mi deziras fruktodonan kaj amuzegan IJK-semajnon	Jeg ønsker dig en frugtbar og sjov IJK-uge	I wish you a fruitful and great fun IJK week	grupo	alternativoj	prononco
level	koran bonvenon nome de la TEJO-estraro	en varm velkomst, på vegne af TEJO bestyrelsen	a warm welcome, on behalf of the TEJO board	grupo	alternativoj	prononco
level	post granda aplaŭdo	efter en stor klapsalve	after a big round of applause	grupo	alternativoj	prononco
level	ĉu vi sukcesis resti veka?	lykkedes det dig at holde dig vågen?	did you manage to stay awake?	grupo	alternativoj	prononco
level	jes, ĉefe pro mia malsato	ja, primært på grund af min sult	yes, mainly because of my hunger	grupo	alternativoj	prononco
level	ne, mi ŝercas, estis interese aŭdi	nej, jeg laver sjov. det var interessant at høre	no, I'm kidding. it was interesting to hear	grupo	alternativoj	prononco
level	estis interese aŭdi iom pri la agado	var interessant at høre lidt om aktiviteten	was interesting to hear a little about the activity	grupo	alternativoj	prononco
level	aŭdi pri la agado kaj strukturo de la movado	at høre om bevægelsens aktivitet og struktur	to hear about the activity and structure of the movement	grupo	alternativoj	prononco
level	TEJO-kunsido interesos vin	en TEJO session vil interessere dig	a TEJO session will interest you	grupo	alternativoj	prononco
level	eble iu el la TEJO-kunsidoj povas interesi vin	måske nogle af TEJO-sessionerne kan være interessante for dig	maybe some of the TEJO sessions may be interesting to you	grupo	alternativoj	prononco
level	jes eble	Ja måske	yes maybe	grupo	alternativoj	prononco
level	mi provos	Jeg vil forsøge	I will try	grupo	alternativoj	prononco
level	provos ĉeesti	vil prøve at deltage	will try to attend	grupo	alternativoj	prononco
level	mi provos ĉeesti	Jeg vil prøve at deltage	I will try to attend	grupo	alternativoj	prononco
level	ĉeesti unu	at deltage i en	to attend one	grupo	alternativoj	prononco
level	ĉeesti por vidi	deltage for at se	attend to see	grupo	alternativoj	prononco
level	iun tagon	en dag (en dag)	one day (someday)	grupo	alternativoj	prononco
level	mi provos iun tagon	Jeg vil prøve en dag	I will try one day	grupo	alternativoj	prononco
level	iun tagon ĉeesti	en dag til at deltage	one day to attend	grupo	alternativoj	prononco
level	ĉeesti iun tagon por vidi	deltage en dag for at se	attend someday to see	grupo	alternativoj	prononco
level	mi provos iun tagon ĉeesti unu por vidi	Jeg vil prøve en dag at deltage i en for at se	I will try one day to attend one to see	grupo	alternativoj	prononco
level	kio estas tio?	Hvad er det?	what is that?	grupo	alternativoj	prononco
level	kio estas tio pri ~	hvad handler det om ~	what is that about ~	grupo	alternativoj	prononco
level	gard-anĝelo	en skytsengel	a guard angel	grupo	alternativoj	prononco
level	tio pri "gardanĝelo"	det med &quot;vagtengel&quot;	that about "guard angel"	grupo	alternativoj	prononco
level	sed kio estas	men hvad er	but what is	grupo	alternativoj	prononco
level	sed kio estas tio pri "gardanĝelo"?	men hvad er det med en &quot;skytsengel&quot;?	but what is that about a "guardian angel"?	grupo	alternativoj	prononco
level	ĉu ŝerco?	en vittighed?	a joke?	grupo	alternativoj	prononco
level	ĉu malbona ŝerco?	en dårlig joke?	a bad joke?	grupo	alternativoj	prononco
level	malbona ŝerco	dårlig joke	bad joke	grupo	alternativoj	prononco
level	iu ŝerco	noget joke	some joke	grupo	alternativoj	prononco
level	iu malbona ŝerco	en dårlig joke	some bad joke	grupo	alternativoj	prononco
level	ĉu iu malbona ŝerco?	(er det) en dårlig joke?	(is that) some bad joke?	grupo	alternativoj	prononco
level	mi ŝercas	Jeg laver sjov	I'm joking	grupo	alternativoj	prononco
level	ne, mi ŝercas	nej, jeg laver sjov	no, I'm kidding	grupo	alternativoj	prononco
level	estis interese aŭdi	det var interessant at høre	it was interesting to hear	grupo	alternativoj	prononco
level	kiel kontakti ~	hvordan man kontakter ~	how to contact ~	grupo	alternativoj	prononco
level	kaj kiel kontakti tiujn anĝelojn?	og hvordan kontakter man de engle?	and how to contact those angels?	grupo	alternativoj	prononco
level	per iu IJK-preĝo eble	med en eller anden IJK bøn måske	with some IJK prayer maybe	grupo	alternativoj	prononco
level	provu! se ne funkcias vi povas iri al ~	Prøv det! hvis det ikke virker, kan du gå til ~	try it! if it doesn't work you can go to ~	grupo	alternativoj	prononco
level	vi povas iri al la ĉambro "La ĉielo" post la tagmanĝo	du kan gå til rummet &quot;The sky&quot; efter frokost	you can go to the room "The sky" after lunch	grupo	alternativoj	prononco
level	bonege, unue manĝo, poste ĉielen	fantastisk, først mad, så himlen	great, first food, then heaven	grupo	alternativoj	prononco
level	unue manĝo, poste ĉielen al la anĝelinoj	først mad, så i himlen til englene	first food, then in the sky to the angels	grupo	alternativoj	prononco
level	maltro da manĝo	#REF!	#REF!	grupo	alternativoj	prononco
level	post iom maltro da manĝo	efter lidt mindre mad	after a little less food	grupo	alternativoj	prononco
level	Kabe iras al la ĉambro "La ĉielo"	Kabe går til rummet &quot;himlen&quot;	Kabe goes to the room "the sky"	grupo	alternativoj	prononco
level	saluton. ĉu estas via unua IJK?	hej, er det din første IJK?	hello, is it your first IJK?	grupo	alternativoj	prononco
level	bone. mi tre ĝojas. mi estas Jesi	Okay. Jeg er meget glad. Jeg er Jesi	ok. I am very glad. I'm Jesi	grupo	alternativoj	prononco
level	kaj tiu ĉi estas jam mia sesa IJK	og dette er allerede min sjette IJK	and this is already my sixth IJK	grupo	alternativoj	prononco
level	jen estas papero kun kelkaj demandoj	her er et papir med nogle spørgsmål	here is a paper with some questions	grupo	alternativoj	prononco
level	papero kun demandoj kaj taskoj	papir med spørgsmål og opgaver	paper with questions and tasks	grupo	alternativoj	prononco
level	kelkaj demandoj kaj taskoj rilate al la kongreso	nogle spørgsmål og opgaver relateret til kongressen	some questions and tasks related to the congress	grupo	alternativoj	prononco
level	vi provu solvi ilin	du prøver at løse dem	you try to solve them	grupo	alternativoj	prononco
level	mi proponas ke vi provu solvi ilin	Jeg foreslår, at du prøver at løse dem	I suggest you try to solve them	grupo	alternativoj	prononco
level	kun Ana de Pollando, Boris de Germanio kaj Nacuko de Japanio	med Ana fra Polen, Boris fra Tyskland og Natsuko fra Japan	with Ana from Poland, Boris from Germany and Natsuko from Japan	grupo	alternativoj	prononco
level	nur voku min se vi bezonos helpon	bare ring til mig, hvis du har brug for hjælp	just call me if you need help	grupo	alternativoj	prononco
level	poste en la libroservo	senere i bogtjenesten	later in the book service	grupo	alternativoj	prononco
level	kiel do estis en la ĉielo?	så hvordan var det i himlen?	so how was it in heaven?	grupo	alternativoj	prononco
level	mi fakte renkontis veran anĝelinon!	Jeg mødte faktisk en rigtig engel!	I actually met a real angel!	grupo	alternativoj	prononco
level	ĉielece, mi pensas ke mi fakte renkontis veran anĝelinon!	himmelsk, jeg tror faktisk jeg mødte en rigtig engel!	heavenly, I think I actually met a real angel!	grupo	alternativoj	prononco
level	mirinde bela kaj afabla ŝi estis	hun var fantastisk smuk og venlig	she was amazingly beautiful and kind	grupo	alternativoj	prononco
level	ho, Dio mia! kaj kio estas ŝia nomo?	Åh gud! og hvad hedder hun?	oh my god! and what is her name?	grupo	alternativoj	prononco
level	aj, mi jam forgesis!	åh, jeg har allerede glemt!	oh, I already forgot!	grupo	alternativoj	prononco
level	pli kaj pli ebriiĝas	flere og flere bliver fulde	more and more gets drunk	grupo	alternativoj	prononco
level	en la trinkejo, Kabe pli kaj pli ebriiĝas	i baren bliver Kabe mere og mere fuld	in the bar, Kabe gets more and more drunk	grupo	alternativoj	prononco
level	ĉu ankaŭ la trinkejestro?	er bartenderen også?	is the bartender too?	grupo	alternativoj	prononco
level	unu bieron mi petas	en øl tak	one beer please	grupo	alternativoj	prononco
level	ĝi kostas 1 eŭron	det koster 1 euro	it costs 1 euro	grupo	alternativoj	prononco
level	ĉu vi ŝatus ankaŭ ion alian?	vil du også have noget andet?	would you like something else too?	grupo	alternativoj	prononco
level	ne dankon, biero sufiĉas por mi	nej tak, øl er nok for mig	no thanks, beer is enough for me	grupo	alternativoj	prononco
level	ĉu vere? kio pri vodko, labambo kaj inoj?	virkelig? hvad med vodka, labamba og hunner?	really? what about vodka, labamba and females?	grupo	alternativoj	prononco
level	nu, kial ne	ja, hvorfor ikke	well, why not	grupo	alternativoj	prononco
level	laŭdire ĝi estas amuza	det siges at være sjovt	it is said to be fun	grupo	alternativoj	prononco
level	mi ankoraŭ ne dancis labambon, sed laŭdire ĝi estas amuza	Jeg har ikke danset labamba endnu, men jeg har fået at vide, at det er sjovt	I haven't danced the labamba yet, but I'm told it's fun	grupo	alternativoj	prononco
level	dum la kantaĵo "La Bamba" homoj dancas	under sangen &quot;La Bamba&quot; danser folk	during the song "La Bamba" people dance	grupo	alternativoj	prononco
level	homoj dancas en granda rondo	folk danser i en stor cirkel	people dance in a big circle	grupo	alternativoj	prononco
level	kaj ene de tiu rondo dancas aliaj homoj	og inden for den kreds danser andre mennesker	and within that circle other people dance	grupo	alternativoj	prononco
level	funkcias tiel ke ~	virker således, at ~	works so that ~	grupo	alternativoj	prononco
level	funkcias tiel ke homoj dancas en granda rondo	fungerer, så folk danser i en stor cirkel	works so that people dance in a big circle	grupo	alternativoj	prononco
level	dancas en granda rondo kaj ene de tiu rondo	danser i en stor cirkel og indenfor den cirkel	dances in a big circle and within that circle	grupo	alternativoj	prononco
level	homoj dancas kaj dancas aliaj homoj	folk danser og andre mennesker danser	people dance and other people dance	grupo	alternativoj	prononco
level	tiuj dancantaj ene de la rondo	dem, der danser i kredsen	those who dance within the circle	grupo	alternativoj	prononco
level	tiuj dancantoj elektas dancanton de la rondo	de, der danser, vælger en danser fra kredsen	those who dance choose a dancer from the circle	grupo	alternativoj	prononco
level	elektas dancanton kaj kisas ŝin aŭ lin	vælger en danser og kysser hende eller ham	chooses a dancer and kisses her or him	grupo	alternativoj	prononco
level	kisas ŝin aŭ lin tri-foje sur la vangoj	kysser hende eller ham tre gange på kinderne	kisses her or him three times on the cheeks	grupo	alternativoj	prononco
level	elektas dancanton kaj kisas sur la vangoj	vælger en danser og kysser på kinderne	chooses a dancer and kisses on the cheeks	grupo	alternativoj	prononco
level	elektas dancanton de la rondo kaj kisas	vælger en danser fra kredsen og kysser	chooses a dancer from the circle and kisses	grupo	alternativoj	prononco
level	poste ili ŝanĝas lokon	så skifter de plads	then they change places	grupo	alternativoj	prononco
level	kisas, kisanto, kisito, kisonto, kisoto	kys, en kyssende person, en kysset person, en person, der vil kysse, en person, der vil blive kysset	kisses, a kissing person, a kissed person, a person who will kiss, a person who will be kissed	grupo	alternativoj	prononco
level	kaj la kisito iĝas kisonto	og den kyssede bliver en person, der vil kysse	and the kissed becomes a person who will kiss	grupo	alternativoj	prononco
level	tiuj dancantoj elektas kaj poste ili ŝanĝas lokon	de dansere vælger, og så skifter de plads	those dancers choose and then they change places	grupo	alternativoj	prononco
level	la kisinto nun estas kisoto	den person, der kyssede, er nu en person, der vil blive kysset	the person who kissed is now a person who will be kissed	grupo	alternativoj	prononco
level	tre facile, ĉu ne?	meget nemt, ikke?	very easy, right?	grupo	alternativoj	prononco
level	nu, mi esperas ke estas ~	godt, jeg håber det er ~	well, I hope it is ~	grupo	alternativoj	prononco
level	pli facile en la praktiko	nemmere i praksis	more easily in practice	grupo	alternativoj	prononco
level	esperas ke estas pli facile	håber det er nemmere	hopes it's easier	grupo	alternativoj	prononco
level	estas pli facile en la praktiko	det er nemmere i praksis	it's easier in practice	grupo	alternativoj	prononco
level	mi provos iam	Jeg vil prøve engang	I will try sometime	grupo	alternativoj	prononco
level	sed unue la bieron!	men først øllet!	but first the beer!	grupo	alternativoj	prononco
level	mi provos iam, sed unue la bieron!	Jeg prøver en dag, men først øllet!	I'll try one day, but first the beer!	grupo	alternativoj	prononco
level	saĝa knabo	en klog dreng	a smart boy	grupo	alternativoj	prononco
level	vi, kiu konas preskaŭ ĉiujn	dig der kender næsten alle	you who know almost everyone	grupo	alternativoj	prononco
level	konas preskaŭ ĉiujn ĉi tie	kender næsten alle her	knows almost everyone here	grupo	alternativoj	prononco
level	ĉu vi scias kiu estas la knabino	ved du hvem pigen er?	do you know who the girl is?	grupo	alternativoj	prononco
level	la knabino kiu kunordigis	pigen, der koordinerede	the girl who coordinated	grupo	alternativoj	prononco
level	la knabino kiu kunordigis la ’gardanĝelojn’	pigen, der koordinerede 'skytsengle'	the girl who coordinated the 'guardian angels'	grupo	alternativoj	prononco
level	vi verŝajne pensas pri Jesi	du tænker sikkert på Jesi	you are probably thinking of Jesi	grupo	alternativoj	prononco
level	jes, ĝuste!	Ja det er rigtigt!	yes, that's right!	grupo	alternativoj	prononco
level	mi memoras ke mi aŭdis	Jeg husker, at jeg hørte	I remember that I heard	grupo	alternativoj	prononco
level	nun mi memoras ke ~	nu husker jeg det ~	now I remember that ~	grupo	alternativoj	prononco
level	memoras ke mi aŭdis ŝian nomon	husk at jeg hørte hendes navn	remember that I heard her name	grupo	alternativoj	prononco
level	laŭ mi	efter min mening	in my opinion	grupo	alternativoj	prononco
level	ŝi estas stranga persono	hun er en mærkelig person	she is a strange person	grupo	alternativoj	prononco
level	laŭ mi ŝi estas stranga persono	efter min mening er hun en mærkelig person	in my opinion she is a strange person	grupo	alternativoj	prononco
level	tute ne trinkas bieron	drikker slet ikke øl	doesn't drink beer at all	grupo	alternativoj	prononco
level	kaj ne manĝas viandon	og spiser ikke kød	and does not eat meat	grupo	alternativoj	prononco
level	ŝajnas ke ~	det ser ud til, at ~	it seems that ~	grupo	alternativoj	prononco
level	ŝia sola intereso estas ~	hendes eneste interesse er ~	her only interest is ~	grupo	alternativoj	prononco
level	sola intereso estas Esperanto-agado	eneste interesse er esperanto-aktivitet	only interest is Esperanto activity	grupo	alternativoj	prononco
level	ŝajnas ke ŝia sola intereso estas Esperanto	det ser ud til, at hendes eneste interesse er esperanto	it seems that her only interest is Esperanto	grupo	alternativoj	prononco
level	sed ŝi estas tre bela	men hun er meget smuk	but she is very beautiful	grupo	alternativoj	prononco
level	estas tre bela kaj afabla	er meget smuk og venlig	is very beautiful and kind	grupo	alternativoj	prononco
level	tre bela kaj afabla laŭ mi	meget sød og venlig efter min mening	very nice and kind in my opinion	grupo	alternativoj	prononco
level	eble vi pravas	måske har du ret	maybe you are right	grupo	alternativoj	prononco
level	eble vi pravas pri tio	det har du måske ret i	maybe you are right about that	grupo	alternativoj	prononco
level	preskaŭ neniam estas en la trinkejo	er næsten aldrig i baren	is almost never in the bar	grupo	alternativoj	prononco
level	ŝi preskaŭ neniam estas ~	hun er næsten aldrig ~	she is almost never ~	grupo	alternativoj	prononco
level	ne renkontas ŝin ofte	møder hende ikke ofte	don't meet her often	grupo	alternativoj	prononco
level	mi ne renkontas ofte	Jeg mødes ikke ofte	I don't meet often	grupo	alternativoj	prononco
level	kaj do mi ne renkontas ŝin ofte	og så møder jeg hende ikke så tit	and so I don't meet her often	grupo	alternativoj	prononco
level	fajfas pri tiaj homoj	fløjter om sådanne mennesker	whistles about such people	grupo	alternativoj	prononco
level	fakte, mi tute fajfas	faktisk fløjter jeg totalt	in fact, I'm totally whistling	grupo	alternativoj	prononco
level	mi komprenas ~	Jeg forstår ~	I understand ~	grupo	alternativoj	prononco
level	tiel parolas vera trinkejestro	sådan taler en rigtig bartender	that's how a real bartender talks	grupo	alternativoj	prononco
level	prave. je via sano!	med rette, så til dit helbred!	rightly, so to your health!	grupo	alternativoj	prononco
level	je via sano! ho, bonega biero	for dit helbred! åh, fantastisk øl	to your health! oh, great beer	grupo	alternativoj	prononco
level	kompreneble. estis ja mi kiu elektis ĝin	selvfølgelig var det mig, der valgte det	of course, I was the one who chose it	grupo	alternativoj	prononco
level	ĉu vi havas ideon?	har du nogen ide?	do you have any idea?	grupo	alternativoj	prononco
level	kie eblus trovi tiun strangan knabinon?	hvor ville det være muligt at finde den mærkelige pige?	where would it be possible to find that strange girl?	grupo	alternativoj	prononco
level	trovi tiun strangan sed tre belan knabinon	at finde den mærkelige, men meget smukke pige	to find that strange but very beautiful girl	grupo	alternativoj	prononco
level	ideo kie eblus trovi ~	idé om, hvor det kan findes ~	idea where it could be found ~	grupo	alternativoj	prononco
level	havas ideon kie eblus trovi ~	har en idé om, hvor det ville være muligt at finde ~	has an idea where it would be possible to find ~	grupo	alternativoj	prononco
level	tutcerte en la Gufujo	helt sikkert i tevasken (Owlery)	definitely in the tea launge(Owlery)	grupo	alternativoj	prononco
level	tiaj homoj konstante sidas	sådanne mennesker sidder konstant	such people are constantly sitting	grupo	alternativoj	prononco
level	konstante sidas tie teumante	sidder der konstant og drikker te	is constantly sitting there drinking tea	grupo	alternativoj	prononco
level	kia teda vivo!	sikke et kedeligt liv!	what a tedious life!	grupo	alternativoj	prononco
level	Gufujo, estas trankvila ejo	te vasken (Owlery), er et roligt sted	the tea launge(Owlery), is a quiet place	grupo	alternativoj	prononco
level	trankvila ejo kie eblas trinki teon	et roligt sted, hvor du kan drikke te	a quiet place where you can drink tea	grupo	alternativoj	prononco
level	trinki teon, babili, aŭskulti trankvilan muzikon	drikke te, snakke, lytte til stille musik	drink tea, chat, listen to quiet music	grupo	alternativoj	prononco
level	aŭskulti trankvilan muzikon kaj simile	lytte til stille musik og lignende	listening to quiet music and the like	grupo	alternativoj	prononco
level	vi trovos ĝin fine de la koridoro	du finder det for enden af korridoren	you will find it at the end of the corridor	grupo	alternativoj	prononco
level	fine de la koridoro ekster la trinkejo	for enden af korridoren uden for baren	at the end of the corridor outside the bar	grupo	alternativoj	prononco
level	vi ne povas porti vian bieron	du kan ikke bære din øl	you can't carry your beer	grupo	alternativoj	prononco
level	porti vian bieron tien	tag din øl der	take your beer there	grupo	alternativoj	prononco
level	sed vi ne povas porti vian bieron tien	men du kan ikke tage din øl der	but you can't take your beer there	grupo	alternativoj	prononco
level	vere estas ujo de gufoj!	det er virkelig et sted for ugler!	it really is a place for owls!	grupo	alternativoj	prononco
level	al la dancejo unue	til dansegulvet først	to the dance floor first	grupo	alternativoj	prononco
level	eble mi iru unue	måske jeg skulle gå først	maybe I should go first	grupo	alternativoj	prononco
level	mi iru al la dancejo unue	lad mig gå til dansegulvet først	let me go to the dance floor first	grupo	alternativoj	prononco
level	la venonta persono!	næste person!	next person!	grupo	alternativoj	prononco
level	kion vi volas kara?	hvad vil du kære	what do you want dear	grupo	alternativoj	prononco
level	ĉu estas libera loko?	er der en ledig plads?	is there a free place?	grupo	alternativoj	prononco
level	jes, certe	Ja helt sikkert	yes, for sure	grupo	alternativoj	prononco
level	tre agrable ĉi tie	meget flot her	very nice here	grupo	alternativoj	prononco
level	ĉi tie en la gufujo	her i tevasken (owlery)	here in the tea launge(owlery)	grupo	alternativoj	prononco
level	mi bezonas iom da trankvilo	Jeg har brug for lidt ro	I need some tranquility	grupo	alternativoj	prononco
level	post tre streĉa tago	efter en meget stressende dag	after a very stressful day	grupo	alternativoj	prononco
level	trankvilo post streĉa tago	ro efter en stressende dag	tranquility after a stressful day	grupo	alternativoj	prononco
level	la etoso en gufujo	atmosfæren i en tevask (owlery)	the atmosphere in a tea launge(owlery)	grupo	alternativoj	prononco
level	~ estas tre bona kontrasto	~ er en meget god kontrast	~ is a very good contrast	grupo	alternativoj	prononco
level	kontrasto al la aliaj okazaĵoj	i modsætning til andre begivenheder	contrast to the other events	grupo	alternativoj	prononco
level	la aliaj okazaĵoj dum IJK	de andre begivenheder under IJK	the other events during IJK	grupo	alternativoj	prononco
level	la etoso estas kontrasto al la aliaj okazaĵoj	atmosfæren er en kontrast til de andre begivenheder	the atmosphere is a contrast to the other events	grupo	alternativoj	prononco
level	estas tre bona kontrasto, ĉu ne?	det er en meget god kontrast, ikke?	it's a very good contrast, isn't it?	grupo	alternativoj	prononco
level	jes, mallaŭta muziko	ja, blød musik	yes, soft music	grupo	alternativoj	prononco
level	mallaŭta muziko, trankvila babilado	blød musik, stille samtale	soft music, quiet conversation	grupo	alternativoj	prononco
level	trankvila babilado kaj iu interesa teo	stille chat og noget interessant te	quiet chat and some interesting tea	grupo	alternativoj	prononco
level	perfekte por rehavi fortojn	perfekt til at genvinde styrke	perfect for regaining strength	grupo	alternativoj	prononco
level	vi ŝajnas ege laca	du virker ekstremt træt	you seem extremely tired	grupo	alternativoj	prononco
level	kion vi faris dum la tuta tago?	hvad lavede du hele dagen?	what did you do all day?	grupo	alternativoj	prononco
level	unue mi faris afiŝon	først lavede jeg et indlæg	first I made a post	grupo	alternativoj	prononco
level	afiŝo por la morgaŭaj ekskursoj	indlæg til morgendagens udflugter	post for tomorrow's excursions	grupo	alternativoj	prononco
level	mi faris afiŝon por ekskursoj	Jeg lavede et indlæg til udflugter	I made a post for excursions	grupo	alternativoj	prononco
level	cetere, ĉu vi iros?	forresten, skal du med?	by the way, are you going?	grupo	alternativoj	prononco
level	iros al ekskurso	skal på udflugt	will go on an excursion	grupo	alternativoj	prononco
level	ĉu vi iros al iu ekskurso?	skal du på nogen udflugt?	are you going on any excursion?	grupo	alternativoj	prononco
level	jes, al la granda akvofalo	ja, til det store vandfald	yes, to the great waterfall	grupo	alternativoj	prononco
level	kaj poste al ekspozicio	og så til en udstilling	and then to an exhibition	grupo	alternativoj	prononco
level	ekspozicio pri moderna arto	en udstilling om moderne kunst	an exhibition on modern art	grupo	alternativoj	prononco
level	al akvofalo kaj poste al ekspozicio	til et vandfald og derefter til en udstilling	to a waterfall and then to an exhibition	grupo	alternativoj	prononco
level	bona elekto	et godt valg	a good choice	grupo	alternativoj	prononco
level	ankaŭ mi iros tien	Jeg vil også tage dertil	I will go there too	grupo	alternativoj	prononco
level	ĉiukaze, mi gvidis diskutrondon	i hvert fald ledede jeg en diskussionsgruppe	anyway, I led a discussion group	grupo	alternativoj	prononco
level	pendigi afiŝojn	at hænge plakater op	to hang posters	grupo	alternativoj	prononco
level	post la pendigado de la ekskursafiŝoj	efter ophængning af udflugtsplakaterne	after the hanging of the excursion posters	grupo	alternativoj	prononco
level	diskutrondo kun la titolo "feminismo"	diskussionsgruppe med titlen &quot;feminisme&quot;	discussion group with the title "feminism"	grupo	alternativoj	prononco
level	gvidis diskuton kun la titolo "feminismo"	førte en diskussion med titlen &quot;feminisme&quot;	led a discussion with the title "feminism"	grupo	alternativoj	prononco
level	ĉu feminismo samas en diversaj landoj?	er feminisme den samme i forskellige lande?	is feminism the same in different countries?	grupo	alternativoj	prononco
level	interesa kaj vigla diskuto	interessant og livlig diskussion	interesting and lively discussion	grupo	alternativoj	prononco
level	estis tre interesa kaj vigla	var meget interessant og livlig	was very interesting and lively	grupo	alternativoj	prononco
level	dum la lastaj kvin horoj	de sidste fem timer	for the last five hours	grupo	alternativoj	prononco
level	mi estis en longa kunsido	Jeg var i en lang session	I was in a long session	grupo	alternativoj	prononco
level	dum lastaj horoj mi estis en komitatkunsido	de sidste par timer har jeg været til udvalgsmøde	for the last few hours I have been in a committee meeting	grupo	alternativoj	prononco
level	en longa komitatkunsido	på et langt udvalgsmøde	in a long committee meeting	grupo	alternativoj	prononco
level	vere estis tro longa	den var virkelig for lang	it really was too long	grupo	alternativoj	prononco
level	la komitato finkunsidis	udvalget har afsluttet sit møde	the committee has concluded its meeting	grupo	alternativoj	prononco
level	sed nun la komitato finis kunsidon	men nu har udvalget afsluttet mødet	but now the committee has finished the meeting	grupo	alternativoj	prononco
level	vere estis longa, sed nun finiĝis	det var rigtig længe, men nu er det slut	it was really long, but now it's over	grupo	alternativoj	prononco
level	ha, vi do estas komitatano?	åh, så du er udvalgsmedlem?	oh, so you're a committee member?	grupo	alternativoj	prononco
level	la estraro de TEJO	bestyrelsen i TEJO	the board of TEJO	grupo	alternativoj	prononco
level	mi ankaŭ estas en la estraro	Jeg er også med i bestyrelsen	I'm also on the board	grupo	alternativoj	prononco
level	jes, mi ankaŭ estas ~	ja, det er jeg også ~	yes, I am too ~	grupo	alternativoj	prononco
level	ankaŭ estas en la estraro de TEJO	er også i bestyrelsen for TEJO	is also on the board of TEJO	grupo	alternativoj	prononco
level	jes, kaj mi estas ~	ja, og jeg er ~	yes, and I'm ~	grupo	alternativoj	prononco
level	mi neniam estis aktiva	Jeg har aldrig været aktiv	I have never been active	grupo	alternativoj	prononco
level	tre aktiva en la movado	meget aktiv i bevægelsen	very active in the movement	grupo	alternativoj	prononco
level	neniam estis aktiva en la movado	var aldrig aktiv i bevægelsen	was never active in the movement	grupo	alternativoj	prononco
level	la ĉefa agado de TEJO	TEJO's hovedaktivitet	the main activity of TEJO	grupo	alternativoj	prononco
