B.fa content.tsv
Level	Esperanto	fa	en-us	Grupo	Alternativoj	Pronoco
level	ĉu vi ne aŭdis tion?	نشنیدی	didn't you hear that	grupo	alternativoj	prononco
level	tute ne, mi profunde dormis	نه، عمیق خوابیدم	not at all, I slept deeply	grupo	alternativoj	prononco
level	ĉu mi forgesis diri al vi ke ~?	یادم رفت بهت بگم ~؟	did I forget to tell you that ~?	grupo	alternativoj	prononco
level	orelo, ŝtopi, orelŝtopiloj	گوش، به وصل کردن، شمع گوش	ear, to plug, ear plugs	grupo	alternativoj	prononco
level	indas uzi orelŝtopilojn	ارزش استفاده از گوش گیر را دارد	it is worth using earplugs	grupo	alternativoj	prononco
level	indas uzi ~	ارزش استفاده از ~ را دارد	is worth using ~	grupo	alternativoj	prononco
level	diris al vi ke indas uzi orelŝtopilojn	به شما گفتم ارزش استفاده از گوش گیر را دارد	told you it's worth using earplugs	grupo	alternativoj	prononco
level	kiam vi dormas en amasloĝejo	وقتی در یک اقامتگاه دسته جمعی می خوابید (محل تصادف)	when you sleep at a mass lodging (crash place)	grupo	alternativoj	prononco
level	evidente jes	بدیهی است که بله	obviously yes	grupo	alternativoj	prononco
level	ho, kompatinda Kaĉjo!	آه، کتی بیچاره!	oh, poor Katty!	grupo	alternativoj	prononco
level	pri kiu vi parolas?	در مورد کی حرف می زنی؟	who are you talking about?	grupo	alternativoj	prononco
level	pri vi	در مورد شما	about you	grupo	alternativoj	prononco
level	karesi, karesa nomo, karesnomo	نوازش کردن، نام نوازش کننده، نام مستعار	to caress, caressing name, nickname	grupo	alternativoj	prononco
level	per -ĉjo aŭ -njo eblas krei karesnomojn en Esperanto	با -ĉjo یا -njo امکان ایجاد نام مستعار در اسپرانتو وجود دارد	with -ĉjo or -njo, it is possible to create nicknames in Esperanto	grupo	alternativoj	prononco
level	ha, jes, mi iam legis pri tio	آه، بله، من یک بار در مورد آن خواندم	ah, yes, I once read about it	grupo	alternativoj	prononco
level	kaj vi do estus Injo?	و بعد تو اینجو میشی؟	and then you would be Injo?	grupo	alternativoj	prononco
level	se vi volas iri tien	اگه میخوای برو اونجا	if you want go there	grupo	alternativoj	prononco
level	kioma horo estas nun?	الان ساعت چنده	what time is it now?	grupo	alternativoj	prononco
level	jam estas kvin minutoj antaŭ la deka	الان پنج دقیقه به ده است	it's already five minutes to ten	grupo	alternativoj	prononco
level	kvin minutoj antaŭ la deka, aŭ naŭa kvindek kvin	پنج دقیقه قبل از ده یا نه و پنجاه و پنج	five minutes before ten, or nine fifty-five	grupo	alternativoj	prononco
level	trafis aŭ maltrafis?	ضربه زد یا از دست داد؟	hit or missed?	grupo	alternativoj	prononco
level	vi maltrafis la matenmanĝon	صبحانه را از دست دادی	you missed breakfast	grupo	alternativoj	prononco
level	o, fek!	اه لعنتی!	oh, shit!	grupo	alternativoj	prononco
level	ĉu vi estas sata?	شما راضی ؟	are you satisfied ?	grupo	alternativoj	prononco
level	kaj mi kiu estas ege malsata	و من که به شدت گرسنه ام	and I who am extremely hungry	grupo	alternativoj	prononco
level	se vi hastos	اگر عجله دارید	if you hurry	grupo	alternativoj	prononco
level	povas almenaŭ trafi la malfermon	حداقل می تواند به دهانه ضربه بزند	can at least hit the opening	grupo	alternativoj	prononco
level	la malfermo de la kongreso	افتتاحیه کنگره	the opening of the congress	grupo	alternativoj	prononco
level	vi povas almenaŭ trafi la malfermon de la kongreso	شما حداقل می توانید به افتتاحیه کنوانسیون ضربه بزنید	you can at least hit the opening of the convention	grupo	alternativoj	prononco
level	kiam ĝi estos?	چه زمانی خواهد بود؟	when will it be?	grupo	alternativoj	prononco
level	je kvarono post la deka	ساعت ده و ربع	at a quarter past ten	grupo	alternativoj	prononco
level	ĝi daŭros horon	یک ساعت طول خواهد کشید	it will last an hour	grupo	alternativoj	prononco
level	kaj je la dek dua eblos manĝi	و در ساعت دوازده می توان غذا خورد	and at twelve it will be possible to eat	grupo	alternativoj	prononco
level	bele mi antaŭĝojas	قشنگه من مشتاقانه منتظرش هستم	beautifully I'm looking forward to it	grupo	alternativoj	prononco
level	diru, kio okazas dum la malfermo?	به من بگو در حین افتتاحیه چه اتفاقی می افتد؟	tell me, what happens during the opening?	grupo	alternativoj	prononco
level	ĉu ĝi estas vizitinda entute?	اصلا ارزش دیدن داره؟	is it worth visiting at all?	grupo	alternativoj	prononco
level	laŭ mi jes	به نظر من بله	in my opinion yes	grupo	alternativoj	prononco
level	kutime ĝi ne estas tre vigla	معمولاً خیلی سرزنده نیست	usually it is not very lively	grupo	alternativoj	prononco
level	sed por vi, kiel "novulo"	اما برای شما به عنوان یک &quot;تازه کار&quot;	but for you as a 'rookie'	grupo	alternativoj	prononco
level	povus esti interese ĉeesti ĝin	شاید حضور در آن جالب باشد	it might be interesting to attend it	grupo	alternativoj	prononco
level	mi supozas ke ~	حدس میزنم که ~	I guess that ~	grupo	alternativoj	prononco
level	la prezidanto de TEJO diros kelkajn vortojn	رئیس TEJO چند کلمه خواهد گفت	the president of TEJO will say a few words	grupo	alternativoj	prononco
level	la temon de la kongreso	موضوع کنگره	the theme of the congress	grupo	alternativoj	prononco
level	ŝajnas, verŝajne	به نظر می رسد، احتمالا	it seems, probably	grupo	alternativoj	prononco
level	iu de LKK verŝajne prezentos la temon de la kongreso	احتمالاً یکی از LKK موضوع کنگره را ارائه خواهد کرد	someone from LKK will probably present the topic of the congress	grupo	alternativoj	prononco
level	ĉiu IJK havas sian temon	هر IJK موضوع خود را دارد	each IJK has its theme	grupo	alternativoj	prononco
level	mi esperas ke estos iom da muziko ankaŭ	امیدوارم یه موزیک هم باشه	I hope there will be some music as well	grupo	alternativoj	prononco
level	bone, kie ĝi okazos?	خوب، کجا برگزار می شود؟	well, where will it take place?	grupo	alternativoj	prononco
level	en la granda prelegejo	در سالن سخنرانی بزرگ	in the great lecture hall	grupo	alternativoj	prononco
level	kiel trovi tiun?	چگونه آن را پیدا کنیم؟	how to find that?	grupo	alternativoj	prononco
level	kiam vi eliras tiun ĉi ejon	وقتی این مکان را ترک می کنید	when you leave this place	grupo	alternativoj	prononco
level	iru dekstren ĝis la fino de la konstruaĵo	سمت راست به انتهای ساختمان بروید	go right to the end of the building	grupo	alternativoj	prononco
level	dum eble 100 metroj	برای شاید 100 متر	for maybe 100 meters	grupo	alternativoj	prononco
level	dekstren denove, rekten dum eble 100 metroj	دوباره درست، شاید 100 متر مستقیم	right again, straight for maybe 100 meters	grupo	alternativoj	prononco
level	kaj estas flava domo	و یک خانه زرد وجود دارد	and there is a yellow house	grupo	alternativoj	prononco
level	je la maldekstra flanko de la vojo	در سمت چپ جاده	on the left side of the road	grupo	alternativoj	prononco
level	ŝildoj pri ĉiuj ejoj de IJK	علائم مربوط به تمام سایت های IJK	signs about all IJK sites	grupo	alternativoj	prononco
level	en ĝi, vi trovos ŝildojn pri ĉiuj ejoj de IJK	در آن نشانه هایی در مورد تمام سایت های IJK خواهید دید	in it, you will find signs about all IJK sites	grupo	alternativoj	prononco
level	mi sendos mesaĝon per poŝtelefono	با موبایل پیام میدم	I will send a message by mobile phone	grupo	alternativoj	prononco
level	se mi ne trovos	اگر آن را پیدا نکردم	if I don't find it	grupo	alternativoj	prononco
level	ha, bona ideo, ĝis tie!	اوه، ایده خوبی است، شما را آنجا می بینم!	oh, good idea, see you up there!	grupo	alternativoj	prononco
level	en la prelegejo	در سالن سخنرانی	in the lecture hall	grupo	alternativoj	prononco
level	gardanĝeloj? ĉu vi ŝercas?	فرشته های نگهبان؟ شوخی می کنی؟	guardian angels? are you kidding?	grupo	alternativoj	prononco
level	prezidanto de TEJO	رئیس TEJO	president of TEJO	grupo	alternativoj	prononco
level	fine mi deziras al vi ĉiuj amuzan semajnon	در نهایت برای همه شما هفته ای شاد آرزو می کنم	finally I wish you all a fun week	grupo	alternativoj	prononco
level	laŭ la lastaj informoj	طبق آخرین اطلاعات	according to the latest information	grupo	alternativoj	prononco
level	ni estas 423 ĉi tie de 38 landoj	ما در اینجا 423 نفر از 38 کشور هستیم	we are 423 here from 38 countries	grupo	alternativoj	prononco
level	mi deziras fruktodonan kaj amuzegan IJK-semajnon	هفته ای پربار و مفرح را برای شما آرزومندم	I wish you a fruitful and great fun IJK week	grupo	alternativoj	prononco
level	koran bonvenon nome de la TEJO-estraro	از طرف هیئت مدیره TEJO یک خوش آمدگویی گرم	a warm welcome, on behalf of the TEJO board	grupo	alternativoj	prononco
level	post granda aplaŭdo	پس از یک دور تشویق بزرگ	after a big round of applause	grupo	alternativoj	prononco
level	ĉu vi sukcesis resti veka?	موفق شدی بیدار بمونی؟	did you manage to stay awake?	grupo	alternativoj	prononco
level	jes, ĉefe pro mia malsato	بله، عمدتا به دلیل گرسنگی من	yes, mainly because of my hunger	grupo	alternativoj	prononco
level	ne, mi ŝercas, estis interese aŭdi	نه، من دارم شوخی می کنم. شنیدنش جالب بود	no, I'm kidding. it was interesting to hear	grupo	alternativoj	prononco
level	estis interese aŭdi iom pri la agado	شنیدن کمی در مورد فعالیت جالب بود	was interesting to hear a little about the activity	grupo	alternativoj	prononco
level	aŭdi pri la agado kaj strukturo de la movado	برای شنیدن در مورد فعالیت و ساختار جنبش	to hear about the activity and structure of the movement	grupo	alternativoj	prononco
level	TEJO-kunsido interesos vin	یک جلسه TEJO شما را جالب خواهد کرد	a TEJO session will interest you	grupo	alternativoj	prononco
level	eble iu el la TEJO-kunsidoj povas interesi vin	شاید برخی از جلسات TEJO برای شما جالب باشد	maybe some of the TEJO sessions may be interesting to you	grupo	alternativoj	prononco
level	jes eble	بله شاید	yes maybe	grupo	alternativoj	prononco
level	mi provos	من تلاش خواهم کرد	I will try	grupo	alternativoj	prononco
level	provos ĉeesti	برای حضور تلاش خواهد کرد	will try to attend	grupo	alternativoj	prononco
level	mi provos ĉeesti	سعی میکنم شرکت کنم	I will try to attend	grupo	alternativoj	prononco
level	ĉeesti unu	برای حضور در یکی	to attend one	grupo	alternativoj	prononco
level	ĉeesti por vidi	حضور پیدا کنید تا ببینید	attend to see	grupo	alternativoj	prononco
level	iun tagon	یک روز (روزی)	one day (someday)	grupo	alternativoj	prononco
level	mi provos iun tagon	من یک روز تلاش خواهم کرد	I will try one day	grupo	alternativoj	prononco
level	iun tagon ĉeesti	یک روز برای حضور	one day to attend	grupo	alternativoj	prononco
level	ĉeesti iun tagon por vidi	روزی شرکت کن ببین	attend someday to see	grupo	alternativoj	prononco
level	mi provos iun tagon ĉeesti unu por vidi	سعی میکنم یه روز شرکت کنم تا ببینم	I will try one day to attend one to see	grupo	alternativoj	prononco
level	kio estas tio?	آن چیست؟	what is that?	grupo	alternativoj	prononco
level	kio estas tio pri ~	این در مورد چیست ~	what is that about ~	grupo	alternativoj	prononco
level	gard-anĝelo	یک فرشته نگهبان	a guard angel	grupo	alternativoj	prononco
level	tio pri "gardanĝelo"	در مورد &quot;فرشته نگهبان&quot;	that about "guard angel"	grupo	alternativoj	prononco
level	sed kio estas	اما آنچه هست	but what is	grupo	alternativoj	prononco
level	sed kio estas tio pri "gardanĝelo"?	اما در مورد یک &quot;فرشته نگهبان&quot; چیست؟	but what is that about a "guardian angel"?	grupo	alternativoj	prononco
level	ĉu ŝerco?	جوک؟	a joke?	grupo	alternativoj	prononco
level	ĉu malbona ŝerco?	شوخی بد؟	a bad joke?	grupo	alternativoj	prononco
level	malbona ŝerco	جوک بد	bad joke	grupo	alternativoj	prononco
level	iu ŝerco	چند شوخی	some joke	grupo	alternativoj	prononco
level	iu malbona ŝerco	یه جوک بد	some bad joke	grupo	alternativoj	prononco
level	ĉu iu malbona ŝerco?	(این) یک شوخی بد است؟	(is that) some bad joke?	grupo	alternativoj	prononco
level	mi ŝercas	من شوخی میکنم	I'm joking	grupo	alternativoj	prononco
level	ne, mi ŝercas	نه، من دارم شوخی می کنم	no, I'm kidding	grupo	alternativoj	prononco
level	estis interese aŭdi	شنیدنش جالب بود	it was interesting to hear	grupo	alternativoj	prononco
level	kiel kontakti ~	نحوه تماس با ~	how to contact ~	grupo	alternativoj	prononco
level	kaj kiel kontakti tiujn anĝelojn?	و چگونه می توان با آن فرشتگان تماس گرفت؟	and how to contact those angels?	grupo	alternativoj	prononco
level	per iu IJK-preĝo eble	با مقداری دعای IJK شاید	with some IJK prayer maybe	grupo	alternativoj	prononco
level	provu! se ne funkcias vi povas iri al ~	آن را امتحان کنید! اگر کار نکرد می توانید به ~ بروید	try it! if it doesn't work you can go to ~	grupo	alternativoj	prononco
level	vi povas iri al la ĉambro "La ĉielo" post la tagmanĝo	می توانید بعد از ناهار به اتاق &quot;آسمان&quot; بروید	you can go to the room "The sky" after lunch	grupo	alternativoj	prononco
level	bonege, unue manĝo, poste ĉielen	عالی اول غذا بعد بهشت	great, first food, then heaven	grupo	alternativoj	prononco
level	unue manĝo, poste ĉielen al la anĝelinoj	اول غذا، سپس در آسمان برای فرشتگان	first food, then in the sky to the angels	grupo	alternativoj	prononco
level	maltro da manĝo	#مرجع!	#REF!	grupo	alternativoj	prononco
level	post iom maltro da manĝo	بعد از کمی غذای کمتر	after a little less food	grupo	alternativoj	prononco
level	Kabe iras al la ĉambro "La ĉielo"	کاب به اتاق &quot;آسمان&quot; می رود	Kabe goes to the room "the sky"	grupo	alternativoj	prononco
level	saluton. ĉu estas via unua IJK?	سلام، آیا این اولین IJK شماست؟	hello, is it your first IJK?	grupo	alternativoj	prononco
level	bone. mi tre ĝojas. mi estas Jesi	خوب. من بسیار خوشحالم. من جسی هستم	ok. I am very glad. I'm Jesi	grupo	alternativoj	prononco
level	kaj tiu ĉi estas jam mia sesa IJK	و این ششمین IJK من است	and this is already my sixth IJK	grupo	alternativoj	prononco
level	jen estas papero kun kelkaj demandoj	در اینجا یک مقاله با چند سوال است	here is a paper with some questions	grupo	alternativoj	prononco
level	papero kun demandoj kaj taskoj	مقاله با سوالات و وظایف	paper with questions and tasks	grupo	alternativoj	prononco
level	kelkaj demandoj kaj taskoj rilate al la kongreso	برخی از سوالات و وظایف مربوط به کنگره	some questions and tasks related to the congress	grupo	alternativoj	prononco
level	vi provu solvi ilin	شما سعی می کنید آنها را حل کنید	you try to solve them	grupo	alternativoj	prononco
level	mi proponas ke vi provu solvi ilin	پیشنهاد می کنم برای حل آنها تلاش کنید	I suggest you try to solve them	grupo	alternativoj	prononco
level	kun Ana de Pollando, Boris de Germanio kaj Nacuko de Japanio	با آنا از لهستان، بوریس از آلمان و ناتسوکو از ژاپن	with Ana from Poland, Boris from Germany and Natsuko from Japan	grupo	alternativoj	prononco
level	nur voku min se vi bezonos helpon	فقط اگر به کمک نیاز دارید با من تماس بگیرید	just call me if you need help	grupo	alternativoj	prononco
level	poste en la libroservo	بعدا در سرویس کتاب	later in the book service	grupo	alternativoj	prononco
level	kiel do estis en la ĉielo?	پس در بهشت چگونه بود؟	so how was it in heaven?	grupo	alternativoj	prononco
level	mi fakte renkontis veran anĝelinon!	من در واقع با یک فرشته واقعی آشنا شدم!	I actually met a real angel!	grupo	alternativoj	prononco
level	ĉielece, mi pensas ke mi fakte renkontis veran anĝelinon!	بهشتی، فکر می کنم واقعاً با یک فرشته واقعی آشنا شدم!	heavenly, I think I actually met a real angel!	grupo	alternativoj	prononco
level	mirinde bela kaj afabla ŝi estis	او به طرز شگفت انگیزی زیبا و مهربان بود	she was amazingly beautiful and kind	grupo	alternativoj	prononco
level	ho, Dio mia! kaj kio estas ŝia nomo?	اوه خدای من! و نام او چیست؟	oh my god! and what is her name?	grupo	alternativoj	prononco
level	aj, mi jam forgesis!	اوه، من قبلاً فراموش کردم!	oh, I already forgot!	grupo	alternativoj	prononco
level	pli kaj pli ebriiĝas	بیشتر و بیشتر مست می شود	more and more gets drunk	grupo	alternativoj	prononco
level	en la trinkejo, Kabe pli kaj pli ebriiĝas	در بار، Kabe بیشتر و بیشتر مست می شود	in the bar, Kabe gets more and more drunk	grupo	alternativoj	prononco
level	ĉu ankaŭ la trinkejestro?	ساقی هم هست؟	is the bartender too?	grupo	alternativoj	prononco
level	unu bieron mi petas	یک آبجو لطفا	one beer please	grupo	alternativoj	prononco
level	ĝi kostas 1 eŭron	1 یورو قیمت دارد	it costs 1 euro	grupo	alternativoj	prononco
level	ĉu vi ŝatus ankaŭ ion alian?	آیا شما هم چیز دیگری می خواهید؟	would you like something else too?	grupo	alternativoj	prononco
level	ne dankon, biero sufiĉas por mi	نه ممنون، آبجو برای من کافی است	no thanks, beer is enough for me	grupo	alternativoj	prononco
level	ĉu vere? kio pri vodko, labambo kaj inoj?	واقعا؟ ودکا، لابامبا و ماده ها چطور؟	really? what about vodka, labamba and females?	grupo	alternativoj	prononco
level	nu, kial ne	خوب چرا که نه	well, why not	grupo	alternativoj	prononco
level	laŭdire ĝi estas amuza	گفته می شود سرگرم کننده است	it is said to be fun	grupo	alternativoj	prononco
level	mi ankoraŭ ne dancis labambon, sed laŭdire ĝi estas amuza	من هنوز لابامبا را نرقصیده ام، اما به من گفته اند که سرگرم کننده است	I haven't danced the labamba yet, but I'm told it's fun	grupo	alternativoj	prononco
level	dum la kantaĵo "La Bamba" homoj dancas	در طول آهنگ &quot;La Bamba&quot; مردم می رقصند	during the song "La Bamba" people dance	grupo	alternativoj	prononco
level	homoj dancas en granda rondo	مردم در یک دایره بزرگ می رقصند	people dance in a big circle	grupo	alternativoj	prononco
level	kaj ene de tiu rondo dancas aliaj homoj	و در آن دایره افراد دیگر می رقصند	and within that circle other people dance	grupo	alternativoj	prononco
level	funkcias tiel ke ~	کار می کند به طوری که ~	works so that ~	grupo	alternativoj	prononco
level	funkcias tiel ke homoj dancas en granda rondo	به گونه ای کار می کند که مردم در یک دایره بزرگ می رقصند	works so that people dance in a big circle	grupo	alternativoj	prononco
level	dancas en granda rondo kaj ene de tiu rondo	در یک دایره بزرگ و درون آن دایره می رقصد	dances in a big circle and within that circle	grupo	alternativoj	prononco
level	homoj dancas kaj dancas aliaj homoj	مردم می رقصند و دیگران می رقصند	people dance and other people dance	grupo	alternativoj	prononco
level	tiuj dancantaj ene de la rondo	کسانی که در دایره می رقصند	those who dance within the circle	grupo	alternativoj	prononco
level	tiuj dancantoj elektas dancanton de la rondo	کسانی که می رقصند یک رقصنده از دایره انتخاب می کنند	those who dance choose a dancer from the circle	grupo	alternativoj	prononco
level	elektas dancanton kaj kisas ŝin aŭ lin	رقصنده ای را انتخاب می کند و او را می بوسد	chooses a dancer and kisses her or him	grupo	alternativoj	prononco
level	kisas ŝin aŭ lin tri-foje sur la vangoj	سه بار روی گونه های او را می بوسد	kisses her or him three times on the cheeks	grupo	alternativoj	prononco
level	elektas dancanton kaj kisas sur la vangoj	رقصنده ای را انتخاب می کند و گونه هایش را می بوسد	chooses a dancer and kisses on the cheeks	grupo	alternativoj	prononco
level	elektas dancanton de la rondo kaj kisas	رقصنده ای را از دایره انتخاب می کند و می بوسد	chooses a dancer from the circle and kisses	grupo	alternativoj	prononco
level	poste ili ŝanĝas lokon	بعد جایشان را عوض می کنند	then they change places	grupo	alternativoj	prononco
level	kisas, kisanto, kisito, kisonto, kisoto	بوسه، شخص بوسنده، شخص بوسیده شده، شخصی که خواهد بوسید، شخصی که خواهد بوسید	kisses, a kissing person, a kissed person, a person who will kiss, a person who will be kissed	grupo	alternativoj	prononco
level	kaj la kisito iĝas kisonto	و بوسیده می شود شخصی که ببوسد	and the kissed becomes a person who will kiss	grupo	alternativoj	prononco
level	tiuj dancantoj elektas kaj poste ili ŝanĝas lokon	آن رقصنده ها انتخاب می کنند و بعد جایشان را عوض می کنند	those dancers choose and then they change places	grupo	alternativoj	prononco
level	la kisinto nun estas kisoto	کسی که بوسید اکنون فردی است که بوسیده می شود	the person who kissed is now a person who will be kissed	grupo	alternativoj	prononco
level	tre facile, ĉu ne?	خیلی آسان است، درست است؟	very easy, right?	grupo	alternativoj	prononco
level	nu, mi esperas ke estas ~	خوب، امیدوارم که باشد ~	well, I hope it is ~	grupo	alternativoj	prononco
level	pli facile en la praktiko	در عمل راحت تر	more easily in practice	grupo	alternativoj	prononco
level	esperas ke estas pli facile	امیدوارم راحت تر باشد	hopes it's easier	grupo	alternativoj	prononco
level	estas pli facile en la praktiko	در عمل راحت تر است	it's easier in practice	grupo	alternativoj	prononco
level	mi provos iam	یه وقتایی سعی میکنم	I will try sometime	grupo	alternativoj	prononco
level	sed unue la bieron!	اما اول آبجو!	but first the beer!	grupo	alternativoj	prononco
level	mi provos iam, sed unue la bieron!	من یک روز امتحان می کنم، اما اول آبجو!	I'll try one day, but first the beer!	grupo	alternativoj	prononco
level	saĝa knabo	یک پسر باهوش	a smart boy	grupo	alternativoj	prononco
level	vi, kiu konas preskaŭ ĉiujn	شما که تقریبا همه را می شناسید	you who know almost everyone	grupo	alternativoj	prononco
level	konas preskaŭ ĉiujn ĉi tie	تقریباً همه اینجا را می شناسد	knows almost everyone here	grupo	alternativoj	prononco
level	ĉu vi scias kiu estas la knabino	میدونی اون دختر کیه؟	do you know who the girl is?	grupo	alternativoj	prononco
level	la knabino kiu kunordigis	دختری که هماهنگ کرد	the girl who coordinated	grupo	alternativoj	prononco
level	la knabino kiu kunordigis la ’gardanĝelojn’	دختری که &quot;فرشتگان نگهبان&quot; را هماهنگ کرد	the girl who coordinated the 'guardian angels'	grupo	alternativoj	prononco
level	vi verŝajne pensas pri Jesi	احتمالاً به جسی فکر می کنید	you are probably thinking of Jesi	grupo	alternativoj	prononco
level	jes, ĝuste!	بله درست است!	yes, that's right!	grupo	alternativoj	prononco
level	mi memoras ke mi aŭdis	یادمه که شنیدم	I remember that I heard	grupo	alternativoj	prononco
level	nun mi memoras ke ~	الان یادم افتاد که ~	now I remember that ~	grupo	alternativoj	prononco
level	memoras ke mi aŭdis ŝian nomon	یادت باشه اسمشو شنیدم	remember that I heard her name	grupo	alternativoj	prononco
level	laŭ mi	به نظر من	in my opinion	grupo	alternativoj	prononco
level	ŝi estas stranga persono	او آدم عجیبی است	she is a strange person	grupo	alternativoj	prononco
level	laŭ mi ŝi estas stranga persono	به نظر من او آدم عجیبی است	in my opinion she is a strange person	grupo	alternativoj	prononco
level	tute ne trinkas bieron	اصلا آبجو نمی نوشد	doesn't drink beer at all	grupo	alternativoj	prononco
level	kaj ne manĝas viandon	و گوشت نمی خورد	and does not eat meat	grupo	alternativoj	prononco
level	ŝajnas ke ~	به نظر می رسد که ~	it seems that ~	grupo	alternativoj	prononco
level	ŝia sola intereso estas ~	تنها علاقه او ~ است	her only interest is ~	grupo	alternativoj	prononco
level	sola intereso estas Esperanto-agado	تنها علاقه فعالیت اسپرانتو است	only interest is Esperanto activity	grupo	alternativoj	prononco
level	ŝajnas ke ŝia sola intereso estas Esperanto	به نظر می رسد که تنها علاقه او اسپرانتو است	it seems that her only interest is Esperanto	grupo	alternativoj	prononco
level	sed ŝi estas tre bela	اما او بسیار زیبا است	but she is very beautiful	grupo	alternativoj	prononco
level	estas tre bela kaj afabla	بسیار زیبا و مهربان است	is very beautiful and kind	grupo	alternativoj	prononco
level	tre bela kaj afabla laŭ mi	خیلی خوب و مهربون به نظر من	very nice and kind in my opinion	grupo	alternativoj	prononco
level	eble vi pravas	شاید حق با تو است	maybe you are right	grupo	alternativoj	prononco
level	eble vi pravas pri tio	شاید حق با شما باشد	maybe you are right about that	grupo	alternativoj	prononco
level	preskaŭ neniam estas en la trinkejo	تقریباً هرگز در بار نیست	is almost never in the bar	grupo	alternativoj	prononco
level	ŝi preskaŭ neniam estas ~	او تقریبا هرگز ~ نیست	she is almost never ~	grupo	alternativoj	prononco
level	ne renkontas ŝin ofte	اغلب او را ملاقات نکن	don't meet her often	grupo	alternativoj	prononco
level	mi ne renkontas ofte	من اغلب ملاقات نمی کنم	I don't meet often	grupo	alternativoj	prononco
level	kaj do mi ne renkontas ŝin ofte	و بنابراین من اغلب او را ملاقات نمی کنم	and so I don't meet her often	grupo	alternativoj	prononco
level	fajfas pri tiaj homoj	در مورد چنین افرادی سوت می زند	whistles about such people	grupo	alternativoj	prononco
level	fakte, mi tute fajfas	در واقع، من کاملاً سوت می زنم	in fact, I'm totally whistling	grupo	alternativoj	prononco
level	mi komprenas ~	می فهمم ~	I understand ~	grupo	alternativoj	prononco
level	tiel parolas vera trinkejestro	یک ساقی واقعی اینگونه صحبت می کند	that's how a real bartender talks	grupo	alternativoj	prononco
level	prave. je via sano!	به درستی، پس برای سلامتی شما!	rightly, so to your health!	grupo	alternativoj	prononco
level	je via sano! ho, bonega biero	برای سلامتی تو! اوه، آبجو عالی	to your health! oh, great beer	grupo	alternativoj	prononco
level	kompreneble. estis ja mi kiu elektis ĝin	البته من بودم که آن را انتخاب کردم	of course, I was the one who chose it	grupo	alternativoj	prononco
level	ĉu vi havas ideon?	نظری داری؟	do you have any idea?	grupo	alternativoj	prononco
level	kie eblus trovi tiun strangan knabinon?	کجا می توان آن دختر عجیب را پیدا کرد؟	where would it be possible to find that strange girl?	grupo	alternativoj	prononco
level	trovi tiun strangan sed tre belan knabinon	برای پیدا کردن آن دختر عجیب اما بسیار زیبا	to find that strange but very beautiful girl	grupo	alternativoj	prononco
level	ideo kie eblus trovi ~	ایده از کجا می توان آن را پیدا کرد ~	idea where it could be found ~	grupo	alternativoj	prononco
level	havas ideon kie eblus trovi ~	ایده ای دارد که در آن می توان ~ را پیدا کرد	has an idea where it would be possible to find ~	grupo	alternativoj	prononco
level	tutcerte en la Gufujo	قطعا در چایخوری (اولری)	definitely in the tea launge(Owlery)	grupo	alternativoj	prononco
level	tiaj homoj konstante sidas	چنین افرادی مدام نشسته اند	such people are constantly sitting	grupo	alternativoj	prononco
level	konstante sidas tie teumante	مدام در آنجا نشسته و چای می نوشد	is constantly sitting there drinking tea	grupo	alternativoj	prononco
level	kia teda vivo!	چه زندگی خسته کننده ای	what a tedious life!	grupo	alternativoj	prononco
level	Gufujo, estas trankvila ejo	چای لانژ (اولری)، مکانی آرام است	the tea launge(Owlery), is a quiet place	grupo	alternativoj	prononco
level	trankvila ejo kie eblas trinki teon	مکانی آرام که می توانید چای بنوشید	a quiet place where you can drink tea	grupo	alternativoj	prononco
level	trinki teon, babili, aŭskulti trankvilan muzikon	چای بنوشید، گپ بزنید، به موسیقی آرام گوش دهید	drink tea, chat, listen to quiet music	grupo	alternativoj	prononco
level	aŭskulti trankvilan muzikon kaj simile	گوش دادن به موسیقی آرام و مانند آن	listening to quiet music and the like	grupo	alternativoj	prononco
level	vi trovos ĝin fine de la koridoro	آن را در انتهای راهرو خواهید یافت	you will find it at the end of the corridor	grupo	alternativoj	prononco
level	fine de la koridoro ekster la trinkejo	در انتهای راهرو بیرون بار	at the end of the corridor outside the bar	grupo	alternativoj	prononco
level	vi ne povas porti vian bieron	شما نمی توانید آبجو خود را حمل کنید	you can't carry your beer	grupo	alternativoj	prononco
level	porti vian bieron tien	آبجو خود را به آنجا ببرید	take your beer there	grupo	alternativoj	prononco
level	sed vi ne povas porti vian bieron tien	اما شما نمی توانید آبجو خود را به آنجا ببرید	but you can't take your beer there	grupo	alternativoj	prononco
level	vere estas ujo de gufoj!	واقعاً جایی برای جغدها است!	it really is a place for owls!	grupo	alternativoj	prononco
level	al la dancejo unue	اول به زمین رقص	to the dance floor first	grupo	alternativoj	prononco
level	eble mi iru unue	شاید اول باید بروم	maybe I should go first	grupo	alternativoj	prononco
level	mi iru al la dancejo unue	بذار اول برم پیست رقص	let me go to the dance floor first	grupo	alternativoj	prononco
level	la venonta persono!	نفر بعدی!	next person!	grupo	alternativoj	prononco
level	kion vi volas kara?	چی میخوای عزیزم	what do you want dear	grupo	alternativoj	prononco
level	ĉu estas libera loko?	جای رایگان هست؟	is there a free place?	grupo	alternativoj	prononco
level	jes, certe	بله حتما	yes, for sure	grupo	alternativoj	prononco
