B.fr content.tsv
Level	Esperanto	fr	en-us	Grupo	Alternativoj	Pronoco
level	kaj mi kiu estas ege malsata	et moi qui ai extrêmement faim	and I who am extremely hungry	grupo	alternativoj	prononco
level	se vi hastos	si tu te dépêches	if you hurry	grupo	alternativoj	prononco
level	povas almenaŭ trafi la malfermon	peut au moins atteindre l'ouverture	can at least hit the opening	grupo	alternativoj	prononco
level	la malfermo de la kongreso	l'ouverture du congrès	the opening of the congress	grupo	alternativoj	prononco
level	vi povas almenaŭ trafi la malfermon de la kongreso	tu peux au moins assister à l'ouverture du congrès	you can at least hit the opening of the convention	grupo	alternativoj	prononco
level	kiam ĝi estos?	quand sera-t-il?	when will it be?	grupo	alternativoj	prononco
level	je kvarono post la deka	à dix heures et quart	at a quarter past ten	grupo	alternativoj	prononco
level	ĝi daŭros horon	ça va durer une heure	it will last an hour	grupo	alternativoj	prononco
level	kaj je la dek dua eblos manĝi	et à midi il sera possible de manger	and at twelve it will be possible to eat	grupo	alternativoj	prononco
level	bele mi antaŭĝojas	magnifique, je l'attends avec impatience	beautifully I'm looking forward to it	grupo	alternativoj	prononco
level	diru, kio okazas dum la malfermo?	dis-moi, que se passe-t-il pendant l'ouverture ?	tell me, what happens during the opening?	grupo	alternativoj	prononco
level	ĉu ĝi estas vizitinda entute?	est-ce que ça vaut la peine d'être visité ?	is it worth visiting at all?	grupo	alternativoj	prononco
level	laŭ mi jes	à mon avis oui	in my opinion yes	grupo	alternativoj	prononco
level	kutime ĝi ne estas tre vigla	d'habitude ce n'est pas très animé	usually it is not very lively	grupo	alternativoj	prononco
level	sed por vi, kiel "novulo"	mais pour toi en tant que "recrue";	but for you as a 'rookie'	grupo	alternativoj	prononco
level	povus esti interese ĉeesti ĝin	ça pourrait être intéressant d'y assister	it might be interesting to attend it	grupo	alternativoj	prononco
level	mi supozas ke ~	Je suppose que ~	I guess that ~	grupo	alternativoj	prononco
level	la prezidanto de TEJO diros kelkajn vortojn	le président de TEJO dira quelques mots	the president of TEJO will say a few words	grupo	alternativoj	prononco
level	la temon de la kongreso	le thème du congrès	the theme of the congress	grupo	alternativoj	prononco
level	ŝajnas, verŝajne	il semble, probablement	it seems, probably	grupo	alternativoj	prononco
level	iu de LKK verŝajne prezentos la temon de la kongreso	quelqu'un du CLC présentera probablement le sujet du congrès	someone from LKK will probably present the topic of the congress	grupo	alternativoj	prononco
level	ĉiu IJK havas sian temon	chaque IJK a son thème	each IJK has its theme	grupo	alternativoj	prononco
level	mi esperas ke estos iom da muziko ankaŭ	j'espère qu'il y aura aussi un peu de musique	I hope there will be some music as well	grupo	alternativoj	prononco
level	bone, kie ĝi okazos?	eh bien, où cela aura-t-il lieu ?	well, where will it take place?	grupo	alternativoj	prononco
level	en la granda prelegejo	dans la grande salle de conférence	in the great lecture hall	grupo	alternativoj	prononco
level	kiel trovi tiun?	comment trouver ça ?	how to find that?	grupo	alternativoj	prononco
level	kiam vi eliras tiun ĉi ejon	quand tu quitteras cet endroit	when you leave this place	grupo	alternativoj	prononco
level	iru dekstren ĝis la fino de la konstruaĵo	allez à droite jusqu'au bout du bâtiment	go right to the end of the building	grupo	alternativoj	prononco
level	dum eble 100 metroj	à 100 mètres peut-être	for maybe 100 meters	grupo	alternativoj	prononco
level	dekstren denove, rekten dum eble 100 metroj	encore à droite, tout droit à 100 mètres peut-être	right again, straight for maybe 100 meters	grupo	alternativoj	prononco
level	kaj estas flava domo	et il y a une maison jaune	and there is a yellow house	grupo	alternativoj	prononco
level	je la maldekstra flanko de la vojo	au côté gauche de la route	on the left side of the road	grupo	alternativoj	prononco
level	ŝildoj pri ĉiuj ejoj de IJK	panneaux pour tous les sites de l'IJK	signs about all IJK sites	grupo	alternativoj	prononco
level	en ĝi, vi trovos ŝildojn pri ĉiuj ejoj de IJK	à l'intérieur, vous trouverez des panneaux indiquant tous les sites de l'IJK	in it, you will find signs about all IJK sites	grupo	alternativoj	prononco
level	mi sendos mesaĝon per poŝtelefono	j'enverrai un message par téléphone portable	I will send a message by mobile phone	grupo	alternativoj	prononco
level	se mi ne trovos	si je ne trouve pas	if I don't find it	grupo	alternativoj	prononco
level	ha, bona ideo, ĝis tie!	oh, bonne idée, on se voit là-bas !	oh, good idea, see you up there!	grupo	alternativoj	prononco
level	en la prelegejo	dans la salle de conférence	in the lecture hall	grupo	alternativoj	prononco
level	gardanĝeloj? ĉu vi ŝercas?	des anges gardiens ? Vous plaisantez ?	guardian angels? are you kidding?	grupo	alternativoj	prononco
level	prezidanto de TEJO	président de TEJO	president of TEJO	grupo	alternativoj	prononco
level	fine mi deziras al vi ĉiuj amuzan semajnon	enfin, je vous souhaite à tous une semaine amusante	finally I wish you all a fun week	grupo	alternativoj	prononco
level	laŭ la lastaj informoj	selon les dernières informations	according to the latest information	grupo	alternativoj	prononco
level	ni estas 423 ĉi tie de 38 landoj	nous sommes 423 ici venus de 38 pays	we are 423 here from 38 countries	grupo	alternativoj	prononco
level	mi deziras fruktodonan kaj amuzegan IJK-semajnon	je vous souhaite une semaine IJK fructueuse et très amusante	I wish you a fruitful and great fun IJK week	grupo	alternativoj	prononco
level	koran bonvenon nome de la TEJO-estraro	un accueil chaleureux, de la part du conseil d'administration de TEJO	a warm welcome, on behalf of the TEJO board	grupo	alternativoj	prononco
level	post granda aplaŭdo	après un grand applaudissement	after a big round of applause	grupo	alternativoj	prononco
level	ĉu vi sukcesis resti veka?	as-tu réussi à rester éveillé ?	did you manage to stay awake?	grupo	alternativoj	prononco
level	jes, ĉefe pro mia malsato	oui, principalement à cause de ma faim	yes, mainly because of my hunger	grupo	alternativoj	prononco
level	ne, mi ŝercas, estis interese aŭdi	Non, je plaisante. c'était intéressant d'entendre	no, I'm kidding. it was interesting to hear	grupo	alternativoj	prononco
level	estis interese aŭdi iom pri la agado	c'était intéressant d'entendre un peu parler de l'activité	was interesting to hear a little about the activity	grupo	alternativoj	prononco
level	aŭdi pri la agado kaj strukturo de la movado	entendre parler de l'activité et de la structure du mouvement	to hear about the activity and structure of the movement	grupo	alternativoj	prononco
level	TEJO-kunsido interesos vin	la réunion de TEJO vous intéressera	a TEJO session will interest you	grupo	alternativoj	prononco
level	eble iu el la TEJO-kunsidoj povas interesi vin	peut-être que l'une des réunions de TEJO peut vous intéresser	maybe some of the TEJO sessions may be interesting to you	grupo	alternativoj	prononco
level	jes eble	Oui peut-être	yes maybe	grupo	alternativoj	prononco
level	mi provos	J'essaierai	I will try	grupo	alternativoj	prononco
level	provos ĉeesti	essayera d'assister	will try to attend	grupo	alternativoj	prononco
level	mi provos ĉeesti	j'essayerai d'y assister	I will try to attend	grupo	alternativoj	prononco
level	ĉeesti unu	assister à un	to attend one	grupo	alternativoj	prononco
level	ĉeesti por vidi	assister pour voir	attend to see	grupo	alternativoj	prononco
level	iun tagon	un jour (un jour)	one day (someday)	grupo	alternativoj	prononco
level	mi provos iun tagon	j'essaierai un jour	I will try one day	grupo	alternativoj	prononco
level	iun tagon ĉeesti	un jour assister	one day to attend	grupo	alternativoj	prononco
level	ĉeesti iun tagon por vidi	assister un jour pour voir	attend someday to see	grupo	alternativoj	prononco
level	mi provos iun tagon ĉeesti unu por vidi	j'essaierai un jour d'y assister pour voir	I will try one day to attend one to see	grupo	alternativoj	prononco
level	kio estas tio?	qu'est-ce que c'est?	what is that?	grupo	alternativoj	prononco
level	kio estas tio pri ~	de quoi s'agit-il ~	what is that about ~	grupo	alternativoj	prononco
level	gard-anĝelo	un ange gardien	a guard angel	grupo	alternativoj	prononco
level	tio pri "gardanĝelo"	cela à propos de "l'ange gardien"	that about "guard angel"	grupo	alternativoj	prononco
level	sed kio estas	mais qu'est-ce que c'est?	but what is	grupo	alternativoj	prononco
level	sed kio estas tio pri "gardanĝelo"?	mais de quoi s'agit-il à propos de cet "ange gardien" ?	but what is that about a "guardian angel"?	grupo	alternativoj	prononco
level	ĉu ŝerco?	est-ce une blague?	a joke?	grupo	alternativoj	prononco
level	ĉu malbona ŝerco?	est-ce une mauvaise blague ?	a bad joke?	grupo	alternativoj	prononco
level	malbona ŝerco	mauvaise blague	bad joke	grupo	alternativoj	prononco
level	iu ŝerco	une blague	some joke	grupo	alternativoj	prononco
level	iu malbona ŝerco	une mauvaise blague	some bad joke	grupo	alternativoj	prononco
level	ĉu iu malbona ŝerco?	est-ce une certaine mauvaise blague ?	(is that) some bad joke?	grupo	alternativoj	prononco
level	mi ŝercas	Je plaisante	I'm joking	grupo	alternativoj	prononco
level	ne, mi ŝercas	Non, je plaisante	no, I'm kidding	grupo	alternativoj	prononco
level	estis interese aŭdi	c'était intéressant d'entendre	it was interesting to hear	grupo	alternativoj	prononco
level	kiel kontakti ~	comment contacter ~	how to contact ~	grupo	alternativoj	prononco
level	kaj kiel kontakti tiujn anĝelojn?	et comment contacter ces anges ?	and how to contact those angels?	grupo	alternativoj	prononco
level	per iu IJK-preĝo eble	par une quelconque prière de l'IJK, peut-être	with some IJK prayer maybe	grupo	alternativoj	prononco
level	provu! se ne funkcias vi povas iri al ~	Essaie ! Si ça ne fonctionne pas, tu peux aller à ~	try it! if it doesn't work you can go to ~	grupo	alternativoj	prononco
level	vi povas iri al la ĉambro "La ĉielo" post la tagmanĝo	Vous pouvez aller à la chambre 'Le ciel' après le déjeuner	you can go to the room "The sky" after lunch	grupo	alternativoj	prononco
level	bonege, unue manĝo, poste ĉielen	super, d'abord la nourriture, puis le paradis	great, first food, then heaven	grupo	alternativoj	prononco
level	unue manĝo, poste ĉielen al la anĝelinoj	d'abord de la nourriture, puis dans le ciel chez les anges	first food, then in the sky to the angels	grupo	alternativoj	prononco
level	maltro da manĝo	un peu de nourriture	#REF!	grupo	alternativoj	prononco
level	post iom maltro da manĝo	Après un peu de repas	after a little less food	grupo	alternativoj	prononco
level	Kabe iras al la ĉambro "La ĉielo"	Kabe se rend dans la pièce "le ciel"	Kabe goes to the room "the sky"	grupo	alternativoj	prononco
level	saluton. ĉu estas via unua IJK?	bonjour, est-ce ton premier IJK ?	hello, is it your first IJK?	grupo	alternativoj	prononco
level	bone. mi tre ĝojas. mi estas Jesi	d'accord. Je suis très content. je m'appelle Jesi	ok. I am very glad. I'm Jesi	grupo	alternativoj	prononco
level	kaj tiu ĉi estas jam mia sesa IJK	Et celui-ci est déjà mon sixième IJK	and this is already my sixth IJK	grupo	alternativoj	prononco
level	jen estas papero kun kelkaj demandoj	voici un papier avec quelques questions	here is a paper with some questions	grupo	alternativoj	prononco
level	papero kun demandoj kaj taskoj	papier avec des questions et des tâches	paper with questions and tasks	grupo	alternativoj	prononco
level	kelkaj demandoj kaj taskoj rilate al la kongreso	quelques questions et tâches liées au congrès	some questions and tasks related to the congress	grupo	alternativoj	prononco
level	vi provu solvi ilin	tu essaies de les résoudre	you try to solve them	grupo	alternativoj	prononco
level	mi proponas ke vi provu solvi ilin	Je vous suggère d'essayer de les résoudre	I suggest you try to solve them	grupo	alternativoj	prononco
level	kun Ana de Pollando, Boris de Germanio kaj Nacuko de Japanio	avec Ana de Pologne, Boris d'Allemagne et Natsuko du Japon	with Ana from Poland, Boris from Germany and Natsuko from Japan	grupo	alternativoj	prononco
level	nur voku min se vi bezonos helpon	appelez-moi seulement si vous avez besoin d'aide	just call me if you need help	grupo	alternativoj	prononco
level	poste en la libroservo	ensuite dans le service de livres	later in the book service	grupo	alternativoj	prononco
level	kiel do estis en la ĉielo?	alors, comment c'était au paradis ?	so how was it in heaven?	grupo	alternativoj	prononco
level	mi fakte renkontis veran anĝelinon!	En fait, j'ai rencontré un véritable ange !	I actually met a real angel!	grupo	alternativoj	prononco
level	ĉielece, mi pensas ke mi fakte renkontis veran anĝelinon!	paradisiaque, je pense avoir rencontré un véritable ange !	heavenly, I think I actually met a real angel!	grupo	alternativoj	prononco
level	mirinde bela kaj afabla ŝi estis	elle était incroyablement belle et gentille	she was amazingly beautiful and kind	grupo	alternativoj	prononco
level	ho, Dio mia! kaj kio estas ŝia nomo?	oh mon Dieu! et quel est son nom ?	oh my god! and what is her name?	grupo	alternativoj	prononco
level	aj, mi jam forgesis!	oh, j'ai déjà oublié !	oh, I already forgot!	grupo	alternativoj	prononco
level	pli kaj pli ebriiĝas	de plus en plus s'enivre	more and more gets drunk	grupo	alternativoj	prononco
level	en la trinkejo, Kabe pli kaj pli ebriiĝas	au bar, Kabe s'enivre de plus en plus	in the bar, Kabe gets more and more drunk	grupo	alternativoj	prononco
level	ĉu ankaŭ la trinkejestro?	est-ce que le barman aussi ?	is the bartender too?	grupo	alternativoj	prononco
level	unu bieron mi petas	Une bière, s'il vous plaît	one beer please	grupo	alternativoj	prononco
level	ĝi kostas 1 eŭron	ça coûte 1 euro	it costs 1 euro	grupo	alternativoj	prononco
level	ĉu vi ŝatus ankaŭ ion alian?	Est-ce que vous voudriez aussi quelque chose d'autre ?	would you like something else too?	grupo	alternativoj	prononco
level	ne dankon, biero sufiĉas por mi	non merci, la bière me suffit	no thanks, beer is enough for me	grupo	alternativoj	prononco
level	ĉu vere? kio pri vodko, labambo kaj inoj?	Vraiment ? Qu'en est-il de la vodka, du lambrusco et des femmes ?	really? what about vodka, labamba and females?	grupo	alternativoj	prononco
level	nu, kial ne	Eh bien pourquoi pas	well, why not	grupo	alternativoj	prononco
level	laŭdire ĝi estas amuza	on dit que c'est amusant	it is said to be fun	grupo	alternativoj	prononco
level	mi ankoraŭ ne dancis labambon, sed laŭdire ĝi estas amuza	J'ai pas encore dansé le labamba, mais on me dit que c'est amusant	I haven't danced the labamba yet, but I'm told it's fun	grupo	alternativoj	prononco
level	dum la kantaĵo "La Bamba" homoj dancas	Pendant la chanson 'La Bamba', les gens dansent	during the song "La Bamba" people dance	grupo	alternativoj	prononco
level	homoj dancas en granda rondo	les gens dansent en grand cercle	people dance in a big circle	grupo	alternativoj	prononco
level	kaj ene de tiu rondo dancas aliaj homoj	et dans ce cercle d'autres personnes dansent	and within that circle other people dance	grupo	alternativoj	prononco
level	funkcias tiel ke ~	fonctionne de telle sorte que ~	works so that ~	grupo	alternativoj	prononco
level	funkcias tiel ke homoj dancas en granda rondo	cela fonctionne de sorte que les gens dansent en grand cercle	works so that people dance in a big circle	grupo	alternativoj	prononco
level	dancas en granda rondo kaj ene de tiu rondo	danse dans un grand cercle et à l'intérieur de ce cercle	dances in a big circle and within that circle	grupo	alternativoj	prononco
level	homoj dancas kaj dancas aliaj homoj	les gens dansent et d'autres dansent	people dance and other people dance	grupo	alternativoj	prononco
level	tiuj dancantaj ene de la rondo	ceux qui dansent à l'intérieur du cercle	those who dance within the circle	grupo	alternativoj	prononco
level	tiuj dancantoj elektas dancanton de la rondo	ceux qui dansent choisissent un danseur du cercle	those who dance choose a dancer from the circle	grupo	alternativoj	prononco
level	elektas dancanton kaj kisas ŝin aŭ lin	choisit un danseur et l'embrasse	chooses a dancer and kisses her or him	grupo	alternativoj	prononco
level	kisas ŝin aŭ lin tri-foje sur la vangoj	l'embrasse trois fois sur les joues	kisses her or him three times on the cheeks	grupo	alternativoj	prononco
level	elektas dancanton kaj kisas sur la vangoj	choisit une danseuse et l'embrasse sur les joues	chooses a dancer and kisses on the cheeks	grupo	alternativoj	prononco
level	elektas dancanton de la rondo kaj kisas	choisit un danseur dans le cercle et l'embrasse	chooses a dancer from the circle and kisses	grupo	alternativoj	prononco
level	poste ili ŝanĝas lokon	puis ils changent de place	then they change places	grupo	alternativoj	prononco
level	kisas, kisanto, kisito, kisonto, kisoto	bisous, une personne qui embrasse, une personne embrassée, une personne qui va embrasser, une personne qui sera embrassée	kisses, a kissing person, a kissed person, a person who will kiss, a person who will be kissed	grupo	alternativoj	prononco
level	kaj la kisito iĝas kisonto	et l'embrassé devient une personne qui embrassera	and the kissed becomes a person who will kiss	grupo	alternativoj	prononco
level	tiuj dancantoj elektas kaj poste ili ŝanĝas lokon	ces danseurs choisissent et ensuite ils changent de place	those dancers choose and then they change places	grupo	alternativoj	prononco
level	la kisinto nun estas kisoto	la personne qui a embrassé est maintenant une personne qui sera embrassée	the person who kissed is now a person who will be kissed	grupo	alternativoj	prononco
level	tre facile, ĉu ne?	très facile, n'est-ce pas ?	very easy, right?	grupo	alternativoj	prononco
level	nu, mi esperas ke estas ~	eh bien, j'espère que c'est ~	well, I hope it is ~	grupo	alternativoj	prononco
level	pli facile en la praktiko	plus facilement en pratique	more easily in practice	grupo	alternativoj	prononco
level	esperas ke estas pli facile	j'espère que c'est plus facile	hopes it's easier	grupo	alternativoj	prononco
level	estas pli facile en la praktiko	c'est plus facile en pratique	it's easier in practice	grupo	alternativoj	prononco
level	mi provos iam	j'essaierai un jour	I will try sometime	grupo	alternativoj	prononco
level	sed unue la bieron!	mais d'abord la bière !	but first the beer!	grupo	alternativoj	prononco
level	mi provos iam, sed unue la bieron!	J'essaierai un jour, mais d'abord la bière !	I'll try one day, but first the beer!	grupo	alternativoj	prononco
level	saĝa knabo	un garçon intelligent (un garçon sage)	a smart boy	grupo	alternativoj	prononco
level	vi, kiu konas preskaŭ ĉiujn	toi qui connais presque tout le monde	you who know almost everyone	grupo	alternativoj	prononco
level	konas preskaŭ ĉiujn ĉi tie	connaît presque tout le monde ici	knows almost everyone here	grupo	alternativoj	prononco
level	ĉu vi scias kiu estas la knabino	tu sais qui est la fille ?	do you know who the girl is?	grupo	alternativoj	prononco
level	la knabino kiu kunordigis	la fille qui a coordonné	the girl who coordinated	grupo	alternativoj	prononco
level	la knabino kiu kunordigis la ’gardanĝelojn’	la fille qui coordonnait les « anges gardiens »	the girl who coordinated the 'guardian angels'	grupo	alternativoj	prononco
level	vi verŝajne pensas pri Jesi	tu penses probablement à Jesi	you are probably thinking of Jesi	grupo	alternativoj	prononco
level	jes, ĝuste!	Oui c'est vrai!	yes, that's right!	grupo	alternativoj	prononco
level	mi memoras ke mi aŭdis	Je me souviens que j'ai entendu	I remember that I heard	grupo	alternativoj	prononco
level	nun mi memoras ke ~	maintenant je me souviens que ~	now I remember that ~	grupo	alternativoj	prononco
level	memoras ke mi aŭdis ŝian nomon	souviens que j'ai entendu son nom	remember that I heard her name	grupo	alternativoj	prononco
level	laŭ mi	à mon avis	in my opinion	grupo	alternativoj	prononco
level	ŝi estas stranga persono	c'est une personne étrange	she is a strange person	grupo	alternativoj	prononco
level	laŭ mi ŝi estas stranga persono	à mon avis, c'est une personne étrange	in my opinion she is a strange person	grupo	alternativoj	prononco
level	tute ne trinkas bieron	ne boit pas de bière du tout	doesn't drink beer at all	grupo	alternativoj	prononco
level	kaj ne manĝas viandon	et ne mange pas de viande	and does not eat meat	grupo	alternativoj	prononco
level	ŝajnas ke ~	il semble que ~	it seems that ~	grupo	alternativoj	prononco
level	ŝia sola intereso estas ~	son seul intérêt est ~	her only interest is ~	grupo	alternativoj	prononco
level	sola intereso estas Esperanto-agado	le seul intérêt est l'activité en espéranto	only interest is Esperanto activity	grupo	alternativoj	prononco
level	ŝajnas ke ŝia sola intereso estas Esperanto	il semble que son seul intérêt soit l'espéranto	it seems that her only interest is Esperanto	grupo	alternativoj	prononco
level	sed ŝi estas tre bela	mais elle est très belle	but she is very beautiful	grupo	alternativoj	prononco
level	estas tre bela kaj afabla	est très belle (beau) et aimable	is very beautiful and kind	grupo	alternativoj	prononco
level	tre bela kaj afabla laŭ mi	est très belle (beau) et aimable à mon avis	very nice and kind in my opinion	grupo	alternativoj	prononco
level	eble vi pravas	peut-être que tu as raison	maybe you are right	grupo	alternativoj	prononco
level	eble vi pravas pri tio	peut-être que tu as raison à ce sujet	maybe you are right about that	grupo	alternativoj	prononco
level	preskaŭ neniam estas en la trinkejo	presque jamais au bar	is almost never in the bar	grupo	alternativoj	prononco
level	ŝi preskaŭ neniam estas ~	elle n'est presque jamais ~	she is almost never ~	grupo	alternativoj	prononco
level	ne renkontas ŝin ofte	ne la rencontre pas souvent	don't meet her often	grupo	alternativoj	prononco
level	mi ne renkontas ofte	je ne rencontre pas souvent	I don't meet often	grupo	alternativoj	prononco
level	kaj do mi ne renkontas ŝin ofte	et donc je ne la rencontre pas souvent	and so I don't meet her often	grupo	alternativoj	prononco
level	fajfas pri tiaj homoj	siffle à propos de telles personnes	whistles about such people	grupo	alternativoj	prononco
level	fakte, mi tute fajfas	en fait, je siffle complètement	in fact, I'm totally whistling	grupo	alternativoj	prononco
level	mi komprenas ~	je comprends ~	I understand ~	grupo	alternativoj	prononco
level	tiel parolas vera trinkejestro	c'est comme ça qu'un vrai barman parle	that's how a real bartender talks	grupo	alternativoj	prononco
level	prave. je via sano!	exactement. À ta santé !	rightly, so to your health!	grupo	alternativoj	prononco
level	je via sano! ho, bonega biero	À ta santé ! Oh, quelle excellente bière !	to your health! oh, great beer	grupo	alternativoj	prononco
level	kompreneble. estis ja mi kiu elektis ĝin	bien sûr, c'est moi qui l'ai choisi	of course, I was the one who chose it	grupo	alternativoj	prononco
level	ĉu vi havas ideon?	avez-vous une idée?	do you have any idea?	grupo	alternativoj	prononco
level	kie eblus trovi tiun strangan knabinon?	où serait-il possible de trouver cette étrange jeune fille ?	where would it be possible to find that strange girl?	grupo	alternativoj	prononco
level	trovi tiun strangan sed tre belan knabinon	trouver cette étrange mais très belle jeune fille	to find that strange but very beautiful girl	grupo	alternativoj	prononco
level	ideo kie eblus trovi ~	une idée il serait possible de trouver ~	idea where it could be found ~	grupo	alternativoj	prononco
level	havas ideon kie eblus trovi ~	a une idée où il serait possible de trouver ~	has an idea where it would be possible to find ~	grupo	alternativoj	prononco
level	tutcerte en la Gufujo	certainement dans le salon de thé (Owlery)	definitely in the tea launge(Owlery)	grupo	alternativoj	prononco
level	tiaj homoj konstante sidas	ces gens sont constamment assis	such people are constantly sitting	grupo	alternativoj	prononco
level	konstante sidas tie teumante	est constamment assis là à boire du thé	is constantly sitting there drinking tea	grupo	alternativoj	prononco
level	kia teda vivo!	quelle vie fastidieuse !	what a tedious life!	grupo	alternativoj	prononco
level	Gufujo, estas trankvila ejo	le salon de thé(Owlery), est un endroit calme	the tea launge(Owlery), is a quiet place	grupo	alternativoj	prononco
level	trankvila ejo kie eblas trinki teon	un endroit calme où l'on peut boire du thé	a quiet place where you can drink tea	grupo	alternativoj	prononco
level	trinki teon, babili, aŭskulti trankvilan muzikon	boire du thé, discuter, écouter de la musique douce	drink tea, chat, listen to quiet music	grupo	alternativoj	prononco
level	aŭskulti trankvilan muzikon kaj simile	écouter de la musique douce, etc.	listening to quiet music and the like	grupo	alternativoj	prononco
level	vi trovos ĝin fine de la koridoro	vous le trouverez au bout du couloir	you will find it at the end of the corridor	grupo	alternativoj	prononco
level	fine de la koridoro ekster la trinkejo	au bout du couloir devant le bar	at the end of the corridor outside the bar	grupo	alternativoj	prononco
level	vi ne povas porti vian bieron	tu ne peux pas amener ta bière	you can't carry your beer	grupo	alternativoj	prononco
level	porti vian bieron tien	amène ta bière là-bas	take your beer there	grupo	alternativoj	prononco
level	sed vi ne povas porti vian bieron tien	mais tu ne peux pas amener ta bière là-bas	but you can't take your beer there	grupo	alternativoj	prononco
level	vere estas ujo de gufoj!	c'est vraiment un endroit pour les hiboux !	it really is a place for owls!	grupo	alternativoj	prononco
level	al la dancejo unue	sur la piste de danse d'abord	to the dance floor first	grupo	alternativoj	prononco
level	eble mi iru unue	peut-être que je devrais y aller en premier	maybe I should go first	grupo	alternativoj	prononco
level	mi iru al la dancejo unue	laisse-moi d'abord aller sur la piste de danse	let me go to the dance floor first	grupo	alternativoj	prononco
level	la venonta persono!	la prochaine personne !	next person!	grupo	alternativoj	prononco
level	kion vi volas kara?	que veux-tu cher ?	what do you want dear	grupo	alternativoj	prononco
level	ĉu estas libera loko?	y a-t-il une place libre ?	is there a free place?	grupo	alternativoj	prononco
level	jes, certe	Oui bien sûr	yes, for sure	grupo	alternativoj	prononco
level	tre agrable ĉi tie	très sympa ici	very nice here	grupo	alternativoj	prononco
level	ĉi tie en la gufujo	ici dans le salon de thé (oiseau)	here in the tea launge(owlery)	grupo	alternativoj	prononco
level	mi bezonas iom da trankvilo	J'ai besoin d'un peu de tranquillité	I need some tranquility	grupo	alternativoj	prononco
level	post tre streĉa tago	après une journée très stressante	after a very stressful day	grupo	alternativoj	prononco
level	trankvilo post streĉa tago	tranquillité après une journée stressante	tranquility after a stressful day	grupo	alternativoj	prononco
level	la etoso en gufujo	l'ambiance dans un salon de thé	the atmosphere in a tea launge(owlery)	grupo	alternativoj	prononco
level	~ estas tre bona kontrasto	~ est un très bon contraste	~ is a very good contrast	grupo	alternativoj	prononco
level	kontrasto al la aliaj okazaĵoj	contraste avec les autres événements	contrast to the other events	grupo	alternativoj	prononco
level	la aliaj okazaĵoj dum IJK	les autres événements pendant IJK	the other events during IJK	grupo	alternativoj	prononco
level	la etoso estas kontrasto al la aliaj okazaĵoj	l'ambiance est en contraste avec les autres événements	the atmosphere is a contrast to the other events	grupo	alternativoj	prononco
level	estas tre bona kontrasto, ĉu ne?	c'est un très bon contraste, n'est-ce pas ?	it's a very good contrast, isn't it?	grupo	alternativoj	prononco
level	jes, mallaŭta muziko	oui, musique douce	yes, soft music	grupo	alternativoj	prononco
level	mallaŭta muziko, trankvila babilado	musique douce, conversation tranquille	soft music, quiet conversation	grupo	alternativoj	prononco
level	trankvila babilado kaj iu interesa teo	une conversation tranquille et un thé intéressant	quiet chat and some interesting tea	grupo	alternativoj	prononco
level	perfekte por rehavi fortojn	parfait pour reprendre des forces	perfect for regaining strength	grupo	alternativoj	prononco
level	vi ŝajnas ege laca	tu as l'air extrêmement fatigué	you seem extremely tired	grupo	alternativoj	prononco
level	kion vi faris dum la tuta tago?	Qu'avez-vous fait toute la journée?	what did you do all day?	grupo	alternativoj	prononco
level	unue mi faris afiŝon	j'ai d'abord fait un post	first I made a post	grupo	alternativoj	prononco
level	afiŝo por la morgaŭaj ekskursoj	post pour les excursions de demain	post for tomorrow's excursions	grupo	alternativoj	prononco
level	mi faris afiŝon por ekskursoj	J'ai fait un post pour les excursions	I made a post for excursions	grupo	alternativoj	prononco
level	cetere, ĉu vi iros?	d'ailleurs, est-ce que tu vas y aller ?	by the way, are you going?	grupo	alternativoj	prononco
level	iros al ekskurso	Ira à l'excursion	will go on an excursion	grupo	alternativoj	prononco
level	ĉu vi iros al iu ekskurso?	tu pars en excursion ?	are you going on any excursion?	grupo	alternativoj	prononco
level	jes, al la granda akvofalo	oui, à la grande cascade	yes, to the great waterfall	grupo	alternativoj	prononco
level	kaj poste al ekspozicio	puis à une exposition	and then to an exhibition	grupo	alternativoj	prononco
level	ekspozicio pri moderna arto	une exposition sur l'art moderne	an exhibition on modern art	grupo	alternativoj	prononco
level	al akvofalo kaj poste al ekspozicio	à une cascade puis à une exposition	to a waterfall and then to an exhibition	grupo	alternativoj	prononco
level	bona elekto	un bon choix	a good choice	grupo	alternativoj	prononco
level	ankaŭ mi iros tien	je vais y aller aussi	I will go there too	grupo	alternativoj	prononco
level	ĉiukaze, mi gvidis diskutrondon	de toute façon, j'ai animé un groupe de discussion	anyway, I led a discussion group	grupo	alternativoj	prononco
level	pendigi afiŝojn	accrocher des affiches	to hang posters	grupo	alternativoj	prononco
level	post la pendigado de la ekskursafiŝoj	après l'accrochage des affiches d'excursion	after the hanging of the excursion posters	grupo	alternativoj	prononco
level	diskutrondo kun la titolo "feminismo"	groupe de discussion intitulé "féminisme"	discussion group with the title "feminism"	grupo	alternativoj	prononco
level	gvidis diskuton kun la titolo "feminismo"	a mené une discussion intitulée "féminisme"	led a discussion with the title "feminism"	grupo	alternativoj	prononco
level	ĉu feminismo samas en diversaj landoj?	le féminisme est-il le même dans différents pays ?	is feminism the same in different countries?	grupo	alternativoj	prononco
level	interesa kaj vigla diskuto	discussion intéressante et animée	interesting and lively discussion	grupo	alternativoj	prononco
