A.zh-cn content.tsv
Level	Esperanto	zh-cn	en-us	Grupo	Alternativoj	Pronoco
level	hodiaŭ estas dimanĉo	今天是星期天	today is Sunday	grupo	alternativoj	prononco
level	dormi kaj ekdormi	睡觉并进入睡眠状态	to sleep and to get into sleep	grupo	alternativoj	prononco
level	suno kaj luno	一个太阳和一个月亮	a sun and a moon	grupo	alternativoj	prononco
level	subita kaj subite	突然又突然	sudden and suddenly	grupo	alternativoj	prononco
level	ek!	离开！ （开始）	off! (to start)	grupo	alternativoj	prononco
level	salti kaj eksaltis	跳啊跳	to jump and jumped 	grupo	alternativoj	prononco
level	ĉiam frua	总是早	always early	grupo	alternativoj	prononco
level	hodiaŭ metis kaj kuris	今天放跑	today put and ran	grupo	alternativoj	prononco
level	aĵo, ne aĝo	与年龄无关的东西	a thing not age	grupo	alternativoj	prononco
level	kuris laŭ homoj saĝaj	与聪明人同行	ran along wise people	grupo	alternativoj	prononco
level	laŭeble baldaŭ	尽快	soon as possible	grupo	alternativoj	prononco
level	kia knabo, kia knabino	什么是男孩，什么是女孩	what a boy, what a girl	grupo	alternativoj	prononco
level	nek pensita nek memorita	既没有思考也没有记忆	neither thought nor memorized	grupo	alternativoj	prononco
level	diablo atendis akvon dimanĉe	周日，魔鬼在等水	a devil waited for water on Sunday	grupo	alternativoj	prononco
level	tiom malgranda momento	这么小的一刻	such a small moment	grupo	alternativoj	prononco
level	eĉ tiom malgranda momento valoras	即使是这么小的一刻也是值得的	even such a small moment is worthwhile	grupo	alternativoj	prononco
level	kriis for ĝis nokto	一直哭到晚上	cried away until night	grupo	alternativoj	prononco
level	lasis la poŝton de la mano	收起手中的邮件	put away the mailpost from the hand	grupo	alternativoj	prononco
level	ridis mem lasante la poŝton	自己笑了，收起邮筒	laughed by oneself, putting away the mailpost	grupo	alternativoj	prononco
level	nek li nek ŝi ridis	他和她都没有笑	neither he nor she laughed	grupo	alternativoj	prononco
level	ŝi nek ridis nek respondis	她既不笑也不回答	she neither laughed nor answered	grupo	alternativoj	prononco
level	li nek sidas nek rigardas	他既不坐着也不观看	he neither sits nor watches	grupo	alternativoj	prononco
level	neniam mi vidis	我从来没见过	I have never seen	grupo	alternativoj	prononco
level	mi neniam diros al iu	我永远不会告诉任何人	I will never tell anyone	grupo	alternativoj	prononco
level	diru al neniu	不告诉任何人	tell no one	grupo	alternativoj	prononco
level	mi neniam diros	我永远不会说	I will never say	grupo	alternativoj	prononco
level	mem	对自己（自己）	to oneself (by oneself)	grupo	alternativoj	prononco
level	mi mem faris	我自己做的	I did it myself	grupo	alternativoj	prononco
level	faris tion	做到了（做到了）	did it (made it)	grupo	alternativoj	prononco
level	mem faris tion	自己做的（自己做的）	did it oneself (made it oneself)	grupo	alternativoj	prononco
level	ĝis la revido, ĝis revido	再见（再次），再次见到你	see you (again), see you (again)	grupo	alternativoj	prononco
level	ĝis!	直到！ （再见！）	until! (goodbye!)	grupo	alternativoj	prononco
level	ekparoli	开始说话	to start talking	grupo	alternativoj	prononco
level	ekparolis, komencis paroli finfine	开始说，终于开始说话	started saying, began to speak at last	grupo	alternativoj	prononco
level	trinkis rapidege	喝得很快	drank very fast	grupo	alternativoj	prononco
level	trinkis matenan trinkaĵon	早上喝了一杯	had a morning drink	grupo	alternativoj	prononco
level	por frue veni	早点来	to come early	grupo	alternativoj	prononco
level	veni al la lernejo	来学校	to come to school	grupo	alternativoj	prononco
level	frue veni al ~	早点来~	to come early to ~	grupo	alternativoj	prononco
level	ne aŭdis novaĵon	没听到消息	didn't hear news	grupo	alternativoj	prononco
level	ankoraŭ ne aŭdis	还没听说	didn't hear yet	grupo	alternativoj	prononco
level	mi ankoraŭ ne aŭdis	我还没听说	I didn't hear yet	grupo	alternativoj	prononco
level	en tiu momento	在那一刻	in that moment	grupo	alternativoj	prononco
level	en tiu momento li ekkriis	那一刻他哭了	in that moment he cried	grupo	alternativoj	prononco
level	knabo, kiu ne amas	一个不爱的男孩	a boy, who does not love	grupo	alternativoj	prononco
level	geknaboj	男孩和女孩	boys and girls	grupo	alternativoj	prononco
level	aliaj geknaboj	其他男孩和女孩	other boys and girls	grupo	alternativoj	prononco
level	ne amas aliajn geknabojn	不爱其他男孩和女孩	does not love other boys and girls	grupo	alternativoj	prononco
level	nek amikojn, nek amikinojn	既不是朋友也不是女朋友	neither friends nor girl friends	grupo	alternativoj	prononco
level	havas nek monon, nek tempon	既没有钱又没有时间	does not have neither money nor time	grupo	alternativoj	prononco
level	kiu havis la libron?	谁有这本书？	who had the book?	grupo	alternativoj	prononco
level	la libron, kiun vi atendis	你等待的书	the book which you waited	grupo	alternativoj	prononco
level	tiun, kiun vi atendis pli ol du jarojn	那个，你等了两年多的	that, which you waited for more than 2 years	grupo	alternativoj	prononco
level	ĉu vi volas tion?	你想要那个吗？	do you want that?	grupo	alternativoj	prononco
level	ĉu vi volas, ke ~ ?	你想要那个吗~？	do you want that ~ ?	grupo	alternativoj	prononco
level	plej kara	最亲爱的	dearest	grupo	alternativoj	prononco
level	plej kara foto	最亲爱的照片	dearest photo	grupo	alternativoj	prononco
level	mian plej karan foton	我最亲爱的照片	my dearest photo	grupo	alternativoj	prononco
level	kie vi aĉetis ~ ?	哪里买的~？	where did you buy ~ ?	grupo	alternativoj	prononco
level	tiu vestaĵo	那件衣服	that clothing	grupo	alternativoj	prononco
level	tiun vestaĵon	那件衣服（目标）	that clothing (objective)	grupo	alternativoj	prononco
level	aĉetis tiun vestaĵon	买了那件衣服	bought that outfit	grupo	alternativoj	prononco
level	vi iros tien	你会去那里	you will go there	grupo	alternativoj	prononco
level	kien vi iros?	你去哪儿？	where are you going to?	grupo	alternativoj	prononco
level	suna tago	晴天	sunny day	grupo	alternativoj	prononco
level	estos suna tago	这将是一个阳光明媚的日子	it will be a sunny day	grupo	alternativoj	prononco
level	se estos suna tago	如果天气晴朗的话	if it will be a sunny day	grupo	alternativoj	prononco
level	via frato jam ekiris	你哥哥已经开始了	your brother has already started	grupo	alternativoj	prononco
level	ĉu via frato jam ekiris?	你弟弟开始了吗？	has your brother started yet?	grupo	alternativoj	prononco
level	kie estas la akvo?	水在哪里	where is the water	grupo	alternativoj	prononco
level	kunporti la akvon	带水	to bring the water	grupo	alternativoj	prononco
level	vi mem kunportis	你自己带来的	you yourself brought	grupo	alternativoj	prononco
level	la akvon, kion vi mem kunportis	你自己带来的水	the water, that you yourself brought	grupo	alternativoj	prononco
level	estis tre trankvila	很安静	was very quiet	grupo	alternativoj	prononco
level	hodiaŭ mia patrino estis ~	今天我妈妈是~	today my mother was ~	grupo	alternativoj	prononco
level	mi venis el ~	我来自~	I came from ~	grupo	alternativoj	prononco
level	el la lernejo	走出学校	out of the school	grupo	alternativoj	prononco
level	raportis al ~	报告给~	reported to ~	grupo	alternativoj	prononco
level	kaj raportis al ŝi	并向她报告	and reported to her	grupo	alternativoj	prononco
level	raportis, ke ~	报道说~	reported that ~	grupo	alternativoj	prononco
level	raportis, ke mi ricevos	报告说我会收到	reported that I will receive	grupo	alternativoj	prononco
level	mi ricevos malbonan noton	我会得到不好的成绩	I will get a bad grade	grupo	alternativoj	prononco
level	ŝi diris, ke ~	她这么说~	she said that ~	grupo	alternativoj	prononco
level	vi devas laborigi ~	你必须让〜工作	you have to make ~ work	grupo	alternativoj	prononco
level	pli multe	更多的	more	grupo	alternativoj	prononco
level	pli multe laborigi	使工作更多	to make work more	grupo	alternativoj	prononco
level	laborigi vian kapon	让你的头脑运转起来	to make your head work	grupo	alternativoj	prononco
level	kiom da malbonaj notoj	有多少成绩不好	how many bad grades	grupo	alternativoj	prononco
level	vi havas tiom da malbonaj notoj	你的成绩很差	you have so many bad grades	grupo	alternativoj	prononco
level	estis malĝoja	难过（过去式	was sad	grupo	alternativoj	prononco
level	en vian ĉambron	进入你的房间	into your room	grupo	alternativoj	prononco
level	iru en vian ĉambron	进入你的房间	go into your room	grupo	alternativoj	prononco
level	iru kaj lernu	去学习	go and learn	grupo	alternativoj	prononco
level	mi sidis	我坐了	I sat	grupo	alternativoj	prononco
level	en mia ĉambro	在我的房间里	in my room	grupo	alternativoj	prononco
level	sidis en mia ĉambro	坐在我的房间里	sat in my room	grupo	alternativoj	prononco
level	nek lerni nek legi	既不学习也不读书	neither learn nor read	grupo	alternativoj	prononco
level	sed mi povis nek lerni nek legi	但我既无法学习也无法阅读	but I could neither learn nor read	grupo	alternativoj	prononco
level	miaj pensoj	我的想法	my thoughts	grupo	alternativoj	prononco
level	ĉe ludo	在一场比赛中	at a game	grupo	alternativoj	prononco
level	ludo kun miaj amikoj	和我的朋友们一起玩游戏	game with my friends	grupo	alternativoj	prononco
level	ĉe sporto	在运动时	at sport	grupo	alternativoj	prononco
level	al mi mem	对自己	to myself	grupo	alternativoj	prononco
level	diris al mi mem	对自己说	said to myself	grupo	alternativoj	prononco
level	tiom malsaĝa	如此愚蠢	so stupid	grupo	alternativoj	prononco
level	ĉu mi estas tiom malsaĝa?	我有那么傻吗？	am I that stupid?	grupo	alternativoj	prononco
level	kvankam mi lernis multe	虽然我学到了很多	although I learned a lot	grupo	alternativoj	prononco
level	la patrino eniris	母亲进来了	the mother entered	grupo	alternativoj	prononco
level	miaj vortoj	我的话	my words	grupo	alternativoj	prononco
level	kaj aŭdis miajn vortojn	并听到了我的话	and heard my words	grupo	alternativoj	prononco
level	ŝi tuj respondis	她立即回答	she answered immediately	grupo	alternativoj	prononco
level	ne, mia kara	不是，亲爱的	no, my dear	grupo	alternativoj	prononco
level	vi ne estas malsaĝa	你不傻	you are not stupid	grupo	alternativoj	prononco
level	la problemo estas, ke ~	问题是~	the problem is that ~	grupo	alternativoj	prononco
level	ke vi devas lerni	你必须学习的	that you must learn	grupo	alternativoj	prononco
level	devas lerni multe pli	必须学到更多	must learn much more	grupo	alternativoj	prononco
level	tiam vi ne havos	那么你将不会有	then you will not have	grupo	alternativoj	prononco
level	malbonaj notoj	成绩不好	bad grades	grupo	alternativoj	prononco
level	havos nur malbonajn notojn	只会有不好的成绩	will have only bad grades	grupo	alternativoj	prononco
level	ankaŭ nun	现在也	also now	grupo	alternativoj	prononco
level	mi ne havas ilin	我没有它们	I don't have them	grupo	alternativoj	prononco
level	mi havas bonan noton	我成绩很好	I have a good grade	grupo	alternativoj	prononco
level	pri muziko	关于音乐	about music	grupo	alternativoj	prononco
level	bonan noton pri muziko	关于音乐的好笔记	a good note on music	grupo	alternativoj	prononco
level	la patrino subite ekridis	妈妈突然笑了起来	the mother suddenly burst out laughing	grupo	alternativoj	prononco
level	tio plibeligis ~	美化了~	that beautified ~	grupo	alternativoj	prononco
level	mian tagon	我的一天	my day	grupo	alternativoj	prononco
level	plibeligis mian tagon	让我很开心	made my day	grupo	alternativoj	prononco
level	sed tamen restis	但仍然保留	but still remained	grupo	alternativoj	prononco
level	sed la problemo tamen restis	但问题仍然存在	but the problem still remained	grupo	alternativoj	prononco
level	kilogramo da ~	一公斤~	a kilogram of ~	grupo	alternativoj	prononco
level	kilogramo da sukero	一公斤糖	a kilogram of sugar	grupo	alternativoj	prononco
level	glaso da ~	一杯~	a glass of ~	grupo	alternativoj	prononco
level	glaso da akvo	一杯水	a glass of water	grupo	alternativoj	prononco
level	multe da ~	很多~	a lot of ~	grupo	alternativoj	prononco
level	multe da ideoj	很多想法	lots of ideas	grupo	alternativoj	prononco
level	deteni sin	要忍住	to hold back	grupo	alternativoj	prononco
level	ordigis ĉion	整理好一切	sorted everything out	grupo	alternativoj	prononco
level	transdonis al li	交给他	handed over to him	grupo	alternativoj	prononco
level	mi petas	我问	I'm asking	grupo	alternativoj	prononco
level	glason da kafo	一杯咖啡	a glass of coffee	grupo	alternativoj	prononco
level	kaj iom da akvo	和一些水	and some water	grupo	alternativoj	prononco
level	mi petas glason da kafo	我想要一杯咖啡	I would like a glass of coffee	grupo	alternativoj	prononco
level	mi petas tason da teo	我想要杯茶	I would like a cup of tea	grupo	alternativoj	prononco
level	doloris lin	伤害他	hurt him	grupo	alternativoj	prononco
level	la kapo doloris lin	他头疼	his head hurt	grupo	alternativoj	prononco
level	li malsaniĝis	他生病了	he fell ill	grupo	alternativoj	prononco
level	ŝatas esti bela	喜欢漂亮	likes to be beautiful	grupo	alternativoj	prononco
level	ŝi beligis sian vizaĝon	她美化了自己的脸	she beautified her face	grupo	alternativoj	prononco
level	la knabo ŝatas esti bela	这个男孩喜欢漂亮	the boy likes to be pretty	grupo	alternativoj	prononco
level	pro tio ŝi beligis ĝin	因此她美化了它	therefore she beautified it	grupo	alternativoj	prononco
level	post la tagmanĝo	午餐后	after lunch	grupo	alternativoj	prononco
level	purigi la kuirejon	打扫厨房	to clean the kitchen	grupo	alternativoj	prononco
level	kiu purigos la kuirejon?	谁来打扫厨房？	who will clean the kitchen?	grupo	alternativoj	prononco
level	volas trinki	想喝	wants to drink	grupo	alternativoj	prononco
level	kion vi volas trinki?	你想喝什么	what do you want to drink	grupo	alternativoj	prononco
level	trinki teon	喝茶	to drink tea	grupo	alternativoj	prononco
level	iom da akvo	一点水	a little of water	grupo	alternativoj	prononco
level	ĉu vi volas nenion?	你什么都不想要吗？	do you want nothing?	grupo	alternativoj	prononco
level	tiel subite	如此突然	so suddenly	grupo	alternativoj	prononco
level	kial vi decidis ~ ?	你为什么决定~？	why did you decide ~ ?	grupo	alternativoj	prononco
level	kial vi tiel subite decidis ~ ?	你为什么这么突然决定？	why did you decide ~ so suddenly?	grupo	alternativoj	prononco
level	via ĉambro	你的房间	your room	grupo	alternativoj	prononco
level	via ĉambreto	你的小房间	your little room	grupo	alternativoj	prononco
level	vian ĉambreton	到你的小房间	to your little room	grupo	alternativoj	prononco
level	renovigi vian ĉambreton	翻新你的小房间	to renovate your little room	grupo	alternativoj	prononco
level	decidis renovigi vian ĉambreton	决定翻新你的小房间	decided to renovate your little room	grupo	alternativoj	prononco
level	al kiu	给谁	to whom	grupo	alternativoj	prononco
level	vi donis ~	你给了~	you gave ~	grupo	alternativoj	prononco
level	al kiu vi donis ~ ?	你给了谁~？	to whom did you give ~ ?	grupo	alternativoj	prononco
level	puraj glasoj	清洁眼镜	clean glasses	grupo	alternativoj	prononco
level	vi donis la purajn glasojn	你给了干净的眼镜	you gave the clean glasses	grupo	alternativoj	prononco
level	la puraj glasoj por la vino	干净的酒杯	the clean glasses for the wine	grupo	alternativoj	prononco
level	kontraŭ kiu	针对谁	against whom	grupo	alternativoj	prononco
level	via sportklubo	你的体育俱乐部	your sports club	grupo	alternativoj	prononco
level	ludas kontraŭ ~	对阵~	plays against ~	grupo	alternativoj	prononco
level	antaŭ du semajnoj	两周前	two weeks ago	grupo	alternativoj	prononco
level	kontraŭ kiu via sportklubo ludis?	你的体育俱乐部与谁比赛？	who did your sports club play against?	grupo	alternativoj	prononco
level	ĉu vi vidas ~ ?	你看到了吗~？	do you see ~ ?	grupo	alternativoj	prononco
level	ĉu vi ofte vidas ~ ?	你经常看到吗~？	do you often see ~ ?	grupo	alternativoj	prononco
level	ofte vidas la policiston	经常见到警察	often see the policeman	grupo	alternativoj	prononco
level	tiu, kiu loĝas en ~	住的人~	the one who lives in ~	grupo	alternativoj	prononco
level	loĝas en la loĝejo	住在住宿的地方	lives in the lodging place	grupo	alternativoj	prononco
level	la loĝejo super vi	你上方的住所	the dwelling place above you	grupo	alternativoj	prononco
level	vidas la policiston, kiu loĝas en ~	看到住的警察啦~	sees the police officer who lives in ~	grupo	alternativoj	prononco
level	plano pri veturado	驾驶计划	driving plan	grupo	alternativoj	prononco
level	volis vojaĝi	想去旅行	wanted to travel	grupo	alternativoj	prononco
level	vojaĝi al alia lando	去另一个国家旅行	to travel to another country	grupo	alternativoj	prononco
level	en libertempo	在空闲时	in free time	grupo	alternativoj	prononco
level	ili decidis iri	他们决定去	they decided to go	grupo	alternativoj	prononco
level	decidis iri al Italio	决定去意大利	decided to go to Italy	grupo	alternativoj	prononco
level	malnovaj urboj	旧城	old cities	grupo	alternativoj	prononco
level	lando kun malnovaj urboj	一个拥有古老城市的国家	a country with old cities	grupo	alternativoj	prononco
level	aliaj belaĵoj	其他美女	other beauties	grupo	alternativoj	prononco
level	kaj aliaj belaĵoj	和其他美女	and other beauties	grupo	alternativoj	prononco
level	bela lando kun malnovaj urboj kaj aliaj belaĵoj	一个拥有古老城市和其他美景的美丽国家	a beautiful country with old cities and other beauties	grupo	alternativoj	prononco
level	ili estis feliĉaj	他们很高兴	they were happy	grupo	alternativoj	prononco
level	kie estas ~ ?	〜在哪里？	where is ~ ?	grupo	alternativoj	prononco
level	kie estas mia vestaĵo?	我的衣服在哪里	where are my clothes	grupo	alternativoj	prononco
level	ŝi demandis ~	她问~	she asked ~	grupo	alternativoj	prononco
level	ni ne forgesu kunporti ~	大家别忘了带哦~	let's not forget to bring ~	grupo	alternativoj	prononco
level	kunporti la libron	随身携带这本书	to take the book with you	grupo	alternativoj	prononco
level	libro por lerni Esperanton	一本学习世界语的书	a book to learn Esperanto	grupo	alternativoj	prononco
level	kunporti libron por lerni	带着一本书去学习	to carry a book to learn	grupo	alternativoj	prononco
level	ni povas komenci ~	我们可以开始啦~	we can start ~	grupo	alternativoj	prononco
level	en la vagonaro	在火车上	in the train	grupo	alternativoj	prononco
level	jam en la vagonaro	已经在火车上	already in the train	grupo	alternativoj	prononco
level	ni nenion faros	我们不会做任何事	we won't do anything	grupo	alternativoj	prononco
level	per aŭto	坐车	by car	grupo	alternativoj	prononco
level	ni veturos per ~	我们开车过去~	we will drive by ~	grupo	alternativoj	prononco
level	veturos per aŭto	会开车	will drive a car	grupo	alternativoj	prononco
level	mi havas sekreton	我有一个秘密	I have a secret	grupo	alternativoj	prononco
level	mia riĉa onklo	我有钱的叔叔	my rich uncle	grupo	alternativoj	prononco
level	mia deziro	我的希望	my wish	grupo	alternativoj	prononco
level	plenumis mian deziron	实现了我的愿望	fulfilled my wish	grupo	alternativoj	prononco
level	donis al ni	给我们	gave us	grupo	alternativoj	prononco
level	sian aŭton	他的车	his car	grupo	alternativoj	prononco
level	kaj donis al ni sian aŭton	并给了我们他的车	and gave us his car	grupo	alternativoj	prononco
level	por uzo	用来	for use	grupo	alternativoj	prononco
level	ĝi staras antaŭ ~	就站在前面~	it stands before ~	grupo	alternativoj	prononco
level	staras antaŭ la domo	站在房子前面	stands in front of the house	grupo	alternativoj	prononco
level	mi devas diri ~	不得不说~	I have to say ~	grupo	alternativoj	prononco
level	nenion diru	别说什么	don't say anything	grupo	alternativoj	prononco
level	ni eksidu	我们坐下来	let's sit down	grupo	alternativoj	prononco
level	eksidu en la aŭton	上车	get in the car	grupo	alternativoj	prononco
level	veturi al ~	开车去~	to drive to ~	grupo	alternativoj	prononco
level	kaj veturu al Italio	并开车前往意大利	and drive to Italy	grupo	alternativoj	prononco
level	sidis en la aŭto	坐在车里	sat in the car	grupo	alternativoj	prononco
level	ankaŭ la vestaĵoj	还有衣服	also the clothes	grupo	alternativoj	prononco
level	~ estis en la aŭto	〜在车上	~ was in the car	grupo	alternativoj	prononco
level	ankoraŭ sidadis kaj atendis	仍然坐着等待	still sat and waited	grupo	alternativoj	prononco
level	sed li atendis	但他等待着	but he waited	grupo	alternativoj	prononco
level	kial ni ne ~ ?	我们为什么不~？	why don't we ~ ?	grupo	alternativoj	prononco
level	kial ni ne ekveturas?	我们为什么不开始开车呢？	why don't we start driving?	grupo	alternativoj	prononco
level	ankaŭ mi havas ~	我也有~	I have ~ too	grupo	alternativoj	prononco
level	veturigus la aŭton	会开车	would drive the car	grupo	alternativoj	prononco
level	sed mi ne scias ~	但我不知道~	but I don't know ~	grupo	alternativoj	prononco
level	mi neniam lernis tion	我从来没学过	I never learned that	grupo	alternativoj	prononco
level	mi kredus ~	我就信了~	I would believe ~	grupo	alternativoj	prononco
level	se mi estus sana	如果我健康的话	if I were healthy	grupo	alternativoj	prononco
level	mi estus tre feliĉa	我会很高兴	I would be very happy	grupo	alternativoj	prononco
level	kvazaŭ vi estus riĉulo	就好像你很有钱一样	as if you were rich	grupo	alternativoj	prononco
level	vi sidas tie kvazaŭ vi estus riĉulo	你坐在那里就好像你是个有钱人一样	you sit there as if you were a rich man	grupo	alternativoj	prononco
level	kvazaŭa lernejo	涉嫌学校	alleged school	grupo	alternativoj	prononco
level	kvazaŭ riĉulo	像一个有钱人	like a rich man	grupo	alternativoj	prononco
level	vi sidas tie kvazaŭ riĉulo	你像个有钱人一样坐在那里	you sit there like a rich man	grupo	alternativoj	prononco
level	tiom da mono	好多钱	so much money	grupo	alternativoj	prononco
level	tiom da mono kiom da ideoj	钱和想法一样多	as much money as ideas	grupo	alternativoj	prononco
level	se mi havus tiom da mono	如果我有那么多钱	if I had that much money	grupo	alternativoj	prononco
level	mi vojaĝadus	我会去旅行	I would travel	grupo	alternativoj	prononco
level	ĉirkaŭ la mondo	世界各地	around the world	grupo	alternativoj	prononco
level	en ĉiu vortaro	在每本词典中	in every dictionary	grupo	alternativoj	prononco
level	mankas io	缺了点什么	something is missing	grupo	alternativoj	prononco
level	mankas kelkaj vortoj	有些词不见了	some words are missing	grupo	alternativoj	prononco
level	homo, kiu longe parolis	一个长篇大论的人	a man who spoke at length	grupo	alternativoj	prononco
level	ĉe la manĝotablo	在餐桌上	at the dining table	grupo	alternativoj	prononco
level	homo, kiu rakontas, restos malsata	一个说出来的人会保持饥饿	a person who tells will remain hungry	grupo	alternativoj	prononco
level	rakontadas ĉe la manĝo tablo	餐桌上不断诉说	keeps telling at the dining table	grupo	alternativoj	prononco
level	li devis atenti ~	他得注意了~	he had to pay attention to ~	grupo	alternativoj	prononco
level	ne rajtis ~	不被允许~	was not allowed to ~	grupo	alternativoj	prononco
level	rajtis resti	被允许留下来	was allowed to stay	grupo	alternativoj	prononco
level	ne rajtis longe resti	不准久留	was not allowed to stay long	grupo	alternativoj	prononco
level	resti ekstere en pluvo	在雨中呆在外面	to stay out in the rain	grupo	alternativoj	prononco
level	tial li malvarmumis	这就是他感冒的原因	that's why he caught a cold	grupo	alternativoj	prononco
level	li havas sian klaran ideon	他有自己清晰的想法	he has his own clear idea	grupo	alternativoj	prononco
level	sed li kredos ĉion	但他会相信一切	but he will believe everything	grupo	alternativoj	prononco
level	ĉion, kion vi diros	不管你说什么	whatever you say	grupo	alternativoj	prononco
level	kvazaŭ vi estus lia edzino	就像你是他的妻子一样	as if you were his wife	grupo	alternativoj	prononco
level	viaj gepatroj	你的父母	your parents	grupo	alternativoj	prononco
level	ĝojigi viajn gepatrojn	为了让你的父母高兴	to make your parents happy	grupo	alternativoj	prononco
level	kio povus ĝojigi ~ ?	有什么可以请〜？	what could please ~ ?	grupo	alternativoj	prononco
level	kio povus plej ĝojigi viajn gepatrojn?	什么能让你的父母最高兴？	what could make your parents the most happy?	grupo	alternativoj	prononco
level	post la lernado	学习后	after the learning	grupo	alternativoj	prononco
level	almenaŭ post la lernado	至少在学习之后	at least after the learning	grupo	alternativoj	prononco
level	en la urbocentron	进入市中心	into the city center	grupo	alternativoj	prononco
level	se vi irus kun mi	如果你愿意和我一起去	if you would go with me	grupo	alternativoj	prononco
level	se vi irus kun mi en la urbocentron	如果你愿意和我一起去市中心	if you would go downtown with me	grupo	alternativoj	prononco
level	kien vi dezirus vojaĝi?	您想去哪里旅行？	where would you like to travel?	grupo	alternativoj	prononco
level	se vi havus ~	如果你有的话~	if you had ~	grupo	alternativoj	prononco
level	sufiĉe da mono	足够的钱	enough money	grupo	alternativoj	prononco
level	se vi havus sufiĉe da mono kaj tempo	如果你有足够的钱和临时工	if you had enough money and temp	grupo	alternativoj	prononco
level	ĉu vi planas ~ ?	你打算去吗~？	are you planning to ~ ?	grupo	alternativoj	prononco
level	planas veturi al Parizo	计划去巴黎旅行	plans to travel to Paris	grupo	alternativoj	prononco
level	veturi per aŭto	驾驶 axuto	to drive with an axuto	grupo	alternativoj	prononco
level	multe pli bone	好多了	much better	grupo	alternativoj	prononco
level	ŝajnas multe pli bone	看起来好多了	seems much better	grupo	alternativoj	prononco
level	per vagonaro	乘搭火车	by train	grupo	alternativoj	prononco
level	aŭ ĉu ne ŝajnas esti multe pli bone?	还是看起来没有好很多？	or doesn't it seem to be much better?	grupo	alternativoj	prononco
level	diversaj homoj	各种各样的人	various people	grupo	alternativoj	prononco
level	kial homoj klarigas diversmaniere?	为什么人们以不同的方式解释？	why do people explain in different ways?	grupo	alternativoj	prononco
level	samaj ideoj	相同的想法	same ideas	grupo	alternativoj	prononco
level	klarigas samajn ideojn	解释了相同的想法	explains the same ideas	grupo	alternativoj	prononco
level	familianoj kunvenas	家人团聚	family members get together	grupo	alternativoj	prononco
level	kiel rapide	太快了	how quickly	grupo	alternativoj	prononco
level	tagoj pasas	日子过去了	days pass	grupo	alternativoj	prononco
level	kiel rapide pasas tagoj!	日子过得真快啊！	how quickly the days pass!	grupo	alternativoj	prononco
level	morgaŭ estos ~	明天会~	tomorrow will be ~	grupo	alternativoj	prononco
level	la naskiĝtago de via patro	你父亲的生日	your father's birthday	grupo	alternativoj	prononco
level	kelkaj familianoj	几名家庭成员	several family members	grupo	alternativoj	prononco
level	alvenos kelkaj familianoj	几位家庭成员会来	several family members will come	grupo	alternativoj	prononco
level	kaj geamikoj	和朋友	and friends	grupo	alternativoj	prononco
level	ĉu vi bonvolus ~ ?	可以吗~？	would you please ~ ?	grupo	alternativoj	prononco
level	ĉu vi bonvolus iom helpi?	你能帮忙一下吗？	could you please help a little?	grupo	alternativoj	prononco
level	iomete da tempo	一小会儿	a little while	grupo	alternativoj	prononco
level	trovu iomete da tempo	找一点时间	find a little time	grupo	alternativoj	prononco
level	por ordigi vian ĉambron	整理你的房间	to tidy your room	grupo	alternativoj	prononco
level	almenaŭ por ordigi vian ĉambron	至少收拾一下你的房间	at least to tidy your room	grupo	alternativoj	prononco
level	mi ŝatus ~	我愿意~	I would like ~	grupo	alternativoj	prononco
level	mi ŝatus kuiri ion	我想做点东西	I would like to cook something	grupo	alternativoj	prononco
level	ion bonan	好东西	something good	grupo	alternativoj	prononco
level	kuiri ion bonan	煮点好吃的	cook something good	grupo	alternativoj	prononco
level	por la naskiĝ-taga kuko	为了生日蛋糕	for the birthday cake	grupo	alternativoj	prononco
level	mankas lakto	缺奶	is lacking of milk	grupo	alternativoj	prononco
level	en la hejmo	在家里	in the home	grupo	alternativoj	prononco
level	necesas havigi ~	有必要采购~	it is necessary to procure ~	grupo	alternativoj	prononco
level	iom da manĝaĵo	一些食物	some food	grupo	alternativoj	prononco
level	el vendejo	从商店	from a store	grupo	alternativoj	prononco
level	havigi iom da manĝaĵo el vendejo	从藏身处获取一些食物	to get some food from a hideout	grupo	alternativoj	prononco
level	mi aĉetumos	我会购物	I will do shopping	grupo	alternativoj	prononco
level	por la naskiĝtago	为了生日	for the birthday	grupo	alternativoj	prononco
level	anstataŭ sidi kaj manĝegi	而不是坐着吃饭	instead of sitting and eating	grupo	alternativoj	prononco
level	interesaj homoj	有趣的人	interesting people	grupo	alternativoj	prononco
level	kun neinteresaj familianoj	和无趣的家庭成员	with uninteresting family members	grupo	alternativoj	prononco
level	mi ŝatus ekskursi	我想去野餐	I would like to go on a picnic	grupo	alternativoj	prononco
level	kun klubanoj	与俱乐部成员	with club members	grupo	alternativoj	prononco
level	kun kiuj klubanoj?	与哪些俱乐部成员？	with which club members?	grupo	alternativoj	prononco
level	diris la patro	父亲说	said the father	grupo	alternativoj	prononco
level	ia papero, iaj paperoj	某种纸，某种纸	some kind of paper, some kind of papers	grupo	alternativoj	prononco
level	en paperujo	在公文包里	in a briefcase	grupo	alternativoj	prononco
level	en paperujon	放入纸箱	into a paper bin	grupo	alternativoj	prononco
level	ĵetis paperojn en paperujon	将纸张扔进纸箱	threw papers into a paper bin	grupo	alternativoj	prononco
