A.de content.tsv
Level	Esperanto	de	en-us	Grupo	Alternativoj	Pronoco
level	morgaŭ matene, kion vi volas?	Morgen früh, was willst du?	tomorrow morning, what do you want?	grupo	alternativoj	prononco
level	matenmanĝis malfrue	habe spät gefrühstückt	had breakfast late	grupo	alternativoj	prononco
level	kiam Marko alvenos?	Wann kommt Mark?	when will Mark arrive?	grupo	alternativoj	prononco
level	je la kvina aŭ je la oka horo	um fünf oder acht Uhr	at five or eight o'clock	grupo	alternativoj	prononco
level	kiam vi rimarkis, ke ~ ?	Wann ist dir das aufgefallen ~?	when did you notice that ~ ?	grupo	alternativoj	prononco
level	la tuta familio nomas min bonfarulo	Die ganze Familie nennt mich einen Wohltäter	the whole family calls me a benefactor	grupo	alternativoj	prononco
level	utila por vi	nützlich für Sie	useful for you	grupo	alternativoj	prononco
level	ĉu la libreto estis utila?	War die Broschüre nützlich?	was the booklet useful?	grupo	alternativoj	prononco
level	tiu libreto, kiun mi sendis	die Broschüre, die ich verschickt habe	the booklet, which I sent	grupo	alternativoj	prononco
level	matene dormis tre longe	Morgens habe ich lange geschlafen	in the morning slept for a long time	grupo	alternativoj	prononco
level	kiam li vidis la sunon	als er die Sonne sah	when he saw the sun	grupo	alternativoj	prononco
level	subite li eksaltis	plötzlich sprang er auf	suddenly he jumped up	grupo	alternativoj	prononco
level	li estis ĉiam frua	er war immer früh dran	he was always early	grupo	alternativoj	prononco
level	ĉiam li malfruas	Er kommt immer zu spät	he is always late	grupo	alternativoj	prononco
level	tiam, kiam li devas iri	in dem Moment, in dem er gehen muss	at that time, when he has to go	grupo	alternativoj	prononco
level	iri al la lernejo	zur Schule gehen	to go to the school	grupo	alternativoj	prononco
level	li scias, ke ~	er weiß, dass ~	he knows, that ~	grupo	alternativoj	prononco
level	li scias tion, ke ~	er weiß, dass ~	he knows the fact, that ~	grupo	alternativoj	prononco
level	tion, ke la instruisto malŝatas abelon	die Tatsache, dass der Lehrer Bienen hasst	the fact that the teacher hates bees	grupo	alternativoj	prononco
level	scias tion, ke la instruisto malŝatas abelon	weiß, dass der Lehrer Bienen hasst	knows the fact that the teacher hates bees	grupo	alternativoj	prononco
level	scias, ke la instruisto malŝatas tion	weiß, dass der Lehrer das hasst	knows that the teacher hates that	grupo	alternativoj	prononco
level	sed hodiaŭ li trinkis la kafon	aber heute hat er den Kaffee getrunken	but today he drank the coffee	grupo	alternativoj	prononco
level	li rapide surmetas la vestaĵon	er zieht sich schnell die Klamotten an	he quickly puts on the clothes	grupo	alternativoj	prononco
level	li ne volas malfrui	er will nicht zu spät kommen	he doesn't want to be late	grupo	alternativoj	prononco
level	rapidege kun la libroj en la mano	sehr schnell mit den Büchern in der Hand	very quickly with the books in hand	grupo	alternativoj	prononco
level	poste li kuris kaj saltis	später rannte und sprang er	later he ran and jumped	grupo	alternativoj	prononco
level	li kuris kaj saltis	er rannte und sprang	he ran and jumped	grupo	alternativoj	prononco
level	laŭ la strato	die Straße entlang	along the street	grupo	alternativoj	prononco
level	la homoj rigardis lin	die Leute sahen ihn an	the people looked at him	grupo	alternativoj	prononco
level	rigardis lin kaj diris	sah ihn an und sagte	looked at him and said	grupo	alternativoj	prononco
level	saĝa kaj malsaĝa	weise und dumm	wise and foolish	grupo	alternativoj	prononco
level	kia malsaĝa knabo!	Was für ein dummer Junge!	what a foolish boy!	grupo	alternativoj	prononco
level	estis antaŭ lernejo	stand vor einer Schule	was in front of a school	grupo	alternativoj	prononco
level	baldaŭ	bald	soon	grupo	alternativoj	prononco
level	li estis antaŭ ~	er war vor ~	he was in front of ~	grupo	alternativoj	prononco
level	iri kaj eniri	gehen und eintreten	to go and to enter	grupo	alternativoj	prononco
level	li volis eniri	er wollte eintreten	he wanted to enter	grupo	alternativoj	prononco
level	eniri la lernejon	in die Schule eintreten	to enter into the school	grupo	alternativoj	prononco
level	sed tamen	aber wie auch immer	but however	grupo	alternativoj	prononco
level	sed li ne povis	aber er konnte nicht	but he couldn't	grupo	alternativoj	prononco
level	fermi kaj fermita	zu schließen und zu schließen	to close and closed	grupo	alternativoj	prononco
level	ĝi estis fermita	es war geschlossen	it was closed	grupo	alternativoj	prononco
level	nek ~ nek ~	weder ~ noch ~	neither ~ nor ~	grupo	alternativoj	prononco
level	nek instruisto nek gelernantoj	weder ein Lehrer noch männliche und weibliche Schüler	neither a teacher nor male-and-female students	grupo	alternativoj	prononco
level	vidis nek instruiston nek gelernantojn	sah weder einen Lehrer noch Schüler	saw neither a teacher nor students	grupo	alternativoj	prononco
level	sidi, eksidi	sitzen, sich hinsetzen	to sit, to get sitted	grupo	alternativoj	prononco
level	eksidis	setzte sich (hatte Platz genommen)	got seated (had seated)	grupo	alternativoj	prononco
level	li eksidis	er setzte sich	he got seated	grupo	alternativoj	prononco
level	kaj pensis	und dachte	and thought	grupo	alternativoj	prononco
level	kio okazis?	was ist passiert?	what did happen?	grupo	alternativoj	prononco
level	diable	zum Schrecklichen (wie ein Teufel)	to the awful (like a devil)	grupo	alternativoj	prononco
level	damne	Verdammt	dam it	grupo	alternativoj	prononco
level	memoras	erinnert sich	remembers	grupo	alternativoj	prononco
level	nun mi memoras	jetzt erinnere ich mich	now I remember	grupo	alternativoj	prononco
level	dimanĉo	Sonntag	Sunday	grupo	alternativoj	prononco
level	hodiaŭ estas ~	heute ist ~	today is ~	grupo	alternativoj	prononco
level	hodiaŭ estas dimanĉo	Heute ist Sonntag	today is Sunday	grupo	alternativoj	prononco
level	dormi kaj ekdormi	schlafen und einschlafen	to sleep and to get into sleep	grupo	alternativoj	prononco
level	suno kaj luno	eine Sonne und ein Mond	a sun and a moon	grupo	alternativoj	prononco
level	subita kaj subite	plötzlich und plötzlich	sudden and suddenly	grupo	alternativoj	prononco
level	ek!	aus! (anfangen)	off! (to start)	grupo	alternativoj	prononco
level	salti kaj eksaltis	springen und sprangen	to jump and jumped 	grupo	alternativoj	prononco
level	ĉiam frua	immer früh	always early	grupo	alternativoj	prononco
level	hodiaŭ metis kaj kuris	heute Put and Run	today put and ran	grupo	alternativoj	prononco
level	aĵo, ne aĝo	eine Sache, die nicht altert	a thing not age	grupo	alternativoj	prononco
level	kuris laŭ homoj saĝaj	lief entlang weise Leute	ran along wise people	grupo	alternativoj	prononco
level	laŭeble baldaŭ	schnellstmöglich	soon as possible	grupo	alternativoj	prononco
level	kia knabo, kia knabino	Was für ein Junge, was für ein Mädchen	what a boy, what a girl	grupo	alternativoj	prononco
level	nek pensita nek memorita	weder gedacht noch auswendig gelernt	neither thought nor memorized	grupo	alternativoj	prononco
level	diablo atendis akvon dimanĉe	Ein Teufel wartete am Sonntag auf Wasser	a devil waited for water on Sunday	grupo	alternativoj	prononco
level	tiom malgranda momento	so ein kleiner Moment	such a small moment	grupo	alternativoj	prononco
level	eĉ tiom malgranda momento valoras	Auch solch ein kleiner Moment ist es wert	even such a small moment is worthwhile	grupo	alternativoj	prononco
level	kriis for ĝis nokto	weinte bis in die Nacht	cried away until night	grupo	alternativoj	prononco
level	lasis la poŝton de la mano	Lege die Post von der Hand weg	put away the mailpost from the hand	grupo	alternativoj	prononco
level	ridis mem lasante la poŝton	lachte vor sich hin und steckte die Post weg	laughed by oneself, putting away the mailpost	grupo	alternativoj	prononco
level	nek li nek ŝi ridis	weder er noch sie lachten	neither he nor she laughed	grupo	alternativoj	prononco
level	ŝi nek ridis nek respondis	Sie lachte weder und antwortete nicht	she neither laughed nor answered	grupo	alternativoj	prononco
level	li nek sidas nek rigardas	er sitzt weder und schaut nicht zu	he neither sits nor watches	grupo	alternativoj	prononco
level	neniam mi vidis	ich habe nie ... gesehen	I have never seen	grupo	alternativoj	prononco
level	mi neniam diros al iu	Ich werde es niemandem erzählen	I will never tell anyone	grupo	alternativoj	prononco
level	diru al neniu	Erzähl es niemandem	tell no one	grupo	alternativoj	prononco
level	mi neniam diros	Das werde ich nie sagen	I will never say	grupo	alternativoj	prononco
level	mem	zu sich selbst (allein)	to oneself (by oneself)	grupo	alternativoj	prononco
level	mi mem faris	ich habe es selbst gemacht	I did it myself	grupo	alternativoj	prononco
level	faris tion	habe es geschafft (habe es geschafft)	did it (made it)	grupo	alternativoj	prononco
level	mem faris tion	hat es selbst gemacht (selbst gemacht)	did it oneself (made it oneself)	grupo	alternativoj	prononco
level	ĝis la revido, ĝis revido	Wir sehen uns (wieder), wir sehen uns (wieder)	see you (again), see you (again)	grupo	alternativoj	prononco
level	ĝis!	bis! (Verabschiedung!)	until! (goodbye!)	grupo	alternativoj	prononco
level	ekparoli	anfangen zu reden	to start talking	grupo	alternativoj	prononco
level	ekparolis, komencis paroli finfine	fing an zu sagen, begann endlich zu sprechen	started saying, began to speak at last	grupo	alternativoj	prononco
level	trinkis rapidege	sehr schnell getrunken	drank very fast	grupo	alternativoj	prononco
level	trinkis matenan trinkaĵon	hatte einen Morgendrink	had a morning drink	grupo	alternativoj	prononco
level	por frue veni	früh kommen	to come early	grupo	alternativoj	prononco
level	veni al la lernejo	zur Schule kommen	to come to school	grupo	alternativoj	prononco
level	frue veni al ~	früh zu ~ kommen	to come early to ~	grupo	alternativoj	prononco
level	ne aŭdis novaĵon	habe keine Nachrichten gehört	didn't hear news	grupo	alternativoj	prononco
level	ankoraŭ ne aŭdis	noch nicht gehört	didn't hear yet	grupo	alternativoj	prononco
level	mi ankoraŭ ne aŭdis	Ich habe es noch nicht gehört	I didn't hear yet	grupo	alternativoj	prononco
level	en tiu momento	In diesem Moment	in that moment	grupo	alternativoj	prononco
level	en tiu momento li ekkriis	in diesem Moment weinte er	in that moment he cried	grupo	alternativoj	prononco
level	knabo, kiu ne amas	ein Junge, der nicht liebt	a boy, who does not love	grupo	alternativoj	prononco
level	geknaboj	Jungen und Mädchen	boys and girls	grupo	alternativoj	prononco
level	aliaj geknaboj	andere Jungen und Mädchen	other boys and girls	grupo	alternativoj	prononco
level	ne amas aliajn geknabojn	liebt andere Jungen und Mädchen nicht	does not love other boys and girls	grupo	alternativoj	prononco
level	nek amikojn, nek amikinojn	weder Freunde noch Freundinnen	neither friends nor girl friends	grupo	alternativoj	prononco
level	havas nek monon, nek tempon	hat weder Geld noch Zeit	does not have neither money nor time	grupo	alternativoj	prononco
level	kiu havis la libron?	Wer hatte das Buch?	who had the book?	grupo	alternativoj	prononco
level	la libron, kiun vi atendis	Das Buch, auf das du gewartet hast	the book which you waited	grupo	alternativoj	prononco
level	tiun, kiun vi atendis pli ol du jarojn	das, worauf du mehr als 2 Jahre gewartet hast	that, which you waited for more than 2 years	grupo	alternativoj	prononco
level	ĉu vi volas tion?	Willst du das?	do you want that?	grupo	alternativoj	prononco
level	ĉu vi volas, ke ~ ?	Willst du das ~?	do you want that ~ ?	grupo	alternativoj	prononco
level	plej kara	Liebste	dearest	grupo	alternativoj	prononco
level	plej kara foto	liebstes Foto	dearest photo	grupo	alternativoj	prononco
level	mian plej karan foton	mein liebstes Foto	my dearest photo	grupo	alternativoj	prononco
level	kie vi aĉetis ~ ?	Wo hast du ~ gekauft?	where did you buy ~ ?	grupo	alternativoj	prononco
level	tiu vestaĵo	diese Kleidung	that clothing	grupo	alternativoj	prononco
level	tiun vestaĵon	diese Kleidung (objektiv)	that clothing (objective)	grupo	alternativoj	prononco
level	aĉetis tiun vestaĵon	habe das Outfit gekauft	bought that outfit	grupo	alternativoj	prononco
level	vi iros tien	Du wirst dorthin gehen	you will go there	grupo	alternativoj	prononco
level	kien vi iros?	Wohin gehst du?	where are you going to?	grupo	alternativoj	prononco
level	suna tago	sonniger Tag	sunny day	grupo	alternativoj	prononco
level	estos suna tago	es wird ein sonniger Tag sein	it will be a sunny day	grupo	alternativoj	prononco
level	se estos suna tago	ob es ein sonniger Tag wird	if it will be a sunny day	grupo	alternativoj	prononco
level	via frato jam ekiris	Dein Bruder hat schon angefangen	your brother has already started	grupo	alternativoj	prononco
level	ĉu via frato jam ekiris?	hat dein Bruder schon angefangen?	has your brother started yet?	grupo	alternativoj	prononco
level	kie estas la akvo?	wo ist das Wasser	where is the water	grupo	alternativoj	prononco
level	kunporti la akvon	um das Wasser zu bringen	to bring the water	grupo	alternativoj	prononco
level	vi mem kunportis	Du hast es selbst mitgebracht	you yourself brought	grupo	alternativoj	prononco
level	la akvon, kion vi mem kunportis	das Wasser, das du selbst mitgebracht hast	the water, that you yourself brought	grupo	alternativoj	prononco
level	estis tre trankvila	war sehr ruhig	was very quiet	grupo	alternativoj	prononco
level	hodiaŭ mia patrino estis ~	Heute war meine Mutter ~	today my mother was ~	grupo	alternativoj	prononco
level	mi venis el ~	Ich komme aus ~	I came from ~	grupo	alternativoj	prononco
level	el la lernejo	aus der Schule	out of the school	grupo	alternativoj	prononco
level	raportis al ~	berichtet an ~	reported to ~	grupo	alternativoj	prononco
level	kaj raportis al ŝi	und meldete es ihr	and reported to her	grupo	alternativoj	prononco
level	raportis, ke ~	berichtete, dass ~	reported that ~	grupo	alternativoj	prononco
level	raportis, ke mi ricevos	berichtet, dass ich erhalten werde	reported that I will receive	grupo	alternativoj	prononco
level	mi ricevos malbonan noton	Ich werde eine schlechte Note bekommen	I will get a bad grade	grupo	alternativoj	prononco
level	ŝi diris, ke ~	sie hat das gesagt ~	she said that ~	grupo	alternativoj	prononco
level	vi devas laborigi ~	Du musst dafür sorgen, dass ~ funktioniert	you have to make ~ work	grupo	alternativoj	prononco
level	pli multe	mehr	more	grupo	alternativoj	prononco
level	pli multe laborigi	um die Arbeit mehr zu machen	to make work more	grupo	alternativoj	prononco
level	laborigi vian kapon	damit dein Kopf funktioniert	to make your head work	grupo	alternativoj	prononco
level	kiom da malbonaj notoj	wie viele schlechte Noten	how many bad grades	grupo	alternativoj	prononco
level	vi havas tiom da malbonaj notoj	Du hast so viele schlechte Noten	you have so many bad grades	grupo	alternativoj	prononco
level	estis malĝoja	war traurig	was sad	grupo	alternativoj	prononco
level	en vian ĉambron	in dein Zimmer	into your room	grupo	alternativoj	prononco
level	iru en vian ĉambron	geh in dein Zimmer	go into your room	grupo	alternativoj	prononco
level	iru kaj lernu	Geh und lerne	go and learn	grupo	alternativoj	prononco
level	mi sidis	Ich saß	I sat	grupo	alternativoj	prononco
level	en mia ĉambro	in meinem Zimmer	in my room	grupo	alternativoj	prononco
level	sidis en mia ĉambro	saß in meinem Zimmer	sat in my room	grupo	alternativoj	prononco
level	nek lerni nek legi	weder lernen noch lesen	neither learn nor read	grupo	alternativoj	prononco
level	sed mi povis nek lerni nek legi	aber ich konnte weder lernen noch lesen	but I could neither learn nor read	grupo	alternativoj	prononco
level	miaj pensoj	meine Gedanken	my thoughts	grupo	alternativoj	prononco
level	ĉe ludo	bei einem Spiel	at a game	grupo	alternativoj	prononco
level	ludo kun miaj amikoj	Spiel mit meinen Freunden	game with my friends	grupo	alternativoj	prononco
level	ĉe sporto	beim Sport	at sport	grupo	alternativoj	prononco
level	al mi mem	an mich	to myself	grupo	alternativoj	prononco
level	diris al mi mem	sagte ich mir	said to myself	grupo	alternativoj	prononco
level	tiom malsaĝa	so dumm	so stupid	grupo	alternativoj	prononco
level	ĉu mi estas tiom malsaĝa?	Bin ich so dumm?	am I that stupid?	grupo	alternativoj	prononco
level	kvankam mi lernis multe	obwohl ich viel gelernt habe	although I learned a lot	grupo	alternativoj	prononco
level	la patrino eniris	Die Mutter trat ein	the mother entered	grupo	alternativoj	prononco
level	miaj vortoj	meine Worte	my words	grupo	alternativoj	prononco
level	kaj aŭdis miajn vortojn	und hörte meine Worte	and heard my words	grupo	alternativoj	prononco
level	ŝi tuj respondis	sie antwortete sofort	she answered immediately	grupo	alternativoj	prononco
level	ne, mia kara	Nein, mein Lieber	no, my dear	grupo	alternativoj	prononco
level	vi ne estas malsaĝa	du bist nicht dumm	you are not stupid	grupo	alternativoj	prononco
level	la problemo estas, ke ~	Das Problem ist, dass ~	the problem is that ~	grupo	alternativoj	prononco
level	ke vi devas lerni	Das musst du lernen	that you must learn	grupo	alternativoj	prononco
level	devas lerni multe pli	muss noch viel lernen	must learn much more	grupo	alternativoj	prononco
level	tiam vi ne havos	dann wirst du es nicht haben	then you will not have	grupo	alternativoj	prononco
level	malbonaj notoj	schlechte Noten	bad grades	grupo	alternativoj	prononco
level	havos nur malbonajn notojn	wird nur schlechte Noten haben	will have only bad grades	grupo	alternativoj	prononco
level	ankaŭ nun	auch jetzt	also now	grupo	alternativoj	prononco
level	mi ne havas ilin	Ich habe sie nicht	I don't have them	grupo	alternativoj	prononco
level	mi havas bonan noton	Ich habe eine gute Note	I have a good grade	grupo	alternativoj	prononco
level	pri muziko	über Musik	about music	grupo	alternativoj	prononco
level	bonan noton pri muziko	eine gute Anmerkung zur Musik	a good note on music	grupo	alternativoj	prononco
level	la patrino subite ekridis	Die Mutter brach plötzlich in Gelächter aus	the mother suddenly burst out laughing	grupo	alternativoj	prononco
level	tio plibeligis ~	das verschönert ~	that beautified ~	grupo	alternativoj	prononco
level	mian tagon	Mein Tag	my day	grupo	alternativoj	prononco
level	plibeligis mian tagon	meinen Tag gerettet	made my day	grupo	alternativoj	prononco
level	sed tamen restis	blieb aber trotzdem	but still remained	grupo	alternativoj	prononco
level	sed la problemo tamen restis	aber das Problem blieb bestehen	but the problem still remained	grupo	alternativoj	prononco
level	kilogramo da ~	ein Kilogramm ~	a kilogram of ~	grupo	alternativoj	prononco
level	kilogramo da sukero	ein Kilogramm Zucker	a kilogram of sugar	grupo	alternativoj	prononco
level	glaso da ~	ein Glas ~	a glass of ~	grupo	alternativoj	prononco
level	glaso da akvo	ein Glas Wasser	a glass of water	grupo	alternativoj	prononco
level	multe da ~	eine Menge ~	a lot of ~	grupo	alternativoj	prononco
level	multe da ideoj	viele Ideen	lots of ideas	grupo	alternativoj	prononco
level	deteni sin	zurückhalten	to hold back	grupo	alternativoj	prononco
level	ordigis ĉion	alles geklärt	sorted everything out	grupo	alternativoj	prononco
level	transdonis al li	ihm übergeben	handed over to him	grupo	alternativoj	prononco
level	mi petas	ich frage	I'm asking	grupo	alternativoj	prononco
level	glason da kafo	ein Glas Kaffee	a glass of coffee	grupo	alternativoj	prononco
level	kaj iom da akvo	und etwas Wasser	and some water	grupo	alternativoj	prononco
level	mi petas glason da kafo	Ich hätte gerne ein Glas Kaffee	I would like a glass of coffee	grupo	alternativoj	prononco
level	mi petas tason da teo	Ich hätte gerne eine Tasse Tee	I would like a cup of tea	grupo	alternativoj	prononco
level	doloris lin	verletze ihn	hurt him	grupo	alternativoj	prononco
level	la kapo doloris lin	sein Kopf tat weh	his head hurt	grupo	alternativoj	prononco
level	li malsaniĝis	er wurde krank	he fell ill	grupo	alternativoj	prononco
level	ŝatas esti bela	mag es schön zu sein	likes to be beautiful	grupo	alternativoj	prononco
level	ŝi beligis sian vizaĝon	Sie verschönerte ihr Gesicht	she beautified her face	grupo	alternativoj	prononco
level	la knabo ŝatas esti bela	Der Junge mag es, hübsch zu sein	the boy likes to be pretty	grupo	alternativoj	prononco
level	pro tio ŝi beligis ĝin	deshalb verschönerte sie es	therefore she beautified it	grupo	alternativoj	prononco
level	post la tagmanĝo	nach dem Mittagessen	after lunch	grupo	alternativoj	prononco
level	purigi la kuirejon	um die Küche zu reinigen	to clean the kitchen	grupo	alternativoj	prononco
level	kiu purigos la kuirejon?	Wer putzt die Küche?	who will clean the kitchen?	grupo	alternativoj	prononco
level	volas trinki	will trinken	wants to drink	grupo	alternativoj	prononco
level	kion vi volas trinki?	Was möchtest du trinken?	what do you want to drink	grupo	alternativoj	prononco
level	trinki teon	Tee trinken	to drink tea	grupo	alternativoj	prononco
level	iom da akvo	etwas Wasser	a little of water	grupo	alternativoj	prononco
level	ĉu vi volas nenion?	Willst du nichts?	do you want nothing?	grupo	alternativoj	prononco
level	tiel subite	so plötzlich	so suddenly	grupo	alternativoj	prononco
level	kial vi decidis ~ ?	Warum hast du dich entschieden ~ ?	why did you decide ~ ?	grupo	alternativoj	prononco
level	kial vi tiel subite decidis ~ ?	Warum hast du dich so plötzlich entschieden?	why did you decide ~ so suddenly?	grupo	alternativoj	prononco
level	via ĉambro	Ihr Zimmer	your room	grupo	alternativoj	prononco
level	via ĉambreto	Dein kleines Zimmer	your little room	grupo	alternativoj	prononco
level	vian ĉambreton	in dein kleines Zimmer	to your little room	grupo	alternativoj	prononco
level	renovigi vian ĉambreton	um Ihr kleines Zimmer zu renovieren	to renovate your little room	grupo	alternativoj	prononco
level	decidis renovigi vian ĉambreton	Ich habe beschlossen, Ihr kleines Zimmer zu renovieren	decided to renovate your little room	grupo	alternativoj	prononco
level	al kiu	an wen	to whom	grupo	alternativoj	prononco
level	vi donis ~	du hast ~ gegeben	you gave ~	grupo	alternativoj	prononco
level	al kiu vi donis ~ ?	Wem hast du ~ gegeben?	to whom did you give ~ ?	grupo	alternativoj	prononco
level	puraj glasoj	saubere Gläser	clean glasses	grupo	alternativoj	prononco
level	vi donis la purajn glasojn	Du hast die sauberen Gläser gegeben	you gave the clean glasses	grupo	alternativoj	prononco
level	la puraj glasoj por la vino	die sauberen Gläser für den Wein	the clean glasses for the wine	grupo	alternativoj	prononco
level	kontraŭ kiu	gegen wen	against whom	grupo	alternativoj	prononco
level	via sportklubo	Dein Sportverein	your sports club	grupo	alternativoj	prononco
level	ludas kontraŭ ~	spielt gegen ~	plays against ~	grupo	alternativoj	prononco
level	antaŭ du semajnoj	vor zwei Wochen	two weeks ago	grupo	alternativoj	prononco
level	kontraŭ kiu via sportklubo ludis?	Gegen wen hat Ihr Sportverein gespielt?	who did your sports club play against?	grupo	alternativoj	prononco
level	ĉu vi vidas ~ ?	siehst du ~ ?	do you see ~ ?	grupo	alternativoj	prononco
level	ĉu vi ofte vidas ~ ?	siehst du oft ~?	do you often see ~ ?	grupo	alternativoj	prononco
level	ofte vidas la policiston	Ich sehe oft den Polizisten	often see the policeman	grupo	alternativoj	prononco
level	tiu, kiu loĝas en ~	derjenige, der in ~ lebt	the one who lives in ~	grupo	alternativoj	prononco
level	loĝas en la loĝejo	wohnt in der Unterkunft	lives in the lodging place	grupo	alternativoj	prononco
level	la loĝejo super vi	der Wohnort über dir	the dwelling place above you	grupo	alternativoj	prononco
level	vidas la policiston, kiu loĝas en ~	sieht den Polizisten, der in ~ wohnt	sees the police officer who lives in ~	grupo	alternativoj	prononco
level	plano pri veturado	Fahrplan	driving plan	grupo	alternativoj	prononco
level	volis vojaĝi	wollte reisen	wanted to travel	grupo	alternativoj	prononco
level	vojaĝi al alia lando	in ein anderes Land reisen	to travel to another country	grupo	alternativoj	prononco
level	en libertempo	in der Freizeit	in free time	grupo	alternativoj	prononco
level	ili decidis iri	sie beschlossen zu gehen	they decided to go	grupo	alternativoj	prononco
level	decidis iri al Italio	beschloss, nach Italien zu gehen	decided to go to Italy	grupo	alternativoj	prononco
level	malnovaj urboj	alte Städte	old cities	grupo	alternativoj	prononco
level	lando kun malnovaj urboj	ein Land mit alten Städten	a country with old cities	grupo	alternativoj	prononco
level	aliaj belaĵoj	andere Schönheiten	other beauties	grupo	alternativoj	prononco
level	kaj aliaj belaĵoj	und andere Schönheiten	and other beauties	grupo	alternativoj	prononco
level	bela lando kun malnovaj urboj kaj aliaj belaĵoj	ein wunderschönes Land mit alten Städten und anderen Schönheiten	a beautiful country with old cities and other beauties	grupo	alternativoj	prononco
level	ili estis feliĉaj	Sie waren glücklich	they were happy	grupo	alternativoj	prononco
level	kie estas ~ ?	Wo ist ~?	where is ~ ?	grupo	alternativoj	prononco
level	kie estas mia vestaĵo?	Wo sind meine Klamotten	where are my clothes	grupo	alternativoj	prononco
level	ŝi demandis ~	sie fragte ~	she asked ~	grupo	alternativoj	prononco
level	ni ne forgesu kunporti ~	Vergessen wir nicht, ~ mitzubringen	let's not forget to bring ~	grupo	alternativoj	prononco
level	kunporti la libron	das Buch mitzunehmen	to take the book with you	grupo	alternativoj	prononco
level	libro por lerni Esperanton	Ein Buch zum Esperanto-Lernen	a book to learn Esperanto	grupo	alternativoj	prononco
level	kunporti libron por lerni	ein Buch tragen, um zu lernen	to carry a book to learn	grupo	alternativoj	prononco
level	ni povas komenci ~	wir können anfangen ~	we can start ~	grupo	alternativoj	prononco
level	en la vagonaro	im Zug	in the train	grupo	alternativoj	prononco
level	jam en la vagonaro	schon im Zug	already in the train	grupo	alternativoj	prononco
level	ni nenion faros	wir werden nichts tun	we won't do anything	grupo	alternativoj	prononco
level	per aŭto	mit dem Auto	by car	grupo	alternativoj	prononco
level	ni veturos per ~	wir werden vorbeifahren ~	we will drive by ~	grupo	alternativoj	prononco
level	veturos per aŭto	werde ein Auto fahren	will drive a car	grupo	alternativoj	prononco
level	mi havas sekreton	ich habe ein Geheimnis	I have a secret	grupo	alternativoj	prononco
level	mia riĉa onklo	mein reicher Onkel	my rich uncle	grupo	alternativoj	prononco
level	mia deziro	mein Wunsch	my wish	grupo	alternativoj	prononco
level	plenumis mian deziron	hat meinen Wunsch erfüllt	fulfilled my wish	grupo	alternativoj	prononco
level	donis al ni	gab uns	gave us	grupo	alternativoj	prononco
level	sian aŭton	sein Auto	his car	grupo	alternativoj	prononco
level	kaj donis al ni sian aŭton	und gab uns sein Auto	and gave us his car	grupo	alternativoj	prononco
level	por uzo	für den Einsatz	for use	grupo	alternativoj	prononco
level	ĝi staras antaŭ ~	es steht vor ~	it stands before ~	grupo	alternativoj	prononco
level	staras antaŭ la domo	steht vor dem Haus	stands in front of the house	grupo	alternativoj	prononco
level	mi devas diri ~	Ich muss sagen ~	I have to say ~	grupo	alternativoj	prononco
level	nenion diru	Sag nichts	don't say anything	grupo	alternativoj	prononco
level	ni eksidu	Lass uns hinsetzen	let's sit down	grupo	alternativoj	prononco
level	eksidu en la aŭton	steig ins Auto	get in the car	grupo	alternativoj	prononco
level	veturi al ~	nach ~ fahren	to drive to ~	grupo	alternativoj	prononco
level	kaj veturu al Italio	und nach Italien fahren	and drive to Italy	grupo	alternativoj	prononco
level	sidis en la aŭto	saß im Auto	sat in the car	grupo	alternativoj	prononco
level	ankaŭ la vestaĵoj	auch die Kleidung	also the clothes	grupo	alternativoj	prononco
level	~ estis en la aŭto	~ war im Auto	~ was in the car	grupo	alternativoj	prononco
level	ankoraŭ sidadis kaj atendis	saß immer noch da und wartete	still sat and waited	grupo	alternativoj	prononco
level	sed li atendis	aber er wartete	but he waited	grupo	alternativoj	prononco
level	kial ni ne ~ ?	Warum machen wir es nicht?	why don't we ~ ?	grupo	alternativoj	prononco
level	kial ni ne ekveturas?	Warum fahren wir nicht los?	why don't we start driving?	grupo	alternativoj	prononco
level	ankaŭ mi havas ~	Ich habe ~ auch	I have ~ too	grupo	alternativoj	prononco
level	veturigus la aŭton	würde das Auto fahren	would drive the car	grupo	alternativoj	prononco
level	sed mi ne scias ~	aber ich weiß es nicht ~	but I don't know ~	grupo	alternativoj	prononco
level	mi neniam lernis tion	Das habe ich nie gelernt	I never learned that	grupo	alternativoj	prononco
level	mi kredus ~	Ich würde glauben ~	I would believe ~	grupo	alternativoj	prononco
level	se mi estus sana	wenn ich gesund wäre	if I were healthy	grupo	alternativoj	prononco
level	mi estus tre feliĉa	ich wäre sehr glücklich	I would be very happy	grupo	alternativoj	prononco
level	kvazaŭ vi estus riĉulo	als wärst du reich	as if you were rich	grupo	alternativoj	prononco
level	vi sidas tie kvazaŭ vi estus riĉulo	Du sitzt da, als wärst du ein reicher Mann	you sit there as if you were a rich man	grupo	alternativoj	prononco
level	kvazaŭa lernejo	angebliche Schule	alleged school	grupo	alternativoj	prononco
level	kvazaŭ riĉulo	wie ein reicher Mann	like a rich man	grupo	alternativoj	prononco
level	vi sidas tie kvazaŭ riĉulo	Du sitzt da wie ein reicher Mann	you sit there like a rich man	grupo	alternativoj	prononco
level	tiom da mono	so viel Geld	so much money	grupo	alternativoj	prononco
