eo	en-us	ko-kr	fr	ja-jp	zh-cn	zh-tw	vi-vn	mn	th	ms	id	hi	fa	ne	ur	tr	he	ar	de	es	it	pt	ru	pl
triki	to knit	(실) 뜨다, 짜다	tricoter	（糸）編む、織る	编织	編織	Đan	нэхэх	ที่จะถัก	mengait	untuk merajut	को बुनना	بافتن	बुन्नु	بننا	örmek	לסרוג	أن يحبك	stricken	tejer	lavorare a maglia	tricotar	вязать	robić na drutach
adiaŭo	a farewell, a goodbye	헤어짐	un adieu, un au revoir	別れ	一次告别，一次再见	一次告別，一次再見	lời tạm biệt, lời tạm biệt	салах ёс, баяртай	ลาก่อน ลาก่อน	perpisahan, selamat tinggal	perpisahan, selamat tinggal	एक विदाई, एक अलविदा	یک خداحافظی، یک خداحافظی	एक विदाई, एक अलविदा	الوداع، الوداع	bir veda, bir veda	פרידה, פרידה	وداعا وداعا	ein Abschied, ein Auf Wiedersehen	una despedida, un adios	un addio, un arrivederci	uma despedida, um adeus	прощай, до свидания	pożegnanie, pożegnanie
plus	plus	더하기	plus	プラス	加	加	thêm	нэмэх	บวก	tambah lagi	plus	प्लस	به علاوه	प्लस	پلس	artı	ועוד	زائد	Plus	más	più	mais	плюс	plus
ĝenevo	Geneva	제네바	Genève	ジュネーブ	日内瓦	日內瓦	Genève	Женев	เจนีวา	Geneva	Jenewa	जिनेवा	ژنو	जेनेभा	جنیوا	Cenevre	ז'נבה	جنيف	Genf	Ginebra	Ginevra	Genebra	Женева	Genewa
soifa	thirsty	목마른	soif	のどが渇いた	渴	渴	khát	цангасан	กระหายน้ำ	dahaga	haus	प्यासा	تشنه	तिर्खा लागेको	پیاسا	susuz	צמא	متعطش	durstig	sediento	assetato	sedento	испытывающий жажду	spragniony
revuo	a review, magazine, periodical, revue	평론, 전문잡지, (군사) 열병, 사열	une revue, un magazine, un périodique, une revue	評論、専門誌、（軍事）熱病、死熱	评论、杂志、期刊、评论	評論、雜誌、期刊、評論	một bài đánh giá, tạp chí, định kỳ, bản sửa đổi	тойм, сэтгүүл, тогтмол хэвлэл, тойм	บทวิจารณ์, นิตยสาร, วารสาร, บททบทวน	ulasan, majalah, berkala, ulasan	ulasan, majalah, berkala, revue	एक समीक्षा, पत्रिका, आवधिक, समीक्षा	یک بررسی، مجله، دوره ای، مرور	एक समीक्षा, पत्रिका, आवधिक, revue	ایک جائزہ، میگزین، میگزین، revue	inceleme, dergi, süreli yayın, revü	ביקורת, מגזין, כתב עת, ריוויו	مراجعة، مجلة، دورية، مراجعة	eine Rezension, ein Magazin, eine Zeitschrift, eine Revue	una reseña, revista, periódico, revista	rivista, rivista, periodico, rivista	uma crítica, revista, periódico, revista	обзор, журнал, периодическое издание, ревю	recenzja, czasopismo, periodyk, rewia
saĝo	a wisdom	현명, 지혜	une sagesse	賢明、知恵	一种智慧	一種智慧	một sự khôn ngoan	мэргэн ухаан	ภูมิปัญญา	satu hikmah	sebuah kebijaksanaan	एक बुद्धि	یک حکمت	एक बुद्धि	ایک حکمت	bir bilgelik	חוכמה	حكمة	eine Weisheit	una sabiduría	una saggezza	uma sabedoria	мудрость	mądrość
saĝulo	a sage	현인	un sage	賢人	一位圣人	一位聖人	một nhà hiền triết	мэргэн хүн	ปราชญ์	seorang bijak	seorang bijak	एक ऋषि	یک حکیم	एक ऋषि	ایک بابا	bir bilge	חכם	حكيم	ein Weiser	un sabio	un saggio	um sábio	мудрец	mędrzec
unu la alian	one another	서로	un autre	お互い	另一个	另一個	lẫn nhau	нэг нэгэндээ	ซึ่งกันและกัน	satu sama lain	satu sama lain	एक दूसरे	یکی دیگر	एक अर्का	ایک دوسرے	bir başka	אחד את השני	واحد اخر	einander	unos y otros	l'un l'altro	um outro	друг друга	nawzajem
suda	southern	남쪽의	du sud	南の	南部	南部	phía Nam	өмнөд	ภาคใต้	selatan	selatan	दक्षिण	جنوبی	दक्षिणी	جنوبی	güney	דְרוֹמִי	جنوبي	Süd-	del Sur	meridionale	sulista	южный	południowy
favoro	a favor, a goodwill	호의, 은총	une faveur, une bonne volonté	好意、優美	一个恩惠，一个善意	一個恩惠，一個善意	một ân huệ, một thiện chí	ивээл, сайн санаа	ความโปรดปรานความปรารถนาดี	nikmat, muhibah	bantuan, niat baik	एक उपकार, एक सद्भावना	یک لطف، یک حسن نیت	एक पक्ष, एक सद्भावना	ایک احسان، ایک خیر سگالی	bir iyilik, bir iyi niyet	טובה, רצון טוב	معروف، حسن النية	ein Gefallen, ein guter Wille	un favor, una buena voluntad	un favore, una buona volontà	um favor, uma boa vontade	одолжение, добрая воля	przysługę, dobrą wolę
Tokio	Tokyo	도쿄	Tokyo	東京	东京	東京	Tokyo	Токио	โตเกียว	Tokyo	Tokyo	टोक्यो	توکیو	टोकियो	ٹوکیو	Tokyo	טוקיו	طوكيو	Tokio	Tokio	Tokio	Tóquio	Токио	Tokio
rabato	a discount, a rebate	할인, 공제	une remise, une remise	割引、控除	折扣，回扣	折扣，回扣	sự giảm giá, sự giảm giá	хөнгөлөлт, хөнгөлөлт	ส่วนลดส่วนลด	diskaun, rebat	diskon, rabat	एक छूट, एक छूट	یک تخفیف، یک تخفیف	छूट, छूट	ایک رعایت، ایک چھوٹ	indirim, indirim	הנחה, הנחה	خصم، خصم	ein Rabatt, eine Rückerstattung	un descuento, una rebaja	uno sconto, un abbuono	um desconto, um desconto	скидка, скидка	rabat, rabat
hura	hurrah! hooray!	만세!	Hourra! hourra!	万歳！	欢呼！万岁！	歡呼！萬歲！	tiếng hoan hô! hoan hô!	Ухаа! хөөе!	เย่! ไชโย!	hurrah! hore!	Hore! hore!	हुर्रे! हुर्रे!	هورا! هورا!	हुर्राह! हुर्रे!	ہرا! ہورے!	Yaşasın! Yaşasın!	הורה! הידד!	يا هلا! مرحا!	Hurra! Hurra!	¡Hurra! ¡Hurra!	evviva! evviva!	viva! viva!	Ура! Ура!	Hurra! hura!
trinkaĵo	something to drink	음료, 마실 것	quelque chose à boire	飲み物、飲むこと	喝点东西	喝點東西	cái gì đó để uống	уух зүйл	บางสิ่งบางอย่างที่จะดื่ม	sesuatu untuk diminum	sesuatu untuk diminum	कुछ पीना के लिए है	چیزی برای نوشیدن	पिउन केहि	کچھ پینے کے لئیے	içecek bir şey	משהו לשתות	شيء للشرب	etwas zu trinken	algo de beber	qualcosa da bere	algo para beber	что-нибудь выпить	coś do picia
triope	in trio	3인조로	en trio	3人組で	三重奏	三重奏	trong bộ ba	гурвалсан	ในสามคน	dalam trio	dalam trio	तिकड़ी में	به صورت سه گانه	तीन मा	تینوں میں	üçlü	בשלישייה	في الثلاثي	im Trio	en trío	nel trio	em trio	в трио	w trio
unu aŭ la alia	one or the other	어느 한 쪽이거나, 또는 다른 쪽이거나	un ou l'autre	どちらか一方、または他方	非此即彼	非此即彼	cái này hay cái kia	нэг юм уу нөгөө	อย่างใดอย่างหนึ่ง	satu atau yang lain	satu atau yang lain	एक या दूसरा	این یا اون یکی	एक वा अर्को	ایک یا دوسرا	biri veya diğeri	זה או אחר	واحد او الاخر	Das Eine oder das Andere	uno o el otro	uno o l'altro	um ou outro	один или другой	ten lub inny
unua	first	첫째의	d'abord	最初の	第一的	第一的	Đầu tiên	эхлээд	อันดับแรก	pertama	Pertama	पहला	اولین	पहिलो	پہلا	Birinci	ראשון	أولاً	Erste	primero	Primo	primeiro	первый	Pierwszy
termometro	a thermometer	온도계, 체온계	un thermomètre	温度計、体温計	温度计	溫度計	một nhiệt kế	термометр	เทอร์โมมิเตอร์	sebuah termometer	sebuah termometer	थर्मोमीटर	یک دماسنج	एक थर्मोमिटर	ایک تھرمامیٹر	termometre	מדחום	مقياس حراره	ein Thermometer	un termómetro	un termometro	Um termômetro	термометр	termometr
unuigita	united	통일된	uni	統一された	团结的	團結的	thống nhất	нэгдсэн	สห	bersatu	serikat	यूनाइटेड	متحد شده است	संयुक्त	متحد	Birleşik	מאוחד	متحد	vereinigt	unido	unito	unido	объединенный	zjednoczony
aŭskultilo	a earphone, a receiver	이어폰	un écouteur, un récepteur	イヤホン	一个耳机，一个听筒	一個耳機，一個聽筒	tai nghe, máy thu	чихэвч, хүлээн авагч	หูฟัง, เครื่องรับ	fon telinga, penerima	earphone, penerima	एक ईयरफ़ोन, एक रिसीवर	یک گوشی، یک گیرنده	इयरफोन, रिसिभर	ایک ائرفون، ایک ریسیور	bir kulaklık, bir alıcı	אוזניות, מקלט	سماعة، جهاز الاستقبال	ein Kopfhörer, ein Empfänger	un auricular, un receptor	un auricolare, un ricevitore	um fone de ouvido, um receptor	наушники, приемник	słuchawka, odbiornik
unuvorte	in one word	한 마디로	en un mot	一言で言う	总而言之	總而言之	trong một từ	нэг үгээр	ในหนึ่งคำ	dalam satu perkataan	dalam satu kata	एक शब्द में	در یک کلمه	एक शब्द मा	ایک لفظ میں	tek kelimede	במילה אחת	بإيجاز	in einem Wort	en una palabra	in una parola	em uma palavra	одним словом	jednym słowem
vekiĝi	to wake up	잠깨다	se réveiller	目を覚ます	起床	起床	thức dậy	сэрэх	ตื่นนอน	untuk bangun	bangun	जागृत करने के लिए	از خواب بیدار شدن	उठ्नु	اٹھ جو	uyanmak	להעיר	للإستيقاظ	aufwachen	despertar	svegliarsi	acordar	проснуться	obudzić się
foriri	to go away	멀리가다, 떠나다	s'en aller	離れる、去る	走开	走開	đi xa	явж үз	ไปตามทาง	untuk pergi	untuk pergi	दूर जाना	دور شدن	टाढा जान	دور جانے کے لیے	gitmek	ללכת	لترحل	wegzugehen	irse	andare via	ir embora	уходить	odejść
tekniko	technique, a technic	기술, 기법, 수법, 공학	technique, une technique	技術、技法、手法、工学	技术，技术	技術，技術	kỹ thuật, một kỹ thuật	техник, техник	เทคนิค, เทคนิค	teknik, teknik	teknik, sebuah teknik	तकनीक, एक तकनीक	تکنیک، یک تکنیک	प्रविधि, प्राविधिक	تکنیک، ایک ٹیکنیک	teknik, teknik	טכניקה, טכניקה	تقنية، تقنية	Technik, eine Technik	técnica, una técnica	tecnica, una tecnica	técnica, uma técnica	техника, техника	technika, technika
nobelo	a nobleman, a noble	귀족	un noble, un noble	貴族	一个贵族，一个贵族	一個貴族，一個貴族	một quý tộc, một quý tộc	язгууртан, язгууртан	ขุนนางผู้สูงศักดิ์	bangsawan, bangsawan	seorang bangsawan, seorang bangsawan	एक रईस, एक रईस	یک نجیب، یک نجیب	एक कुलीन, एक महान	ایک رئیس، ایک رئیس	bir asilzade, bir asilzade	אציל, אציל	نبيل، نبيل	ein Edelmann, ein Adliger	un noble, un noble	un nobile, un nobile	um nobre, um nobre	дворянин, дворянин	szlachcic, szlachcic
ĝuste	corretly	정확히, 바로	correctement	まさに、まさに	正确地	正確地	chính xác	зөвөөр	อย่างถูกต้อง	dengan betul	dengan benar	ठीक है	به درستی	सही रूपमा	درست طریقے سے	doğru olarak	נכון	بشكل صحيح	Richtig	correctamente	correttamente	corretamente	правильно	poprawnie
reklami	to advertise	광고하다	faire de la publicité	広告する	打广告	打廣告	Quảng cáo	сурталчлах	โฆษณา	untuk mengiklankan	mengiklankan	विज्ञापित करने के लिए	برای تبلیغ	विज्ञापन गर्न	اشتہار کیلئے	reklam yapmak	לפרסם	للإعلان	werben	hacer publicidad	a promuovere	advertir	рекламировать	reklamować
vato	a cotton wool, a wadding	솜, 탈지면	un coton, une ouate	綿、脱脂綿	一块棉絮，一块棉絮	一塊棉絮，一塊棉絮	một miếng bông gòn, một tấm lót	хөвөн ноос, хөвөн даавуу	สำลีแผ่นใย	bulu kapas, gumpalan	kapas, gumpalan	एक रूई, एक कपड़ा	یک پشم پنبه، یک وات	एक कपास ऊन, एक wadding	روئی کی اون، ایک جھاڑی	bir pamuk yünü, bir vatka	צמר גפן, צמר גפן	صوف قطني، حشوة	eine Watte, eine Watte	un algodón, una guata	un batuffolo di cotone, un'ovatta	um algodão, um enchimento	вата, вата	wata, wata
escepti	to except, to exclude	제외하다	exclure, exclure	除く	排除，排除	排除，排除	ngoại trừ, loại trừ	үл хамаарах, хасах	ยกเว้น, ยกเว้น	mengecualikan, mengecualikan	untuk mengecualikan, untuk mengecualikan	छोड़ना, बहिष्कृत करना	به جز، حذف کردن	बाहेक, बहिष्कार गर्न	چھوڑنا، خارج کرنا	hariç tutmak, hariç tutmak	למעט, להוציא	إلى باستثناء، استبعاد	ausschließen, ausschließen	exceptuar, excluir	escludere, escludere	exceto, excluir	исключать, исключать	wykluczać, wykluczać
helpo	a help	도움, 원조	une aide	助け、援助	一个帮助	一個幫助	Một sự giúp đỡ	тусламж	ความช่วยเหลือ	bantuan	sebuah bantuan	सहायता # सहायक	یک کمک	एक मद्दत	ایک مدد	yardım	עזרה	مساعدة	eine Hilfe	una ayuda	un aiuto	uma ajuda	помощь	pomoc
bildrakonto	a comic strip, a comic book	만화(漫畵)	une bande dessinée, une bande dessinée	漫画(漫畵)	连环漫画，漫画书	連環漫畫，漫畫書	một truyện tranh, một cuốn truyện tranh	комикс, комик ном	หนังสือการ์ตูน, หนังสือการ์ตูน	jalur komik, buku komik	komik strip, buku komik	एक कॉमिक स्ट्रिप, एक कॉमिक बुक	یک کمیک استریپ، یک کتاب مصور	एक हास्य पट्टी, एक हास्य पुस्तक	ایک مزاحیہ پٹی، ایک مزاحیہ کتاب	çizgi roman, çizgi roman	רצועת קומיקס, חוברת קומיקס	شريط هزلي، كتاب هزلي	ein Comic, ein Comicbuch	una tira cómica, un libro de historietas	un fumetto, un fumetto	uma história em quadrinhos, uma história em quadrinhos	комикс, комикс	komiks, komiks
poemo	a poem	시	un poème	市	一首诗	一首詩	một bài thơ	шүлэг	บทกวี	sebuah puisi	sebuah puisi	एक कविता	یک شعر	कविता	ایک نظم	şiir	שיר	قصيدة	ein Gedicht	un poema	un poema	um poema	Стихотворение	wiersz
vojaĝo	a travel	여행	un voyage	旅行	一次旅行	一次旅行	một chuyến du lịch	аялал	การเดินทาง	sebuah perjalanan	sebuah perjalanan	यात्रा	یک مسافرت	एक यात्रा	ایک سفر	seyahat	טיול	سفر	eine Reise	un viaje	un viaggio	uma viagem	путешествие	podróż
bofilo	a son-in-law	사위	un gendre	卑劣	女婿	女婿	con rể	хүргэн	ลูกเขย	seorang menantu	seorang menantu laki-laki	एक दामाद	یک داماد	एक ज्वाइँ	ایک داماد	bir damat	חתן	صهر	ein Schwiegersohn	un yerno	un genero	um genro	зять	zięć
zorgo	care	돌봄, 배려, 근심	se soucier	世話、心配、心配	关心	關心	quan tâm	халамж	การดูแล	jaga	peduli	देखभाल	اهميت دادن	हेरचाह	دیکھ بھال	bakım	לְטַפֵּל	رعاية	Pflege	cuidado	cura	Cuidado	Забота	opieka
papilio	a butterfly	나비	un papillon	蝶	一只蝴蝶	一隻蝴蝶	một con bướm	эрвээхэй	ผีเสื้อ	seekor rama-rama	seekor kupu-kupu	एक तितली	یک پروانه	एउटा पुतली	ایک تتلی	bir kelebek	פרפר	فراشة	ein Schmetterling	una mariposa	una farfalla	uma borboleta	бабочка	Motyl
dek du	twelve	열둘, 12	douze	十二、12	十二	十二	mười hai	арван хоёр	สิบสอง	dua belas	dua belas	बारह	دوازده	बाह्र	بارہ	on iki	שתיים עשרה	اثني عشر	zwölf	doce	dodici	doze	двенадцать	dwanaście
apostrofo	an apostrophe	생략 또는 인용부호(')	une apostrophe	省略または引用符（ '）	撇号	撇號	một dấu nháy đơn	апостроф	เครื่องหมายอะพอสทรอฟี่	sebuah apostrof	sebuah apostrof	एक धर्मोपदेश	یک آپستروف	एक apostrophe	apostrophe	kesme işareti	אפוסתרוף	فاصلة عليا	ein Apostroph	un apóstrofe	un apostrofo	um apóstrofo	апостроф	apostrof
fluido	fluid, a fluid	유체, 액체	fluide, un fluide	流体、液体	流体，流体	流體，流體	chất lỏng, một chất lỏng	шингэн, шингэн	ของไหล, ของไหล	cecair, cecair	cairan, cairan	द्रव, एक तरल पदार्थ	مایع، مایع	तरल पदार्थ, तरल पदार्थ	سیال، ایک سیال	sıvı, sıvı	נוזל, נוזל	سائل، سائل	Flüssigkeit, eine Flüssigkeit	fluido, un fluido	fluido, un fluido	fluido, um fluido	жидкость, жидкость	płyn, płyn
milimetro	a millimeter	밀리미터	un millimètre	ミリメートル	一毫米	一毫米	một milimet	миллиметр	มิลลิเมตร	satu milimeter	satu milimeter	एक मिलीमीटर	یک میلی متر	एक मिलिमिटर	ایک ملی میٹر	bir milimetre	מילימטר	ملليمتر	ein Millimeter	un milímetro	un millimetro	um milímetro	миллиметр	milimetr
dependi	to depend	~ 에 달려있다, 의존하다	dépendre	〜に依存する、依存する	依赖	依賴	phụ thuộc	хамаарах	ขึ้นอยู่	untuk bergantung	bergantung	निर्भर करने के लिए	بستگی داشتن	भर पर्नु	انحصار کرنا	bağımlı olmak	להסתמך	لكي تعتمد	abhängen	depender	dipendere	depender	зависеть	zależeć
dek kvar	fourteen	열넷, 14	quatorze	サーネット、14	十四	十四	mười bốn	арван дөрөв	สิบสี่	empat belas	empat belas	चौदह	چهارده	चौध	چودہ	on dört	ארבעה עשר	أربعة عشرة	vierzehn	catorce	quattordici	quatorze	четырнадцать	czternaście
dek ses	sixteen	열여섯, 16	seize	16、16	十六	十六	mười sáu	арван зургаа	สิบหก	enam belas	enambelas	सोलह	شانزده	सोह्र	سولہ	on altı	שש עשרה	السادس عشر	sechzehn	dieciséis	sedici	dezesseis	шестнадцать	szesnaście
dinosaŭro	a dinosaur	공룡	un dinosaure	恐竜	一只恐龙	一隻恐龍	một con khủng long	үлэг гүрвэл	ไดโนเสาร์	dinosaur	seekor dinosaurus	एक रूढ़िवादी	یک دایناسور	एक डायनासोर	ایک ڈایناسور	bir dinazor	דינוזאור	ديناصور	ein Dinosaurier	un dinosaurio	un dinosauro	um dinossauro	динозавр	dinozaur
migri	to migrate, to roam, to wander	유랑하다, 이주하다, 옮겨 다니며 살다	migrer, errer, errer	流暢、移住、移動して生きる	迁徙、漫游、徘徊	遷徙、漫遊、徘徊	di cư, đi lang thang, đi lang thang	нүүдэллэх, тэнүүчлэх, тэнүүчлэх	อพยพ, เร่ร่อน, เร่ร่อน	berhijrah, merantau, merayau	bermigrasi, mengembara, mengembara	प्रवास करना, घूमना, भटकना	مهاجرت کردن، پرسه زدن، سرگردانی	बसाइँ सर्ने, घुम्ने, घुम्ने	ہجرت کرنا، گھومنا پھرنا، گھومنا پھرنا	göç etmek, dolaşmak, dolaşmak	לנדוד, לשוטט, לנדוד	للهجرة، للتجول، للتجول	migrieren, umherwandern, wandern	migrar, vagar, vagar	migrare, vagare, girovagare	migrar, vagar, vagar	мигрировать, странствовать, странствовать	wędrować, wędrować, wędrować
dek ok	eighteen	열여덟, 18	dix-huit	18、18	十八	十八	mười tám	арван найман	สิบแปด	lapan belas	delapan belas	अठारह	هجده	अठारह	اٹھارہ	on sekiz	שמונה עשרה	الثامنة عشر	achtzehn	dieciocho	diciotto	dezoito	восемнадцать	osiemnaście
kompleta	complete	완비된, 다 갖춘, 완벽한	complet	設備の整った、完璧な、完璧な	完全的	完全的	hoàn thành	бүрэн	สมบูรณ์	lengkap	menyelesaikan	पूरा	کامل	पूरा	مکمل	tamamlamak	לְהַשְׁלִים	مكتمل	vollständig	completo	completare	completo	полный	kompletny
miligramo	a milligram	밀리그램	un milligramme	ミリグラム	一毫克	一毫克	một miligam	миллиграмм	มิลลิกรัม	satu miligram	satu miligram	एक मिलीग्राम	یک میلی گرم	एक मिलिग्राम	ایک ملیگرام	bir miligram	מיליגרם	مليغرام	ein Milligramm	un miligramo	un milligrammo	um miligrama	миллиграмм	miligram
dormigilo	a sleeping pill	수면제	un somnifère	睡眠薬	安眠药	安眠藥	một viên thuốc ngủ	нойрны эм	ยานอนหลับ	pil tidur	pil tidur	एक नींद की गोली	یک قرص خواب	निद्राको गोली	ایک نیند کی گولی	uyku hapı	כדור שינה	حبة منومة	eine Schlaftablette	una pastilla para dormir	un sonnifero	um comprimido para dormir	снотворное	pigułka nasenna
dudek	twenty	이십, 20	vingt	20、20	二十	二十	hai mươi	хорин	ยี่สิบ	dua puluh	dua puluh	बीस	بیست	बीस	بیس	yirmi	עשרים	عشرين	zwanzig	veinte	venti	vinte	двадцать	20
dormanto	a sleeper	잠자는 사람	un dormeur	眠っている人	一个卧铺	一個臥舖	một người ngủ	унтагч	คนนอนหลับ	seorang yang tidur	orang yang sedang tidur	एक स्लीपर	یک خواب آور	एक सुत्ने व्यक्ति	ایک سونے والا	uyuyan	ישן	نائم	ein Schläfer	un durmiente	un dormiente	um dorminhoco	спящий	śpiący
entrepreni	to undertake	~ 을 착수하다	à entreprendre	〜を着手する	承担	承擔	đảm nhận	хийх	ที่จะดำเนินการ	untuk melaksanakan	untuk melakukan	शुरू करने के लिए	به عهده گرفتن	सञ्चालन गर्न	کرنے کے لئے	üstlenmek	להתחייב	للقيام	Unternehmen	para llevar a cabo	intraprendere	para empreender	провести	do podjęcia
hundido	a puppy	강아지	un chiot	子犬	一只小狗	一隻小狗	cún con	гөлөг	ลูกหมา	anak anjing	seekor anak anjing	एक पिल्ला	یک توله سگ	एउटा कुकुर	ایک کتے کا بچہ	bir köpek yavrusu	כלבלב	جرو	ein Welpe	un cachorro	Un cucciolo	um cãozinho	щенок	szczeniak
kvardek	forty	사십, 40	quarante	四十、40	四十	四十	bốn mươi	дөчин	สี่สิบ	empat puluh	empat puluh	चालीस	چهل	चालीस	چالیس	kırk	ארבעים	أربعين	vierzig	cuarenta	quaranta	quarenta	сорок	czterdzieści
tricent	three hundred	삼백, 300	trois cents	三百、300	三百	三百	ba trăm	гурван зуу	สามร้อย	tiga ratus	tiga ratus	तीन सौ	سیصد	तीन सय	تین سو	üç yüz	שלוש מאות	ثلاثمائه	dreihundert	trescientos	trecento	trezentos	три сотни	trzysta
iom post iom	little by little	조금씩 조금씩	petit à petit	少しずつ少しずつ	一点一点地	一點一點地	từng chút một	бага багаар	ทีละเล็กทีละน้อย	sedikit demi sedikit	sedikit demi sedikit	थोड़ा - थोड़ा करके	کم کم	अलि अलि गरी	تھوڑا تھوڑا کر کے	azar azar	לאט לאט	شيأ فشيأ	Stück für Stück	poco a poco	poco per volta	pouco a pouco	понемногу	stopniowo
revi	to dream, to daydream	공상하다, 꿈꾸다	rêver, rêver	空想する、夢を見る	做梦，做白日梦	做夢，做白日夢	mơ mộng, mơ mộng	зүүдлэх, зүүдлэх	ฝัน ฝันกลางวัน	bermimpi, berkhayal	bermimpi, melamun	स्वप्न देखना, दिवास्वप्न देखना	رویا دیدن، رویاپردازی	सपना देख्न, दिवास्वप्न	خواب دیکھنا، دن کا خواب دیکھنا	hayal kurmak, hayal kurmak	לחלום, לחלום בהקיץ	للحلم، لأحلام اليقظة	träumen, tagträumen	soñar, soñar despierto	sognare, fantasticare	sonhar, sonhar acordado	мечтать, мечтать	marzyć, marzyć
fiŝboato	a fishing boat	어선(漁船)	un bateau de pêche	漁船	一艘渔船	一艘漁船	một chiếc thuyền đánh cá	загас агнуурын завь	เรือประมง	sebuah bot nelayan	sebuah perahu nelayan	एक मछली पकड़ने वाली नाव	یک قایق ماهیگیری	माछा मार्ने डुङ्गा	ایک ماہی گیری کی کشتی	bir balıkçı teknesi	סירת דייגים	قارب صيد	ein Fischerboot	un barco de pesca	una barca da pesca	um barco de pesca	рыбацкая лодка	łódź rybacka
mem kompreneble	self-explanatorily	자명하게	de manière explicite	自明に	不言自明的	不言自明的	tự giải thích	өөрөө тайлбарлах	อธิบายตนเองได้	secara terang-terangan	cukup jelas	स्व-व्याख्यात्मक रूप से	به طور خود توضیحی	आत्म-व्याख्यात्मक रूपमा	خود وضاحتی طور پر	açıklayıcı bir şekilde	באופן עצמי	لا تحتاج إلى شرح	selbsterklärend	se explica por sí mismo	auto-esplicativo	autoexplicativo	самоочевидно	nie wymaga wyjaśnień
flegistino	a nurse	간호사	une infirmière	看護師	护士	護士	một y tá	сувилагч	พยาบาล	seorang jururawat	perawat	नर्स	یک پرستار	नर्स	ایک نرس	bir hemşire	אחות	ممرض	eine Krankenschwester	una enfermera	un'infermiera	uma enfermeira	няня	pielęgniarka
ni diru	let's say	어디 보자, 이렇게 얘기하자	Disons	どこで見よう、こう話しよう	比方说	比方說	hãy cùng nói nào	гэж хэлье	สมมติว่า	katakan	Katakanlah	हम कहते हैं	بیایید بگوییم	भनौं	چلو ہم کہتے ہیں کہ	diyelimki	נניח	دعنا نقول	sagen wir	digamos	diciamo	Digamos	скажем так	powiedzmy
traktoro	a tractor	트랙터, 견인차	un tracteur	トラクター、牽引車	拖拉机	聯結機	một cái máy kéo	трактор	รถแทรกเตอร์	sebuah traktor	sebuah traktor	ट्रैक्टर	یک تراکتور	एक ट्रयाक्टर	ایک ٹریکٹر	bir traktör	טרקטור	جرار	ein Traktor	un tractor	un trattore	um trator	трактор	Ciągnik
Ido	Ido (a child language of Esperanto)	이도 (에스페란토의 자식언어)	Ido (une langue enfantine de l'espéranto)	離島（エスペラントの子言語）	Ido（世界语的一种儿童语言）	Ido（世界語的一種兒童語言）	Ido (ngôn ngữ con của Esperanto)	Идо (эсперанто хэлний хүүхэд хэл)	อิโด (ภาษาลูกของเอสเปรันโต)	Ido (bahasa kanak-kanak Esperanto)	Ido (bahasa anak Esperanto)	इडो (एस्पेरान्तो की एक बाल भाषा)	ایدو (زبان کودک اسپرانتو)	इडो (एस्पेरान्तोको बाल भाषा)	آئیڈو (ایسپرانٹو کی بچوں کی زبان)	Ido (Esperanto'nun bir çocuk dili)	עידו (שפת ילדה של אספרנטו)	إيدو (لغة الطفل من الاسبرانتو)	Ido (eine Kindersprache von Esperanto)	Ido (una lengua hija del esperanto)	Ido (una lingua figlia dell'esperanto)	Ido (uma língua infantil do Esperanto)	Идо (дочерний язык эсперанто)	Ido (język dziecięcy esperanta)
florpoto	a flower pot	화분(花盆)	un pot de fleur	鉢植え（花盆）	一个花盆	一個花盆	một chậu hoa	цэцгийн сав	กระถางดอกไม้	pasu bunga	pot bunga	एक फूलदान	یک گلدان گل	फूलको भाँडो	ایک پھول کا برتن	bir saksı	עציץ	وعاء زهرة	ein Blumentopf	una maceta	un vaso di fiori	um vaso de flores	горшок для цветов	doniczka
florvazo	a flower vase	꽃병	un vase à fleurs	花瓶	一个花瓶	一個花瓶	một bình hoa	цэцгийн ваар	แจกันดอกไม้	pasu bunga	vas bunga	एक फूलदान	یک گلدان گل	एक फूलदानी	ایک پھول کا گلدستہ	bir çiçek vazo	אגרטל פרחים	مزهرية زهرة	eine Blumenvase	un florero	un vaso di fiori	um vaso de flores	ваза для цветов	wazon z kwiatami
heredi	to inherit	상속받다, 물려받다	Hériter	継承される、受け継がれる	继承	繼承	kế thừa	өвлөх	ที่จะสืบทอด	Mewarisi	untuk mewarisi	विरासत में पाने के लिए	به ارث بردن	उत्तराधिकार गर्न	وارث کے لئے	miras	לרשת	ليرث	übernehmen	heredar	ereditare	herdar	наследовать	Odziedziczyć
flugbileto	an air ticket	비행기표	un billet d'avion	飛行機票	一张机票	一張機票	một vé máy bay	онгоцны тийз	ตั๋วเครื่องบิน	tiket penerbangan	sebuah tiket pesawat	एक हवाई टिकट	یک بلیط هواپیما	एक हवाई टिकट	ایک ہوائی ٹکٹ	uçak bileti	כרטיס טיסה	تذكرة طيران	ein Flugticket	un billete de avión	un biglietto aereo	uma passagem aérea	авиабилет	bilet lotniczy
robo	a dress	긴옷, 예복, 법복	une robe	ロングスーツ、衣服、法服	一件衣服	一件衣服	một chiếc váy	даашинз	แต่งตัว	sebuah pakaian	sebuah gaun	एक पोशाक	یک لباس	एउटा पोशाक	ایک لباس	bir elbise	שמלה	فستان	ein Kleid	un vestido	un abito	um vestido	платье	sukienka
