eo	en-us	ko-kr	fr	ja-jp	zh-cn	zh-tw	vi-vn	mn	th	ms	id	hi	fa	ne	ur	tr	he	ar	de	es	it	pt	ru	pl	km	my	bn	ta	pa	mr	te	uk	sv	sw	nl	no	da	lv	ro	lt	bg	sk	sl	et	cs	fi	hu	el
vi provu solvi ilin	you try to solve them	당신은 그것들을 풀어보시기 바랍니다	tu essaies de les résoudre	あなたはそれらを解決してください	你尝试解决它们	你嘗試解決它們	bạn cố gắng giải quyết chúng	Та тэдгээрийг шийдэхийг хичээдэг	คุณพยายามที่จะแก้ไขพวกเขา	anda cuba menyelesaikannya	Anda mencoba menyelesaikannya	आप उन्हें सुलझाने का प्रयास करें	شما سعی می کنید آنها را حل کنید	तपाईं तिनीहरूलाई समाधान गर्न प्रयास गर्नुहोस्	آپ ان کو حل کرنے کی کوشش کریں۔	onları çözmeye çalışıyorsun	אתה מנסה לפתור אותם	تحاول حلها	Sie versuchen, sie zu lösen	intentas resolverlos	provi a risolverli	você tenta resolvê-los	ты пытаешься их решить	próbujesz je rozwiązać	អ្នកព្យាយាមដោះស្រាយពួកគេ។	သင်သူတို့ကိုဖြေရှင်းရန်ကြိုးစားပါ။	আপনি তাদের সমাধান করার চেষ্টা করুন	நீங்கள் அவற்றை தீர்க்க முயற்சி செய்கிறீர்கள்	ਤੁਸੀਂ ਉਹਨਾਂ ਨੂੰ ਹੱਲ ਕਰਨ ਦੀ ਕੋਸ਼ਿਸ਼ ਕਰੋ	तुम्ही त्यांना सोडवण्याचा प्रयत्न करा	మీరు వాటిని పరిష్కరించడానికి ప్రయత్నించండి	ви намагаєтеся їх вирішити	du försöker lösa dem	unajaribu kuyatatua	je probeert ze op te lossen	du prøver å løse dem	du prøver at løse dem	jūs mēģināt tos atrisināt	incerci sa le rezolvi	bandai juos išspręsti	вие се опитвате да ги разрешите	pokúsite sa ich vyriešiť	jih poskušaš rešiti	proovite neid lahendada	pokusíte se je vyřešit	yrität ratkaista ne	megpróbálod megoldani őket	προσπαθείς να τα λύσεις
mi proponas ke vi provu solvi ilin	I suggest you try to solve them	나는 당신이 그것들을 풀어보기를 제안합니다	Je vous suggère d'essayer de les résoudre	私はあなたがそれらを解決することを提案します	我建议你尝试解决它们	我建議你嘗試解決它們	Tôi đề nghị bạn cố gắng giải quyết chúng	Тэдгээрийг шийдэхийг хичээхийг би танд санал болгож байна	ฉันขอแนะนำให้คุณลองแก้ปัญหาเหล่านี้	Saya cadangkan anda cuba menyelesaikannya	Saya sarankan Anda mencoba menyelesaikannya	मेरा सुझाव है कि आप उन्हें हल करने का प्रयास करें	پیشنهاد می کنم برای حل آنها تلاش کنید	म सुझाव दिन्छु कि तपाइँ तिनीहरूलाई समाधान गर्न प्रयास गर्नुहोस्	میرا مشورہ ہے کہ آپ ان کو حل کرنے کی کوشش کریں۔	bunları çözmeye çalışmanı öneririm	אני מציע לך לנסות לפתור אותם	أقترح عليك محاولة حلها	Ich schlage vor, dass Sie versuchen, sie zu lösen	te sugiero que intentes solucionarlos	Ti consiglio di provare a risolverli	Eu sugiro que você tente resolvê-los	Предлагаю вам попробовать их решить	Sugeruję, abyś spróbował je rozwiązać	ខ្ញុំស្នើឱ្យអ្នកព្យាយាមដោះស្រាយពួកគេ។	အဲဒါတွေကို ကြိုးစားဖြေရှင်းဖို့ အကြံပြုချင်ပါတယ်။	আমি আপনাকে তাদের সমাধান করার চেষ্টা করার পরামর্শ দিই	அவற்றைத் தீர்க்க முயற்சிக்குமாறு நான் பரிந்துரைக்கிறேன்	ਮੈਂ ਸੁਝਾਅ ਦਿੰਦਾ ਹਾਂ ਕਿ ਤੁਸੀਂ ਉਹਨਾਂ ਨੂੰ ਹੱਲ ਕਰਨ ਦੀ ਕੋਸ਼ਿਸ਼ ਕਰੋ	मी सुचवितो की आपण त्यांचे निराकरण करण्याचा प्रयत्न करा	వాటిని పరిష్కరించడానికి ప్రయత్నించమని నేను సూచిస్తున్నాను	Пропоную спробувати їх розгадати	Jag föreslår att du försöker lösa dem	Ninapendekeza ujaribu kuyatatua	Ik stel voor dat je ze probeert op te lossen	Jeg foreslår at du prøver å løse dem	Jeg foreslår, at du prøver at løse dem	Iesaku mēģināt tās atrisināt	Vă sugerez să încercați să le rezolvați	Siūlau pabandyti jas išspręsti	Предлагам ви да опитате да ги разрешите	Navrhujem, aby ste sa ich pokúsili vyriešiť	Predlagam, da jih poskusite rešiti	Soovitan teil proovida neid lahendada	Navrhuji, abyste je zkusili vyřešit	Suosittelen, että yrität ratkaista ne	Azt javaslom, próbálja meg megoldani őket	Σας προτείνω να προσπαθήσετε να τα λύσετε
kun Ana de Pollando, Boris de Germanio kaj Nacuko de Japanio	with Ana from Poland, Boris from Germany and Natsuko from Japan	폴란드에서 온 아나와, 독일에서 온 보리스와, 일본에서 온 나츠코와 함께	avec Ana de Pologne, Boris d'Allemagne et Natsuko du Japon	ポーランドから来たアナワ、ドイツから来たボリス、日本から来た夏子と	与来自波兰的安娜、来自德国的鲍里斯和来自日本的夏子在一起	與來自波蘭的安娜、來自德國的鮑里斯和來自日本的夏子	với Ana đến từ Ba Lan, Boris đến từ Đức và Natuko đến từ Nhật Bản	Польшийн Ана, Германы Борис, Японы Нацуко нартай	โดยมีอานาจากโปแลนด์ บอริสจากเยอรมนี และนัตสึโกะจากญี่ปุ่น	dengan Ana dari Poland, Boris dari Jerman dan Natsuko dari Jepun	bersama Ana dari Polandia, Boris dari Jerman dan Natsuko dari Jepang	पोलैंड से एना, जर्मनी से बोरिस और जापान से नात्सुको के साथ	با آنا از لهستان، بوریس از آلمان و ناتسوکو از ژاپن	पोल्याण्डकी आना, जर्मनीका बोरिस र जापानका नात्सुकोसँग	پولینڈ سے انا، جرمنی سے بورس اور جاپان سے ناٹسوکو کے ساتھ	Polonya'dan Ana, Almanya'dan Boris ve Japonya'dan Natsuko ile	עם אנה מפולין, בוריס מגרמניה ונאטסוקו מיפן	مع آنا من بولندا وبوريس من ألمانيا وناتسوكو من اليابان	mit Ana aus Polen, Boris aus Deutschland und Natsuko aus Japan	con Ana de Polonia, Boris de Alemania y Natsuko de Japón	con Ana dalla Polonia, Boris dalla Germania e Natsuko dal Giappone	com Ana da Polônia, Boris da Alemanha e Natsuko do Japão	с Аной из Польши, Борисом из Германии и Нацуко из Японии.	z Aną z Polski, Borisem z Niemiec i Natsuko z Japonii	ជាមួយ Ana មកពីប៉ូឡូញ Boris មកពីអាល្លឺម៉ង់ និង Natsuko មកពីប្រទេសជប៉ុន	ပိုလန်မှ Ana၊ ဂျာမနီမှ Boris နှင့် ဂျပန်နိုင်ငံမှ Natsuko တို့ ပါဝင်သည်။	পোল্যান্ডের আনা, জার্মানির বরিস এবং জাপানের নাটসুকোর সাথে	போலந்தைச் சேர்ந்த அனா, ஜெர்மனியைச் சேர்ந்த போரிஸ் மற்றும் ஜப்பானைச் சேர்ந்த நாட்சுகோ ஆகியோருடன்	ਪੋਲੈਂਡ ਤੋਂ ਐਨਾ, ਜਰਮਨੀ ਤੋਂ ਬੋਰਿਸ ਅਤੇ ਜਾਪਾਨ ਤੋਂ ਨੈਟਸੁਕੋ ਨਾਲ	पोलंडमधील आना, जर्मनीतील बोरिस आणि जपानमधील नत्सुको यांच्यासोबत	పోలాండ్ నుండి అనా, జర్మనీ నుండి బోరిస్ మరియు జపాన్ నుండి నట్సుకోతో కలిసి	з Аною з Польщі, Борисом з Німеччини та Нацуко з Японії	med Ana från Polen, Boris från Tyskland och Natsuko från Japan	pamoja na Ana kutoka Poland, Boris kutoka Ujerumani na Natsuko kutoka Japani	met Ana uit Polen, Boris uit Duitsland en Natsuko uit Japan	med Ana fra Polen, Boris fra Tyskland og Natsuko fra Japan	med Ana fra Polen, Boris fra Tyskland og Natsuko fra Japan	ar Anu no Polijas, Borisu no Vācijas un Natsuko no Japānas	cu Ana din Polonia, Boris din Germania și Natsuko din Japonia	su Ana iš Lenkijos, Borisu iš Vokietijos ir Natsuko iš Japonijos	с Ана от Полша, Борис от Германия и Нацуко от Япония	s Anou z Poľska, Borisom z Nemecka a Natsuko z Japonska	z Ano iz Poljske, Borisom iz Nemčije in Natsuko iz Japonske	koos Ana Poolast, Boris Saksamaalt ja Natsuko Jaapanist	s Ana z Polska, Boris z Německa a Natsuko z Japonska	Puolalaisen Anan, saksalaisen Borisin ja japanilaisen Natsukon kanssa	A lengyel Ana, a német Boris és a japán Natsuko társaságában	με την Ana από την Πολωνία, τον Boris από τη Γερμανία και τη Natsuko από την Ιαπωνία
nur voku min se vi bezonos helpon	just call me if you need help	당신이 도움이 필요하면 나를 부르세요	appelez-moi seulement si vous avez besoin d'aide	あなたが助けが必要な場合は私を呼んでください	如果您需要帮助，请找我	如果您需要協助，請給我打電話	cứ gọi cho tôi nếu bạn cần giúp đỡ	тусламж хэрэгтэй бол над руу залгаарай	แค่โทรหาฉันถ้าคุณต้องการความช่วยเหลือ	hanya hubungi saya jika anda memerlukan bantuan	hubungi saja saya jika Anda butuh bantuan	यदि आपको सहायता की आवश्यकता हो तो बस मुझे कॉल करें	فقط اگر به کمک نیاز دارید با من تماس بگیرید	यदि तपाईंलाई मद्दत चाहिन्छ भने मलाई कल गर्नुहोस्	اگر آپ کو مدد کی ضرورت ہو تو بس مجھے کال کریں۔	yardıma ihtiyacın olursa beni araman yeterli	פשוט התקשר אליי אם אתה צריך עזרה	فقط اتصل بي إذا كنت بحاجة إلى مساعدة	Rufen Sie mich einfach an, wenn Sie Hilfe benötigen	solo llámame si necesitas ayuda	chiamami se hai bisogno di aiuto	apenas me ligue se precisar de ajuda	просто позвони мне, если тебе понадобится помощь	po prostu zadzwoń do mnie, jeśli będziesz potrzebować pomocy	គ្រាន់តែហៅមកខ្ញុំប្រសិនបើអ្នកត្រូវការជំនួយ	အကူအညီလိုရင် ငါ့ကိုဖုန်းဆက်လိုက်ပါ။	আপনার সাহায্যের প্রয়োজন হলে শুধু আমাকে কল করুন	உங்களுக்கு உதவி தேவைப்பட்டால் என்னை அழைக்கவும்	ਜੇਕਰ ਤੁਹਾਨੂੰ ਮਦਦ ਦੀ ਲੋੜ ਹੈ ਤਾਂ ਮੈਨੂੰ ਕਾਲ ਕਰੋ	तुम्हाला मदत हवी असल्यास मला कॉल करा	మీకు సహాయం కావాలంటే నాకు కాల్ చేయండి	просто подзвони мені, якщо тобі потрібна допомога	ring mig bara om du behöver hjälp	nipigie tu ikiwa unahitaji msaada	Bel me gewoon als je hulp nodig hebt	bare ring meg hvis du trenger hjelp	bare ring til mig, hvis du har brug for hjælp	vienkārši zvaniet man, ja jums nepieciešama palīdzība	doar sună-mă dacă ai nevoie de ajutor	tiesiog paskambink man, jei reikia pagalbos	просто ми се обади, ако имаш нужда от помощ	len mi zavolajte, ak potrebujete pomoc	samo pokliči me, če potrebuješ pomoč	lihtsalt helista mulle, kui vajad abi	jen mi zavolejte, pokud budete potřebovat pomoc	soita vain jos tarvitset apua	csak hívj, ha segítségre van szükséged	απλά καλέστε με αν χρειάζεστε βοήθεια
poste en la libroservo	later in the book service	나중에 도서전시회(libroservo)에서	ensuite dans le service de livres	後で図書販売所で	稍后在图书服务处	稍後在圖書服務中	sau này trong dịch vụ sách	дараа нь номын үйлчилгээнд	ต่อมาในการให้บริการหนังสือ	kemudian dalam perkhidmatan buku	nanti di layanan buku	बाद में पुस्तक सेवा में	بعدا در سرویس کتاب	पछि पुस्तक सेवामा	بعد میں کتاب کی خدمت میں	daha sonra kitap servisinde	מאוחר יותר בשירות הספרים	في وقت لاحق في خدمة الكتاب	später im Buchservice	más tarde en el servicio de libros	più tardi nel servizio libri	mais tarde no serviço de livros	позже в книжном сервисе	później w serwisie książkowym	ក្រោយមកនៅក្នុងសេវាសៀវភៅ	နောက်ပိုင်းတွင် စာအုပ်ဝန်ဆောင်မှု	পরে বই সেবা	பின்னர் புத்தக சேவையில்	ਬਾਅਦ ਵਿੱਚ ਕਿਤਾਬ ਸੇਵਾ ਵਿੱਚ	नंतर पुस्तक सेवेत	తరువాత పుస్తక సేవలో	пізніше в книжковій службі	senare i boktjänsten	baadaye katika huduma ya kitabu	later in de boekenservice	senere i boktjenesten	senere i bogtjenesten	vēlāk grāmatu servisā	mai târziu în serviciul de carte	vėliau knygų tarnyboje	по-късно в службата за книги	neskôr v knižnej službe	kasneje v knjižnem servisu	hiljem raamatuteeninduses	později v knižní službě	myöhemmin kirjapalvelussa	később a könyvszolgálatban	αργότερα στην υπηρεσία βιβλίου
kiel do estis en la ĉielo?	so how was it in heaven?	그래서 천국에서는 어땠어요?	alors, comment c'était au paradis ?	それで天国ではどうでしたか？	那么天堂里的情况怎么样呢？	那麼天堂裡的情況怎麼樣呢？	vậy ở thiên đường thế nào?	тэгээд тэнгэрт яаж байсан бэ?	แล้วบนสวรรค์เป็นยังไงบ้าง?	jadi bagaimana keadaan di syurga?	jadi bagaimana di surga?	तो स्वर्ग में कैसा था?	پس در بهشت چگونه بود؟	त्यसोभए यो स्वर्गमा कस्तो थियो?	تو جنت میں کیسا تھا؟	peki cennette durum nasıldı?	אז איך היה בגן עדן?	فكيف كان الأمر في الجنة؟	Wie war es also im Himmel?	Entonces, ¿cómo fue en el cielo?	allora, com'è andata in paradiso?	então como foi no céu?	так как там было на небесах?	więc jak było w niebie?	ដូច្នេះតើវានៅស្ថានសួគ៌យ៉ាងដូចម្តេច?	ဒါဆို ကောင်းကင်မှာ ဘယ်လိုနေလဲ။	তাহলে স্বর্গে কেমন ছিল?	சொர்க்கத்தில் எப்படி இருந்தது?	ਤਾਂ ਇਹ ਸਵਰਗ ਵਿੱਚ ਕਿਵੇਂ ਸੀ?	मग ते स्वर्गात कसे होते?	కాబట్టి స్వర్గంలో ఎలా ఉంది?	то як було на небі?	så hur var det i himlen?	kwa hivyo ilikuwaje mbinguni?	Dus hoe was het in de hemel?	så hvordan var det i himmelen?	så hvordan var det i himlen?	nu kā tur bija debesīs?	deci cum a fost in rai?	tai kaip buvo danguje?	и как беше в рая?	tak ako bolo v nebi?	pa kako je bilo v nebesih?	kuidas siis taevas oli?	tak jak bylo v nebi?	niin miten oli taivaassa?	hát milyen volt a mennyországban?	πώς ήταν λοιπόν στον παράδεισο;
mi fakte renkontis veran anĝelinon!	I actually met a real angel!	사실 나는 진짜 천사를 만났어요!	En fait, j'ai rencontré un véritable ange !	実際、私は本当の天使に会いました！	我确实遇到真正的天使了！	我居然遇見真正的天使了！	Tôi thực sự đã gặp một thiên thần thực sự!	Би жинхэнэ сахиусан тэнгэртэй уулзсан!	ฉันได้พบกับนางฟ้าตัวจริงแล้ว!	Saya benar-benar bertemu dengan malaikat sebenar!	Saya benar-benar bertemu dengan malaikat sungguhan!	मैं वास्तव में एक असली देवदूत से मिला!	من در واقع با یک فرشته واقعی آشنا شدم!	मैले वास्तवमा एक वास्तविक परीलाई भेटें!	میں اصل میں ایک حقیقی فرشتہ سے ملا!	Aslında gerçek bir melekle tanıştım!	למעשה פגשתי מלאך אמיתי!	لقد التقيت بالفعل بملاك حقيقي!	Ich habe tatsächlich einen echten Engel getroffen!	¡De hecho conocí a un ángel real!	In realtà ho incontrato un vero angelo!	Na verdade, conheci um anjo de verdade!	Я действительно встретил настоящего ангела!	Rzeczywiście spotkałem prawdziwego anioła!	ខ្ញុំពិតជាបានជួបទេវតាពិតប្រាកដមែន!	တကယ့် နတ်သမီးတစ်ပါးနဲ့ တွေ့ခဲ့တယ်!	আমি আসলে একটি বাস্তব দেবদূত দেখা!	நான் உண்மையில் ஒரு உண்மையான தேவதையை சந்தித்தேன்!	ਮੈਂ ਅਸਲ ਵਿੱਚ ਇੱਕ ਅਸਲੀ ਦੂਤ ਨੂੰ ਮਿਲਿਆ!	मला खरंच एक खरा देवदूत भेटला!	నేను నిజంగా ఒక దేవదూతను కలిశాను!	Я насправді зустрів справжнього ангела!	Jag träffade faktiskt en riktig ängel!	Kwa kweli nilikutana na malaika wa kweli!	Ik heb eigenlijk een echte engel ontmoet!	Jeg møtte faktisk en ekte engel!	Jeg mødte faktisk en rigtig engel!	Es tiešām satiku īstu eņģeli!	De fapt, am întâlnit un înger adevărat!	Aš iš tikrųjų sutikau tikrą angelą!	Всъщност срещнах истински ангел!	V skutočnosti som stretol skutočného anjela!	Pravzaprav sem srečala pravega angela!	Tegelikult kohtasin tõelist inglit!	Vlastně jsem potkal skutečného anděla!	Tapasin todella oikean enkelin!	Valóban találkoztam egy igazi angyallal!	Πραγματικά γνώρισα έναν πραγματικό άγγελο!
ĉielece, mi pensas ke mi fakte renkontis veran anĝelinon!	heavenly, I think I actually met a real angel!	천국같았어요, 나는 진짜 천사를 만났다고 생각합니다	paradisiaque, je pense avoir rencontré un véritable ange !	天国みたいで、私は本当の天使に会ったと思います。	天哪，我想我真的遇到了一个真正的天使！	天哪，我想我真的遇到了一個真正的天使！	trời ơi, tôi nghĩ tôi thực sự đã gặp được một thiên thần thực sự!	диваажин, би жинхэнэ сахиусан тэнгэртэй учирсан гэж бодож байна!	สวรรค์ ฉันคิดว่าฉันได้พบกับนางฟ้าจริงๆ นะ!	syurga, saya rasa saya benar-benar bertemu dengan malaikat sebenar!	surgawi, saya rasa saya benar-benar bertemu dengan malaikat sungguhan!	स्वर्गीय, मुझे लगता है कि मैं वास्तव में एक वास्तविक देवदूत से मिला हूँ!	بهشتی، فکر می کنم واقعاً با یک فرشته واقعی آشنا شدم!	स्वर्गीय, मलाई लाग्छ कि मैले वास्तवमा एक वास्तविक परीलाई भेटें!	آسمانی، مجھے لگتا ہے کہ میں واقعی میں ایک حقیقی فرشتہ سے ملا ہوں!	Tanrı aşkına, sanırım gerçekten gerçek bir melekle tanıştım!	שמימי, אני חושב שבאמת פגשתי מלאך אמיתי!	يا إلهي، أعتقد أنني قابلت ملاكًا حقيقيًا بالفعل!	himmlisch, ich glaube, ich habe tatsächlich einen echten Engel getroffen!	celestial, ¡creo que en realidad conocí a un ángel real!	celeste, penso di aver effettivamente incontrato un vero angelo!	celestial, acho que realmente conheci um anjo de verdade!	Боже мой, мне кажется, я действительно встретил настоящего ангела!	boskie, chyba rzeczywiście spotkałam prawdziwego anioła!	ឋានសួគ៌ ខ្ញុំគិតថាខ្ញុំពិតជាបានជួបទេវតាពិតប្រាកដមែន!	ကောင်းကင်ဘုံ၊ ငါတကယ် နတ်သမီးတစ်ပါးနဲ့ တွေ့ခဲ့တယ်ထင်တယ်!	স্বর্গীয়, আমি মনে করি আমি আসলে একজন সত্যিকারের দেবদূতের সাথে দেখা করেছি!	பரலோக, நான் உண்மையில் ஒரு உண்மையான தேவதையை சந்தித்தேன் என்று நினைக்கிறேன்!	ਸਵਰਗੀ, ਮੈਨੂੰ ਲਗਦਾ ਹੈ ਕਿ ਮੈਂ ਅਸਲ ਵਿੱਚ ਇੱਕ ਅਸਲੀ ਦੂਤ ਨੂੰ ਮਿਲਿਆ!	स्वर्गीय, मला वाटते की मी खरोखरच एक खरा देवदूत भेटला आहे!	స్వర్గీయ, నేను నిజంగా ఒక నిజమైన దేవదూతను కలుసుకున్నాను!	боже, я думаю, що я справді зустрів справжнього ангела!	himmelskt, jag tror att jag faktiskt träffade en riktig ängel!	mbinguni, nadhani nilikutana na malaika wa kweli!	hemels, ik denk dat ik een echte engel heb ontmoet!	himmelsk, jeg tror jeg faktisk møtte en ekte engel!	himmelsk, jeg tror faktisk jeg mødte en rigtig engel!	Debesu, es domāju, ka es satiku īstu eņģeli!	ceresc, cred că de fapt am întâlnit un înger adevărat!	danguje, manau, kad iš tikrųjų sutikau tikrą angelą!	небесен, мисля, че наистина срещнах истински ангел!	nebeský, myslím, že som skutočne stretol skutočného anjela!	nebeško, mislim, da sem dejansko srečal pravega angela!	taevane, ma arvan, et kohtasin tegelikult tõelist inglit!	nebeský, myslím, že jsem skutečně potkal skutečného anděla!	taivaallinen, luulen tapaavani todellisen enkelin!	mennyei, azt hiszem, találkoztam egy igazi angyallal!	παραδεισένια, νομίζω ότι γνώρισα πραγματικά έναν πραγματικό άγγελο!
mirinde bela kaj afabla ŝi estis	she was amazingly beautiful and kind	그녀는 놀랍게도 아름답고 상냥했어요	elle était incroyablement belle et gentille	彼女は驚くほど美しく優しかった。	她非常美丽又善良	她非常美麗又善良	cô ấy xinh đẹp và tốt bụng đến kinh ngạc	тэр гайхалтай үзэсгэлэнтэй, эелдэг байсан	เธอสวยและใจดีอย่างน่าอัศจรรย์	dia sangat cantik dan baik	dia luar biasa cantik dan baik hati	वह आश्चर्यजनक रूप से सुंदर और दयालु थी	او به طرز شگفت انگیزی زیبا و مهربان بود	उनी अचम्मको सुन्दर र दयालु थिइन्	وہ حیرت انگیز طور پر خوبصورت اور مہربان تھی۔	inanılmaz derecede güzel ve nazikti	היא הייתה יפה וחביבה להפליא	كانت جميلة ولطيفة بشكل مثير للدهشة	Sie war unglaublich schön und freundlich	ella era increíblemente hermosa y amable	era straordinariamente bella e gentile	ela era incrivelmente linda e gentil	она была удивительно красивой и доброй	była niesamowicie piękna i miła	នាងពិតជាស្រស់ស្អាត និងចិត្តល្អ។	သူမသည် အံ့သြစရာကောင်းလောက်အောင် လှပပြီး ကြင်နာတတ်ပါသည်။	তিনি আশ্চর্যজনক সুন্দর এবং দয়ালু ছিল	அவள் அதிசயமாக அழகாகவும் அன்பாகவும் இருந்தாள்	ਉਹ ਅਦਭੁਤ ਸੁੰਦਰ ਅਤੇ ਦਿਆਲੂ ਸੀ	ती आश्चर्यकारकपणे सुंदर आणि दयाळू होती	ఆమె అద్భుతంగా అందంగా మరియు దయగా ఉంది	вона була дивовижно красива і добра	hon var fantastiskt vacker och snäll	alikuwa mrembo na mkarimu ajabu	ze was ongelooflijk mooi en aardig	hun var utrolig vakker og snill	hun var fantastisk smuk og venlig	viņa bija pārsteidzoši skaista un laipna	era uimitor de frumoasă și de bună	ji buvo nuostabiai graži ir maloni	тя беше невероятно красива и мила	bola úžasne krásna a milá	bila je neverjetno lepa in prijazna	ta oli hämmastavalt ilus ja lahke	byla úžasně krásná a laskavá	hän oli hämmästyttävän kaunis ja kiltti	elképesztően szép és kedves volt	ήταν απίστευτα όμορφη και ευγενική
ho, Dio mia! kaj kio estas ŝia nomo?	oh my god! and what is her name?	오, 하느님! 그래서 그녀의 이름은 뭐에요?	oh mon Dieu! et quel est son nom ?	ああ、神よ！彼女の名前は何ですか？	我的天啊！她叫什么名字？	我的天啊！她叫什麼名字？	Ôi chúa ơi! và tên cô ấy là gì?	ээ бурхан минь! мөн түүний нэр хэн бэ?	โอ้พระเจ้า! แล้วเธอชื่ออะไร?	ya tuhanku! dan siapa nama dia?	ya Tuhan! dan siapa namanya?	अरे बाप रे! और उसका नाम क्या है?	اوه خدای من! و نام او چیست؟	हे भगवान! र उनको नाम के हो?	یا الله! اور اس کا نام کیا ہے؟	Aman Tanrım! ve onun adı nedir?	אלוהים אדירים! ואיך קוראים לה	يا إلهي! وما هو اسمها؟	Ach du lieber Gott! und wie heißt sie?	¡ay dios mío! y como se llama?	Dio mio! e come si chiama?	oh meu Deus! e qual é o nome dela?	боже мой! и как ее зовут?	o mój Boże! i jak ona ma na imię?	អួ​ព្រះ​ជួយ! ហើយនាងឈ្មោះអ្វី?	အိုဘုရားရေ! သူမနာမည်ကဘာလဲ။	হে ভগবান! এবং তার নাম কি?	கடவுளே! அவள் பெயர் என்ன?	ਹਾਏ ਮੇਰੇ ਰੱਬਾ! ਅਤੇ ਉਸਦਾ ਨਾਮ ਕੀ ਹੈ?	अरे देवा! आणि तिचे नाव काय आहे?	ఓరి దేవుడా! మరియు ఆమె పేరు ఏమిటి?	Боже мій! і як її звати?	Herregud! och vad heter hon?	Mungu wangu! na jina lake ni nani?	O mijn God! en hoe heet ze?	Herregud! og hva heter hun?	Åh gud! og hvad hedder hun?	ak dievs! un kā viņu sauc?	oh, Doamne! si cum o cheama?	o Dieve! ir koks jos vardas?	Боже мой! и как се казва тя?	preboha! a ako sa volá?	o moj bog! in kako ji je ime?	Oh mu jumal! ja mis ta nimi on?	Ó můj bože! a jak se jmenuje?	Herranjumala! ja mikä hänen nimensä on?	Istenem! és mi a neve?	ω Θεέ μου! και πως την λένε;
aj, mi jam forgesis!	oh, I already forgot!	에이, 벌써 잊어버렸어요!	oh, j'ai déjà oublié !	あら、もう忘れました！	哦，我已经忘记了！	哦，我已經忘記了！	ôi tôi quên mất rồi!	Өө, би аль хэдийн мартчихсан байна!	โอ้ ฉันลืมไปแล้ว!	oh, saya sudah lupa!	oh, aku sudah lupa!	ओह, मैं पहले ही भूल गया था!	اوه، من قبلاً فراموش کردم!	ओह, मैले पहिले नै बिर्सेको छु!	اوہ، میں پہلے ہی بھول گیا ہوں!	Ah, çoktan unuttum!	הו, כבר שכחתי!	أوه، لقد نسيت بالفعل!	oh, das habe ich schon vergessen!	ay ya se me olvidó!	oh, già dimenticavo!	ah, já esqueci!	ой, я уже забыл!	och, już zapomniałem!	អូខ្ញុំភ្លេចហើយ!	အို ငါမေ့နေပြီ!	ওহ, আমি ইতিমধ্যে ভুলে গেছি!	ஓ, நான் ஏற்கனவே மறந்துவிட்டேன்!	ਓਹ, ਮੈਂ ਪਹਿਲਾਂ ਹੀ ਭੁੱਲ ਗਿਆ ਹਾਂ!	अरे, मी आधीच विसरलो!	ఓహ్, నేను ఇప్పటికే మర్చిపోయాను!	ой, я вже забув!	åh, jag har redan glömt!	oh, tayari nimesahau!	o, ik was het al vergeten!	åh, jeg har allerede glemt det!	åh, jeg har allerede glemt!	ak, es jau aizmirsu!	oh, deja am uitat!	oi, jau pamiršau!	ох вече забравих!	aha, už som zabudol!	oh, sem že pozabil!	oh, ma juba unustasin!	aha, už jsem zapomněl!	oi, unohdin jo!	ó, már elfelejtettem!	αχ, ξέχασα ήδη!
pli kaj pli ebriiĝas	more and more gets drunk	점점 더 취한다	de plus en plus s'enivre	だんだん酔っ払う	渐渐喝醉了	越來越多的人喝醉了	ngày càng say rượu	улам их согтдог	เมามากขึ้นเรื่อยๆ	semakin ramai yang mabuk	semakin banyak yang mabuk	अधिकाधिक नशे में धुत्त हो जाता है	بیشتر و بیشتر مست می شود	अधिक र अधिक रक्सी हुन्छ	زیادہ سے زیادہ نشے میں ہو جاتا ہے	gittikçe daha fazlası sarhoş oluyor	יותר ויותר משתכרים	المزيد والمزيد في حالة سكر	Immer mehr betrinken sich	cada vez se emborracha más	si ubriaca sempre di più	cada vez mais fica bêbado	все больше и больше напивается	coraz częściej się upija	កាន់តែស្រវឹង	ပိုပိုပြီးမူးလာတယ်။	আরো এবং আরো মাতাল পায়	மேலும் மேலும் குடித்துவிட்டு	ਵੱਧ ਤੋਂ ਵੱਧ ਸ਼ਰਾਬੀ ਹੋ ਜਾਂਦਾ ਹੈ	अधिकाधिक नशेत जातो	మరింత ఎక్కువగా తాగుతాడు	все більше напивається	fler och fler blir fulla	zaidi na zaidi analewa	steeds meer mensen worden dronken	flere og flere blir fulle	flere og flere bliver fulde	arvien vairāk piedzeras	se imbata tot mai multi	vis daugiau prisigeria	все повече се напива	stále viac sa opije	vedno bolj se napije	joob üha rohkem purju	čím dál víc se opíjí	enemmän ja enemmän humalassa	egyre többen berúgnak	όλο και περισσότερο μεθάει
