eo	en-us	ko-kr	fr	ja-jp	zh-cn	zh-tw	vi-vn
eniri la lernejon	to enter into the school	그 학교 안으로 들어가다	entrer à l'école	その学校の中に入る	进入学校	進入學校	để vào trường
sed tamen	but however	그러나 하지만	mais cependant	しかししかし	但无论如何	但無論如何	nhưng tuy nhiên
sed li ne povis	but he couldn't	그러나 그는 할수가 없었다	mais il ne pouvait pas	しかし、彼はできなかった	但他不能	但他不能	nhưng anh ấy không thể
fermi kaj fermita	to close and closed	닫다 그리고 닫힌	fermer et fermer	閉じる そして閉じた	关闭并关闭	關閉並關閉	đóng và đóng
ĝi estis fermita	it was closed	그것은 닫혀 있었다	c'était fermé	それは閉じていた	它已关闭	它已關閉	nó đã bị đóng cửa
nek ~ nek ~	neither ~ nor ~	~도 아니고 ~도 아닌	ni ~ ni ~	~でもなく～でもない	既不～也不～	既不～也不～	không ~ cũng không ~
nek instruisto nek gelernantoj	neither a teacher nor male-and-female students	선생님도 아니고 남녀학생들도 아니고	ni un enseignant ni des étudiants et étudiantes	先生でもなく、男子生徒でもなく	既不是老师，也不是男女学生	既不是老師，也不是男女學生	không phải là giáo viên cũng không phải học sinh nam và nữ
vidis nek instruiston nek gelernantojn	saw neither a teacher nor students	선생님도 못봤고, 학생들도 못봤다	je n'ai vu ni professeur ni élèves	先生も見なかったし、生徒も見なかった。	既没有看到老师，也没有看到学生	既沒有看到老師，也沒有看到學生	không thấy giáo viên hay học sinh
sidi, eksidi	to sit, to get sitted	앉아있다, 앉는다	s'asseoir, s'asseoir	座る、座る	坐下，坐下	坐下，坐下	ngồi, được ngồi
eksidis	got seated (had seated)	앉았다	je me suis assis (je m'étais assis)	座った	已入座（已入座）	已入座（已入座）	đã ngồi (đã ngồi)
li eksidis	he got seated	그는 앉았다	il s'est assis	彼は座った	他坐下了	他坐下了	anh ấy đã ngồi
kaj pensis	and thought	그리고 생각했다	et j'ai pensé	そして思った	和思想	和思想	và nghĩ
kio okazis?	what did happen?	무엇이 일어났을까?	Ce qui est arrivé?	何が起こったのだろう？	发生了什么？	發生了什麼事？	chuyện gì đã xảy ra vậy?
diable	to the awful (like a devil)	끔찍하게 (악마처럼)	au terrible (comme un diable)	ひどく（悪魔のように）	可怕的（像魔鬼一样）	可怕的（像魔鬼一樣）	đến mức khủng khiếp (như một con quỷ)
damne	dam it	제기랄	bon sang	くそー	该死的	該死的	chết tiệt
memoras	remembers	기억한다	se souvient	覚えている	记得	記得	nhớ lại
nun mi memoras	now I remember	나는 지금 기억한다	Maintenant, je me souviens	私は今覚えている	现在我想起了	現在我想起了	bây giờ tôi nhớ
dimanĉo	Sunday	일요일	Dimanche	日曜日	星期日	星期日	Chủ nhật
hodiaŭ estas ~	today is ~	오늘은 ~ 이다	aujourd'hui c'est ~	今日は～だ	今天是~	今天是~	hôm nay là ~
hodiaŭ estas dimanĉo	today is Sunday	오늘은 일요일이다	Aujourd'hui est dimanche	今日は日曜日だ	今天是星期天	今天是星期天	Hôm nay là chủ nhật
dormi kaj ekdormi	to sleep and to get into sleep	잠자다 그리고 잠에들다	dormir et s'endormir	眠る そして眠りにつく	睡觉并进入睡眠状态	睡覺並進入睡眠狀態	đi ngủ và đi vào giấc ngủ
suno kaj luno	a sun and a moon	태양과 달	un soleil et une lune	太陽と月	一个太阳和一个月亮	一個太陽和一個月亮	một mặt trời và một mặt trăng
subita kaj subite	sudden and suddenly	갑작스런 그리고 갑자기	soudain et tout à coup	突然、そして突然	突然又突然	突然又突然	đột ngột và đột ngột
ek!	off! (to start)	자! (시작)	désactivé! (commencer)	さあ！（開始）	离开！ （开始）	離開！ （開始）	tắt! (để bắt đầu)
salti kaj eksaltis	to jump and jumped 	점프하다 그리고 펄쩍 점프했다	sauter et sauter	ジャンプする そして飛び跳ねた	跳啊跳	跳啊跳	nhảy và nhảy
ĉiam frua	always early	항상 일찍인	toujours tôt	いつも早い	总是早	總是早	luôn sớm
hodiaŭ metis kaj kuris	today put and ran	오늘 두었고 그리고 뛰었다	aujourd'hui mis et couru	今日は置いた そして跳んだ	今天放跑	今天放跑	hôm nay đặt và chạy
aĵo, ne aĝo	a thing not age	물건, 나이 말고	une chose qui n'a pas d'âge	物、年齢じゃなくて	与年龄无关的东西	與年齡無關的東西	một điều không tuổi
kuris laŭ homoj saĝaj	ran along wise people	현명한 사람들과 같이 달렸다	j'ai couru avec des gens sages	賢い人と一緒に走った	与聪明人同行	與聰明人同行	chạy theo những người khôn ngoan
laŭeble baldaŭ	soon as possible	가능한 한 곧바로	dès que possible	できる限りまっすぐに	尽快	盡快	sớm nhất có thể
kia knabo, kia knabino	what a boy, what a girl	어떠한 소년, 어떠한 소녀	quel garçon, quelle fille	どんな少年、どんな少女	什么是男孩，什么是女孩	什麼是男孩，什麼是女孩	con trai thế nào, con gái thế nào
nek pensita nek memorita	neither thought nor memorized	생각된 것도 아니고, 기억된 것도 아닌	ni pensé ni mémorisé	考えられたわけでもなく、記憶されたわけでもない	既没有思考也没有记忆	既沒有思考也沒有記憶	không suy nghĩ cũng không ghi nhớ
diablo atendis akvon dimanĉe	a devil waited for water on Sunday	악마는 일요일에 물을 기다렸다	un diable attendait de l'eau dimanche	悪魔は日曜日に水を待っていた	周日，魔鬼在等水	週日，魔鬼在等水	một con quỷ chờ nước vào ngày chủ nhật
tiom malgranda momento	such a small moment	그렇게 작은 순간	un si petit moment	そんな小さな瞬間	这么小的一刻	這麼小的一刻	một khoảnh khắc nhỏ như vậy
eĉ tiom malgranda momento valoras	even such a small moment is worthwhile	그런 작은 순간 조차도 가치가 있다	même un si petit moment en vaut la peine	そんな小さな瞬間さえも価値がある	即使是这么小的一刻也是值得的	即使是這麼小的一刻也是值得的	ngay cả một khoảnh khắc nhỏ như vậy cũng đáng giá
kriis for ĝis nokto	cried away until night	멀리 울부짖었다, 밤까지	j'ai pleuré jusqu'à la nuit	遠くに吠えた、夜まで	一直哭到晚上	一直哭到晚上	khóc đến tận đêm
lasis la poŝton de la mano	put away the mailpost from the hand	손에서 우편물을 내려놨다	rangez le courrier de la main	手から郵便物を下ろした	收起手中的邮件	收起手中的郵件	cất bưu phẩm khỏi tay
ridis mem lasante la poŝton	laughed by oneself, putting away the mailpost	우편물을 내놓으며 스스로 웃었다	j'ai ri tout seul en rangeant la poste	郵便物を出しながら自分で笑った	自己笑了，收起邮筒	自己笑了，收起郵筒	cười một mình, cất bưu phẩm đi
nek li nek ŝi ridis	neither he nor she laughed	그도 웃지 않았고, 그녀도 웃지 않았다	ni lui ni elle n'ont ri	彼も笑わなかった、彼女も笑わなかった	他和她都没有笑	他和她都沒有笑	cả anh ấy và cô ấy đều không cười
ŝi nek ridis nek respondis	she neither laughed nor answered	그녀는 웃지도 않았고, 대답도 하지 않았다	elle n'a ni ri ni répondu	彼女は笑わなかったし、答えもしなかった	她既不笑也不回答	她既不笑也不回答	cô ấy không cười cũng không trả lời
li nek sidas nek rigardas	he neither sits nor watches	그는 앉아 있지도 않고, 바라보지도 않는다	il ne s'assoit ni ne regarde	彼は座ることもなく、見ることもない	他既不坐着也不观看	他既不坐著也不觀看	anh ấy không ngồi cũng không xem
neniam mi vidis	I have never seen	나는 전혀 못 봤다	Je n'ai jamais vu	私は全く見なかった	我从来没见过	我從來沒見過	tôi chưa bao giờ thấy
mi neniam diros al iu	I will never tell anyone	나는 절대로 누군가에게 말하지 않겠다	Je ne le dirai jamais à personne	私は決して誰にも言わない	我永远不会告诉任何人	我永遠不會告訴任何人	Tôi sẽ không bao giờ nói với ai
diru al neniu	tell no one	누구에게도 말하지 말라	ne dit a personne	誰にも言うな	不告诉任何人	不告訴任何人	không kể cho bất cứ ai
mi neniam diros	I will never say	나는 절대로 말하지 않겠다	je ne dirai jamais	私は決して言わない	我永远不会说	我永遠不會說	Tôi sẽ không bao giờ nói
mem	to oneself (by oneself)	스스로 (손수)	à soi (par soi-même)	自分で（手作り）	对自己（自己）	對自己（自己）	cho chính mình (của chính mình)
mi mem faris	I did it myself	나 혼자서 했다 (만들었다)	je l'ai fait moi-même	私一人でやった（作った）	我自己做的	我自己做的	tôi đã tự làm nó
faris tion	did it (made it)	그것을 했다 (그것을 만들었다)	je l'ai fait (je l'ai fait)	それをやった（それを作った）	做到了（做到了）	做到了（做到了）	đã làm được (làm được)
mem faris tion	did it oneself (made it oneself)	스스로 그것을 했다 (만들었다)	je l'ai fait moi-même (je l'ai fait moi-même)	自分でそれをやった（作った）	自己做的（自己做的）	自己做的（自己做的）	tự làm (tự làm)
ĝis la revido, ĝis revido	see you (again), see you (again)	다시 볼때까지 (안녕)	à (encore), à (encore)	また会う日まで (さようなら)	再见（再次），再次见到你	再見（再次），再次見到你	hẹn gặp lại (một lần nữa), hẹn gặp lại (một lần nữa)
ĝis!	until! (goodbye!)	안녕! (다시 볼때까지)	jusqu'à! (au revoir!)	さようなら！（また見るまで）	直到！ （再见！）	直到！ （再見！）	cho đến khi! (tạm biệt!)
ekparoli	to start talking	말하기 시작하다	commencer à parler	話し始める	开始说话	開始說話	bắt đầu nói chuyện
ekparolis, komencis paroli finfine	started saying, began to speak at last	입을 열었다, 끝끝내 말을 시작했다	J'ai commencé à dire, j'ai enfin commencé à parler	口を開いた、ようやく話し始めた	开始说，终于开始说话	開始說，終於開始說話	bắt đầu nói, cuối cùng cũng bắt đầu nói
trinkis rapidege	drank very fast	아주 빠르게 마셨다	j'ai bu très vite	とても早く飲んだ	喝得很快	喝得很快	uống rất nhanh
trinkis matenan trinkaĵon	had a morning drink	아침 음료를 마셨다	j'ai pris un verre le matin	朝の飲み物を飲んだ	早上喝了一杯	早上喝了一杯	đã uống buổi sáng
por frue veni	to come early	빨리 오기 위해	venir tôt	早く来るために	早点来	早點來	đến sớm
veni al la lernejo	to come to school	학교에 오다	venir à l'école	学校に来る	来学校	來學校	đến trường
frue veni al ~	to come early to ~	이르게 ~에 오다	venir tôt ~	早く～に来る	早点来~	早點來~	đến sớm để ~
ne aŭdis novaĵon	didn't hear news	새소식을 듣지 못했다	je n'ai pas eu de nouvelles	新しいニュースを聞かなかった	没听到消息	沒聽到消息	không nghe tin tức
ankoraŭ ne aŭdis	didn't hear yet	아직 듣지 못했다	je n'ai pas encore entendu	まだ聞いていない	还没听说	還沒聽說	vẫn chưa nghe thấy
mi ankoraŭ ne aŭdis	I didn't hear yet	나는 아직 듣지 못했다	Je n'ai pas encore entendu	私はまだ聞いていない	我还没听说	我還沒聽說	Tôi chưa nghe thấy
en tiu momento	in that moment	그 순간에	à ce moment	その瞬間に	在那一刻	在那一刻	trong khoảnh khắc đó
en tiu momento li ekkriis	in that moment he cried	그 순간에 그가 소리쳤다	à ce moment-là, il a pleuré	その瞬間に彼が叫んだ	那一刻他哭了	那一刻他哭了	khoảnh khắc đó anh đã khóc
knabo, kiu ne amas	a boy, who does not love	사랑하지 않는 소년	un garçon qui n'aime pas	愛していない少年	一个不爱的男孩	一個不愛的男孩	chàng trai không yêu
geknaboj	boys and girls	(남여) 소년 소녀들	garçons et filles	(男女）男の子と女の子	男孩和女孩	男孩和女孩	bé trai và bé gái
aliaj geknaboj	other boys and girls	다른 소년 소녀들	d'autres garçons et filles	他の男の子と女の子	其他男孩和女孩	其他男孩和女孩	những chàng trai và cô gái khác
ne amas aliajn geknabojn	does not love other boys and girls	다른 소년 소녀들을 사랑하지 않는다	n'aime pas les autres garçons et filles	他の男の子や女の子を愛していない	不爱其他男孩和女孩	不愛其他男孩和女孩	không yêu chàng trai cô gái khác
nek amikojn, nek amikinojn	neither friends nor girl friends	(남자) 친구들도 아니고, 여자 친구들도 아니고	ni amis ni amies	(男)友達でもなく、女友達でもない	既不是朋友也不是女朋友	既不是朋友也不是女朋友	không phải bạn bè cũng không phải bạn gái
havas nek monon, nek tempon	does not have neither money nor time	돈도 없고 시간도 없다	n'a ni argent ni temps	お金も時間もない	既没有钱又没有时间	既沒有錢又沒有時間	không có tiền cũng như thời gian
kiu havis la libron?	who had the book?	누가 그 책을 가지고 있었나?	qui avait le livre ?	誰がその本を持っていた？	谁有这本书？	誰有這本書？	ai đã có cuốn sách đó?
la libron, kiun vi atendis	the book which you waited	당신이 기다렸던 그 책을	le livre que tu attendais	あなたが待っていたあの本を	你等待的书	你等待的書	cuốn sách mà bạn đã chờ đợi
tiun, kiun vi atendis pli ol du jarojn	that, which you waited for more than 2 years	당신이 2년이상 기다렸던 그 것	ça, que tu as attendu pendant plus de 2 ans	あなたが2年以上待っていたそのもの	那个，你等了两年多的	那個，你等了兩年多的	điều mà bạn đã chờ đợi hơn 2 năm
ĉu vi volas tion?	do you want that?	당신은 그것을 원하느냐?	veux-tu çà?	あなたはそれが欲しいか？	你想要那个吗？	你想要那個嗎？	bạn có muốn điều đó?
ĉu vi volas, ke ~ ?	do you want that ~ ?	당신은 ~하는 것을 원하느냐?	tu veux ça ~ ?	あなたは～することを望むか？	你想要那个吗~？	你想要那個嗎~？	bạn có muốn điều đó không ~?
plej kara	dearest	가장 소중한	très cher	最も大切なもの	最亲爱的	最親愛的	thân yêu nhất
plej kara foto	dearest photo	가장 소중한 사진	photo la plus chère	最も大切な写真	最亲爱的照片	最親愛的照片	bức ảnh thân yêu nhất
mian plej karan foton	my dearest photo	나의 가장 소중한 사진을	ma photo la plus chère	私の最も大切な写真を	我最亲爱的照片	我最親愛的照片	bức ảnh thân yêu nhất của tôi
kie vi aĉetis ~ ?	where did you buy ~ ?	어디에서 ~를 샀느냐?	où as-tu acheté ~ ?	どこで～を買ったの？	哪里买的~？	哪裡買的~？	bạn mua ở đâu vậy ~?
tiu vestaĵo	that clothing	그 옷	ces vêtements	その服	那件衣服	那件衣服	quần áo đó
tiun vestaĵon	that clothing (objective)	그 옷을	ces vêtements (objectif)	その服を	那件衣服（目标）	那件衣服（目標）	quần áo đó (khách quan)
aĉetis tiun vestaĵon	bought that outfit	그 옷을 샀다	j'ai acheté cette tenue	その服を買った	买了那件衣服	買了那件衣服	đã mua bộ trang phục đó
vi iros tien	you will go there	너는 거기로 갈 것이다	tu y iras	あなたはそこに行くだろう	你会去那里	你會去那裡	bạn sẽ đến đó
kien vi iros?	where are you going to?	어디로 당신은 갈 것입니까?	Où vas-tu?	どこへあなたは行きますか？	你去哪儿？	你去哪裡？	bạn đang đi đâu vậy?
suna tago	sunny day	햇볓이 좋은 날	journée ensoleillée	日当たりの良い日	晴天	晴天	ngày nắng
estos suna tago	it will be a sunny day	햇볓이 좋은 날이 될 것이다	ce sera une journée ensoleillée	天気の良い日になるだろう	这将是一个阳光明媚的日子	這將是一個陽光明媚的日子	trời sẽ là một ngày nắng
se estos suna tago	if it will be a sunny day	햇볓 좋은 날이 되면	si ce sera une journée ensoleillée	晴れた日になったら	如果天气晴朗的话	如果天氣晴朗的話	nếu đó là một ngày nắng
via frato jam ekiris	your brother has already started	나의 형(남동생)은 이미 출발했다	ton frère a déjà commencé	私の兄（弟）はもう出発してしまった	你哥哥已经开始了	你哥哥已經開始了	anh trai bạn đã bắt đầu rồi
ĉu via frato jam ekiris?	has your brother started yet?	당신은 형(남동생)은 이미 출발했습니까?	ton frère a déjà commencé ?	あなたは兄(弟)はもう出発しましたか？	你弟弟开始了吗？	你弟弟開始了嗎？	anh trai của bạn đã bắt đầu chưa?
kie estas la akvo?	where is the water	어디에 물이 있느냐?	où est l'eau	どこに水があるのか？	水在哪里	水在哪裡	nước ở đâu
kunporti la akvon	to bring the water	물을 들고가다	apporter l'eau	水を運んで行く	带水	帶水	mang nước tới
vi mem kunportis	you yourself brought	너는 스스로 들고 갔다	tu as toi-même apporté	君は自分で持って行った	你自己带来的	你自己帶來的	chính bạn đã mang đến
la akvon, kion vi mem kunportis	the water, that you yourself brought	그 물, 당신이 스스로 들고간	l'eau que tu as toi-même apportée	その水、あなたが自分で持って行った	你自己带来的水	你自己帶來的水	nước do chính bạn mang đến
estis tre trankvila	was very quiet	매우 고요했다	était très calme	とても静かだった	很安静	很安靜	rất yên tĩnh
hodiaŭ mia patrino estis ~	today my mother was ~	오늘 나의 어머니는 ~ 이었다	aujourd'hui, ma mère était ~	今日私の母は～だった	今天我妈妈是~	今天我媽媽是~	hôm nay mẹ tôi đã ~
mi venis el ~	I came from ~	나는 ~로부터 왔다	Je viens de ~	私は～から来ました	我来自~	我來自~	Tôi đến từ ~
el la lernejo	out of the school	학교로 부터	hors de l'école	学校から	走出学校	走出學校	ra khỏi trường
raportis al ~	reported to ~	~에게 보고 했다	signalé à ~	~に報告した	报告给~	報告給~	đã báo cáo ~
kaj raportis al ŝi	and reported to her	그리고 그녀에게 이야기 했다	et lui rapporta	そして彼女に話をした	并向她报告	並向她報告	và báo cáo với cô ấy
raportis, ke ~	reported that ~	~이라고 보고 했다	a signalé que ~	~と報告した	报道说~	報道說~	đã báo cáo điều đó ~
raportis, ke mi ricevos	reported that I will receive	내가 받을 것이라고 이야기 했다	signalé que je recevrais	私は～を受けると話した	报告说我会收到	報告說我會收到	báo cáo rằng tôi sẽ nhận được
mi ricevos malbonan noton	I will get a bad grade	나는 나쁜 점수를 받을 것이다	j'aurai une mauvaise note	私は悪い点を取るだろう	我会得到不好的成绩	我會得到不好的成績	Tôi sẽ bị điểm kém
ŝi diris, ke ~	she said that ~	그녀는 ~이라고 말했다	elle a dit ça ~	彼女は～と言った	她这么说~	她這麼說~	cô ấy đã nói thế ~
vi devas laborigi ~	you have to make ~ work	너는 ~을 일 시켜야 했다	tu dois faire en sorte que ~ fonctionne	あなたは～を働かせなければならなかった	你必须让〜工作	你必須讓〜工作	bạn phải làm ~ công việc
pli multe	more	더 많이	plus	もっと	更多的	更多的	hơn
pli multe laborigi	to make work more	더 많이 일 시키다	pour faire travailler davantage	もっと働かせる	使工作更多	使工作更多	để làm việc nhiều hơn
laborigi vian kapon	to make your head work	너의 두뇌를 가동시키다	pour te faire travailler la tête	あなたの脳を働かせる	让你的头脑运转起来	讓你的頭腦運轉起來	để làm cho đầu óc của bạn hoạt động
kiom da malbonaj notoj	how many bad grades	얼마 정도의 나쁜 점수들	combien de mauvaises notes	どのくらいの悪い点数	有多少成绩不好	有多少成績不好	bao nhiêu điểm kém
vi havas tiom da malbonaj notoj	you have so many bad grades	나는 그렇게 많은 나쁜 점수들을 받는다	tu as tellement de mauvaises notes	私はそんなに多くの悪い点数をもらう	你的成绩很差	你的成績很差	bạn có quá nhiều điểm kém
estis malĝoja	was sad	슬펐다 	était triste	悲しかった	难过（过去式	難過（過去式	thật buồn
en vian ĉambron	into your room	너의 방 안으로	dans ta chambre	君の部屋の中へ	进入你的房间	進入你的房間	vào phòng của bạn
iru en vian ĉambron	go into your room	너의 방 안으로 가라	va dans ta chambre	あなたの部屋の中へ	进入你的房间	進入你的房間	đi vào phòng của bạn
iru kaj lernu	go and learn	가서 배워라	va apprendre	行って学ぶ	去学习	去學習	đi và học hỏi
mi sidis	I sat	나는 앉아 있었다	je me suis assis	私は座っていた	我坐了	我坐了	tôi ngồi
en mia ĉambro	in my room	나의 방 안에서	dans ma chambre	私の部屋の中で	在我的房间里	在我的房間裡	trong phòng tôi
sidis en mia ĉambro	sat in my room	나의 방 안에서 앉아 있었다	assis dans ma chambre	私の部屋の中に座っていた	坐在我的房间里	坐在我的房間裡	ngồi trong phòng tôi
nek lerni nek legi	neither learn nor read	배우지도 않고 읽지도 않고	ni apprendre ni lire	学ぶこともなく、読むこともなく	既不学习也不读书	既不學習也不讀書	không học cũng không đọc
sed mi povis nek lerni nek legi	but I could neither learn nor read	그러나 배울수도 없었고 읽을 수도 없었다	mais je ne pouvais ni apprendre ni lire	しかし、学ぶこともできず、読むこともできなかった	但我既无法学习也无法阅读	但我既無法學習也無法閱讀	nhưng tôi không thể học hay đọc
miaj pensoj	my thoughts	나의 생각들	mes pensées	私の考え	我的想法	我的想法	suy nghĩ của tôi
ĉe ludo	at a game	게임(놀기)에	à un jeu	ゲーム（遊び）に	在一场比赛中	在一場比賽中	tại một trò chơi
ludo kun miaj amikoj	game with my friends	친구들과 놀기	jeu avec mes amis	友達と遊ぶこと	和我的朋友们一起玩游戏	和我的朋友們一起玩遊戲	trò chơi với bạn bè của tôi
ĉe sporto	at sport	스포츠에	au sport	スポーツに	在运动时	在運動時	lúc thể thao
al mi mem	to myself	나 스스로에게	à moi-même	自分自身に	对自己	對自己	với bản thân
diris al mi mem	said to myself	나 스스로에게 말했다	me suis dit	自分自身に言った	对自己说	對自己說	nói với chính mình
tiom malsaĝa	so stupid	그렇게 멍청한	tellement stupide	そんなバカな	如此愚蠢	如此愚蠢	thật ngu ngốc
ĉu mi estas tiom malsaĝa?	am I that stupid?	내가 그렇게 멍청한가?	suis-je si stupide ?	私はそんなにバカなのか？	我有那么傻吗？	我有那麼傻嗎？	tôi ngu ngốc đến vậy sao?
kvankam mi lernis multe	although I learned a lot	내가 많이 공부했음에도 불구하고	même si j'ai beaucoup appris	私がたくさん勉強したにもかかわらず	虽然我学到了很多	雖然我學到了很多	mặc dù tôi đã học được rất nhiều
la patrino eniris	the mother entered	어머니가 들어왔다	la mère est entrée	母がやって来た	母亲进来了	母親進來了	mẹ bước vào
miaj vortoj	my words	나의 말들	mes mots	私の言葉	我的话	我的話	lời nói của tôi
kaj aŭdis miajn vortojn	and heard my words	그리고 내가 말하는 것들을 들었다	et j'ai entendu mes paroles	そして私が言うことを聞いた	并听到了我的话	並聽到了我的話	và nghe thấy lời nói của tôi
ŝi tuj respondis	she answered immediately	그녀는 즉시 대답했다	elle a répondu immédiatement	彼女はすぐに答えた	她立即回答	她立即回答	cô ấy trả lời ngay lập tức
ne, mia kara	no, my dear	아니야, 내 소중한 사람아	non mon cher	いいえ、私の大切な人	不是，亲爱的	不是，親愛的	không, em yêu
vi ne estas malsaĝa	you are not stupid	너는 멍청하지 않아	tu n'es pas stupide	あなたはバカじゃないわ	你不傻	你不傻	Bạn không ngốc nghếch
la problemo estas, ke ~	the problem is that ~	문제라면, ~ 한 거야	le problème est que ~	問題なら、～したんだ	问题是~	問題是~	vấn đề là ở chỗ đó ~
ke vi devas lerni	that you must learn	너가 공부해야하는 것	que tu dois apprendre	あなたが勉強しなければならないこと	你必须学习的	你必須學習的	mà bạn phải học
devas lerni multe pli	must learn much more	훨씬 많이 공부해야 한다	je dois en apprendre beaucoup plus	もっとたくさん勉強しなければならない	必须学到更多	必須學到更多	phải học hỏi nhiều hơn nữa
tiam vi ne havos	then you will not have	그 때 너는 가질 것이다	alors tu n'auras pas	その時君は持つだろう	那么你将不会有	那你將不會有	thì bạn sẽ không có
malbonaj notoj	bad grades	나쁜 점수들	mauvaises notes	悪い点数たち	成绩不好	成績不好	điểm kém
havos nur malbonajn notojn	will have only bad grades	나쁜 점수들만 받게 될 것이다	n'aura que de mauvaises notes	悪い点数ばかりを受けることになるだろう	只会有不好的成绩	只會有不好的成績	sẽ chỉ có điểm kém
ankaŭ nun	also now	지금도	aussi maintenant	今でも	现在也	現在也	bây giờ cũng vậy
mi ne havas ilin	I don't have them	나는 그것들을 가지고 있지 않아	je ne les ai pas	私はそれらを持っていない	我没有它们	我沒有它們	Tôi không có chúng
mi havas bonan noton	I have a good grade	나는 좋은 점수를 받는다	j'ai une bonne note	私は良い点数をもらう	我成绩很好	我成績很好	Tôi có điểm tốt
pri muziko	about music	음악에 대해	à propos de la musique	音楽について	关于音乐	關於音樂	về âm nhạc
bonan noton pri muziko	a good note on music	음악에서 좋은 점수를	une bonne note sur la musique	音楽で良い点数を	关于音乐的好笔记	關於音樂的好筆記	một nốt nhạc hay về âm nhạc
la patrino subite ekridis	the mother suddenly burst out laughing	어머니는 갑자기 웃음을 터트렸다	la mère éclata soudain de rire	母は突然笑い声を上げた	妈妈突然笑了起来	媽媽突然笑了起來	mẹ chợt bật cười
tio plibeligis ~	that beautified ~	그것은 ~를 더욱 아름답게 만들었다	ça a embelli ~	それは〜をより美しくした	美化了~	美化了~	đẹp đó ~
mian tagon	my day	나의 하루를	ma journée	私の一日を	我的一天	我的一天	ngày của tôi
plibeligis mian tagon	made my day	나의 하루를 더욱 아름답게 만들었다	j'ai fait ma journée	私の一日をより美しくした	让我很开心	讓我很開心	đã làm nên ngày của tôi
sed tamen restis	but still remained	그러나 여전히 남았다	mais il est quand même resté	しかし、まだ残っていた	但仍然保留	但仍然保留	nhưng vẫn ở lại
sed la problemo tamen restis	but the problem still remained	그러나 문제는 여전히 남았다	mais le problème persiste	しかし、問題はまだ残っている	但问题仍然存在	但問題仍然存在	nhưng vấn đề vẫn còn đó
kilogramo da ~	a kilogram of ~	~ 1킬로그램	un kilogramme de ~	~ 1キログラム	一公斤~	一公斤~	một kg ~
kilogramo da sukero	a kilogram of sugar	설탕 1킬로그램	un kilo de sucre	砂糖1キログラム	一公斤糖	一公斤糖	một kg đường
glaso da ~	a glass of ~	~ 한잔	un verre de ~	~ 一杯	一杯~	一杯~	một ly ~
glaso da akvo	a glass of water	물 한잔	un verre d'eau	一杯の水	一杯水	一杯水	một cốc nước
multe da ~	a lot of ~	~ 많이	beaucoup de ~	~ たくさん	很多~	很多~	rất nhiều ~
multe da ideoj	lots of ideas	많은 아이디어들	plein d'idées	たくさんのアイデア	很多想法	很多想法	rất nhiều ý tưởng
deteni sin	to hold back	스스로 물러서다	retenir	一歩下がる	要忍住	要忍住	để giữ lại
ordigis ĉion	sorted everything out	모든 걸 정돈했다	tout a été réglé	すべてを片付けた	整理好一切	整理好一切	sắp xếp mọi thứ ra
transdonis al li	handed over to him	그에게 전해줬다	lui a été remis	彼に伝えた	交给他	交給他	giao lại cho anh ta
mi petas	I'm asking	내가 부탁합니다	Je demande	私がお願いします	我问	我問	tôi đang hỏi
glason da kafo	a glass of coffee	커피 한 컵을	un verre de café	一杯のコーヒーを	一杯咖啡	一杯咖啡	một ly cà phê
kaj iom da akvo	and some water	그리고 물 약간	et un peu d'eau	そして水を少し	和一些水	和一些水	và một ít nước
mi petas glason da kafo	I would like a glass of coffee	나는 커피 한컵을 부탁합니다	je voudrais un verre de café	私は一杯のコーヒーをお願いします	我想要一杯咖啡	我想要一杯咖啡	Tôi muốn một ly cà phê
mi petas tason da teo	I would like a cup of tea	나는 차 한잔을 부탁합니다	Je voudrais une tasse de thé	私はお茶をお願いします	我想要杯茶	我想要杯茶	toi muon mot tach tra
doloris lin	hurt him	그를 고통스럽게 했다	lui faire du mal	彼を苦しめた	伤害他	傷害他	làm tổn thương anh ấy
la kapo doloris lin	his head hurt	그의 머리가 아팠다	il a mal à la tête	彼の頭が痛かった	他头疼	他頭痛	đầu anh ấy đau
li malsaniĝis	he fell ill	그는 건강이 나빠졌다	il est tombé malade	彼の健康が悪くなった	他生病了	他生病了	anh ấy cảm thấy ốm
ŝatas esti bela	likes to be beautiful	아름답게 있길 좋아한다	aime être belle	彼は美しくなるのが好きだ	喜欢漂亮	喜歡漂亮	thích làm đẹp
ŝi beligis sian vizaĝon	she beautified her face	그녀는 그 자신의 얼굴을 아름답게 꾸몄다	elle a embelli son visage	彼女は彼自身の顔を美しくした	她美化了自己的脸	她美化了自己的臉	cô ấy đã làm đẹp khuôn mặt của mình
la knabo ŝatas esti bela	the boy likes to be pretty	그 소년은 멋지게 있기를 좋아했다	le garçon aime être joli	その少年は素敵であることが好きだった	这个男孩喜欢漂亮	這個男孩喜歡漂亮	cậu bé thích xinh đẹp
pro tio ŝi beligis ĝin	therefore she beautified it	그것 때문에 그녀는 그것을 아름답게 꾸몄다	c'est pourquoi elle l'a embelli	そのため、彼女はそれを美しく飾った	因此她美化了它	因此她美化了它	vì vậy cô ấy đã làm đẹp nó
post la tagmanĝo	after lunch	점심 식사 후에	après le déjeuner	昼食の後	午餐后	午餐後	sau bữa trưa
