eo	en-us	ko-kr	fr	ja-jp	zh-cn	zh-tw	vi-vn	mn	th	ms	id	hi	fa	ne	ur	tr	he	ar	de	es	it	pt	ru	pl	km	my	bn	ta	pa	mr	te	uk	sv	sw
li volis eniri	he wanted to enter	그는 들어가고 싶어했다	il voulait entrer	彼は入りたかった。	他想进入	他想進入	anh ấy muốn vào	тэр орохыг хүссэн	เขาต้องการเข้า	dia nak masuk	dia ingin masuk	वह प्रवेश करना चाहता था	می خواست وارد شود	उनी प्रवेश गर्न चाहन्थे	وہ داخل ہونا چاہتا تھا	girmek istedi	הוא רצה להיכנס	أراد الدخول	er wollte eintreten	el queria entrar	voleva entrare	ele queria entrar	он хотел войти	chciał wejść	គាត់ចង់ចូល	သူဝင်ချင်တယ်။	তিনি প্রবেশ করতে চেয়েছিলেন	அவர் நுழைய விரும்பினார்	ਉਹ ਦਾਖਲ ਹੋਣਾ ਚਾਹੁੰਦਾ ਸੀ	त्याला प्रवेश करायचा होता	అతను ప్రవేశించాలనుకున్నాడు	він хотів увійти	han ville in	alitaka kuingia
eniri la lernejon	to enter into the school	그 학교 안으로 들어가다	entrer à l'école	その学校に入る	进入学校	進入學校	để vào trường	сургуульд орох	เพื่อเข้าไปในโรงเรียน	untuk masuk ke sekolah	untuk masuk ke sekolah tersebut	स्कूल में प्रवेश के लिए	برای ورود به مدرسه	विद्यालयमा प्रवेश गर्न	اسکول میں داخل ہونے کے لیے	okula girmek	להיכנס לבית הספר	للدخول إلى المدرسة	in die Schule eintreten	entrar a la escuela	per entrare nella scuola	para entrar na escola	войти в школу	wejść do szkoły	ដើម្បីចូលទៅក្នុងសាលា	ကျောင်းထဲသို့ဝင်ရန်	স্কুলে প্রবেশ করতে	பள்ளிக்குள் நுழைய	ਸਕੂਲ ਵਿੱਚ ਦਾਖਲ ਹੋਣ ਲਈ	शाळेत प्रवेश करण्यासाठी	పాఠశాలలో ప్రవేశించడానికి	вступити до школи	att komma in i skolan	kuingia shuleni
sed tamen	but however	그러나 하지만	mais cependant	しかし、しかし	但无论如何	但無論如何	nhưng tuy nhiên	гэхдээ гэхдээ	แต่อย่างไรก็ตาม	tetapi walau bagaimanapun	tapi bagaimanapun juga	हालांकि	اما با این حال	तर यद्यपि	لیکن تاہم	Ama nasılsa	אבל עם זאת	ولكن مع ذلك	aber wie auch immer	pero sin embargo	ma comunque	mas entretanto	но, как бы то ни было	aczkolwiek	ប៉ុន្តែទោះជាយ៉ាងណា	သို့သော်	কিন্তু যাইহোক	ஆனால் எனினும்	ਪਰ ਫਿਰ ਵੀ	पण तथापि	అయితే	але однак	men hur som helst	lakini hata hivyo
sed li ne povis	but he couldn't	그러나 그는 할수가 없었다	mais il ne pouvait pas	しかし彼はできなかった。	但他不能	但他不能	nhưng anh ấy không thể	гэхдээ тэр чадсангүй	แต่เขาทำไม่ได้	tetapi dia tidak boleh	tapi dia tidak bisa	लेकिन वह नहीं कर सका	اما او نتوانست	तर उसले सकेन	لیکن وہ نہیں کر سکا	ama yapamadı	אבל הוא לא יכל	لكنه لم يستطع	aber er konnte nicht	pero no pudo	ma non poteva	mas ele não conseguiu	но он не мог	ale nie mógł	ប៉ុន្តែគាត់មិនអាច	ဒါပေမယ့် သူ မလုပ်နိုင်ခဲ့ပါ။	কিন্তু সে পারেনি	ஆனால் அவனால் முடியவில்லை	ਪਰ ਉਹ ਨਹੀਂ ਕਰ ਸਕਿਆ	पण तो करू शकला नाही	కానీ అతను చేయలేకపోయాడు	але він не міг	men han kunde inte	lakini hakuweza
fermi kaj fermita	to close and closed	닫다 그리고 닫힌	fermer et fermer	閉じて閉じた	关闭并关闭	關閉並關閉	đóng và đóng	хаах, хаах	เพื่อปิดและปิด	untuk menutup dan menutup	untuk menutup dan menutup	बंद करना और बंद करना	بسته شدن و بسته شدن	बन्द र बन्द गर्न	بند کرنے اور بند کرنے کے لئے	kapatmak ve kapatmak	לסגור ולסגור	لإغلاق وإغلاق	zu schließen und zu schließen	cerrar y cerrar	chiudere e chiudere	fechar e fechar	закрыть и закрыть	zamknąć i zamknąć	ដើម្បីបិទនិងបិទ	ပိတ်ရန်၊ ပိတ်ရန်	বন্ধ করা এবং বন্ধ করা	மூட மற்றும் மூட	ਬੰਦ ਕਰਨ ਅਤੇ ਬੰਦ ਕਰਨ ਲਈ	बंद करणे आणि बंद करणे	మూసివేయడానికి మరియు మూసివేయడానికి	закривати і закрито	att stänga och stänga	kufunga na kufungwa
ĝi estis fermita	it was closed	그것은 닫혀 있었다	c'était fermé	閉じていた	它已关闭	它已關閉	nó đã bị đóng cửa	хаалттай байсан	มันถูกปิด	ia telah ditutup	itu ditutup	वह बंद था	بسته بود	यो बन्द थियो	یہ بند تھا	kapalıydı	זה היה סגור	كان مغلقا	es war geschlossen	estaba cerrado	era chiuso	estava fechado	было закрыто	było zamknięte	វាត្រូវបានបិទ	ပိတ်ခဲ့သည်။	ইহা বন্ধ ছিল	அது மூடப்பட்டது	ਇਹ ਬੰਦ ਸੀ	ते बंद होते	అది మూసివేయబడింది	він був закритий	det var stängt	ilikuwa imefungwa
nek ~ nek ~	neither ~ nor ~	~도 아니고 ~도 아닌	ni ~ ni ~	~でもない~でもない	既不～也不～	既不～也不～	không ~ cũng không ~	~ ч биш ~ ч биш	ไม่ ~ หรือ ~	tidak ~ mahupun ~	tidak ~ juga tidak ~	न ~ न ~	نه ~ نه ~	न ~ न ~	نہ ~ نہ ~	ne ~ ne de ~	לא ~ ולא ~	لا ~ ولا ~	weder ~ noch ~	ni ~ ni ~	né ~ né ~	nem ~ nem ~	ни ~ ни ~	ani ~, ani ~	ទាំង ~ ឬ ~	neither ~ nor ~	না ~ না ~	~ அல்லது ~ இல்லை	ਨਾ ~ ਅਤੇ ਨਾ ਹੀ ~	~ किंवा ~ नाही	~ లేదా ~ కాదు	ні ~, ні ~	varken ~ eller ~	nor ~ nor ~
nek instruisto nek gelernantoj	neither a teacher nor male-and-female students	선생님도 아니고 남녀학생들도 아니고	ni un enseignant ni des étudiants et étudiantes	先生でも男女学生でもない	既不是老师，也不是男女学生	既不是老師，也不是男女學生	không phải là giáo viên cũng không phải học sinh nam và nữ	багш ч биш, эрэгтэй эмэгтэй оюутнууд ч биш	ทั้งครูและนักเรียนชายและหญิง	bukan guru mahupun pelajar lelaki dan perempuan	baik seorang guru maupun siswa laki-laki dan perempuan	न तो कोई शिक्षक और न ही महिला-पुरुष	نه معلم و نه دانش آموزان دختر و پسر	न त शिक्षक न पुरुष-महिला विद्यार्थी	نہ کوئی استاد اور نہ ہی مرد اور خواتین طالب علم	ne öğretmen ne de kız-erkek öğrenciler	לא מורה ולא תלמידים ותלמידות	لا المعلم ولا الطلاب والطالبات	weder ein Lehrer noch männliche und weibliche Schüler	ni profesor ni alumnos y alumnas	né un insegnante né studenti e studentesse	nem professor nem estudantes masculinos e femininos	ни учитель, ни ученики мужского и женского пола	ani nauczyciel, ani uczniowie	មិន​ថា​គ្រូ ឬ​សិស្ស​ប្រុស​ស្រី​ទេ។	ဆရာရော ယောက်ျားရော မိန်းကလေးရော ကျောင်းသားတွေပါ မဟုတ်ဘူး။	একজন শিক্ষক বা পুরুষ-মহিলা ছাত্র নয়	ஆசிரியரோ அல்லது ஆண்-பெண் மாணவர்களோ அல்ல	ਨਾ ਤਾਂ ਕੋਈ ਅਧਿਆਪਕ ਅਤੇ ਨਾ ਹੀ ਮਰਦ-ਔਰਤ ਵਿਦਿਆਰਥੀ	ना शिक्षक ना स्त्री-पुरुष विद्यार्थी	ఉపాధ్యాయుడు లేదా మగ-ఆడ విద్యార్థులు కాదు	ні вчитель, ні студенти	varken lärare eller manliga och kvinnliga elever	si mwalimu wala wanafunzi wa kiume na wa kike
vidis nek instruiston nek gelernantojn	saw neither a teacher nor students	선생님도 못봤고, 학생들도 못봤다	je n'ai vu ni professeur ni élèves	先生も見られず、学生も見えなかった	既没有看到老师，也没有看到学生	既沒有看到老師，也沒有看到學生	không thấy giáo viên hay học sinh	багш, сурагчдыг ч хараагүй	ไม่เห็นทั้งครูและนักเรียน	tidak melihat seorang guru mahupun pelajar	tidak melihat seorang guru maupun siswa	न तो कोई शिक्षक मिला और न ही छात्र	نه معلم دیدم نه دانش آموز	न शिक्षक देखे न विद्यार्थी	نہ استاد دیکھا نہ طالب علم	ne öğretmen gördüm ne de öğrenci	לא ראה לא מורה ולא תלמידים	لم ير معلما ولا طلابا	sah weder einen Lehrer noch Schüler	No vi ni a un maestro ni a los estudiantes.	non ha visto né un insegnante né studenti	não vi nem professor nem alunos	не видел ни учителя, ни учеников	nie widziałem ani nauczyciela, ani uczniów	មិនឃើញគ្រូ ឬសិស្សទេ។	ဆရာရော ကျောင်းသားတွေရော မတွေ့ဘူး။	কোন শিক্ষক বা ছাত্র দেখতে পেলাম না	ஆசிரியரையோ மாணவர்களையோ பார்க்கவில்லை	ਨਾ ਤਾਂ ਕੋਈ ਅਧਿਆਪਕ ਦੇਖਿਆ ਅਤੇ ਨਾ ਹੀ ਵਿਦਿਆਰਥੀ	ना शिक्षक पाहिले ना विद्यार्थी	ఉపాధ్యాయుడిని లేదా విద్యార్థులను చూడలేదు	не бачив ні вчителя, ні учнів	såg varken lärare eller elever	hakuona mwalimu wala wanafunzi
sidi, eksidi	to sit, to get sitted	앉아있다, 앉는다	s'asseoir, s'asseoir	座る、座る	坐下，坐下	坐下，坐下	ngồi, được ngồi	суух, суух	ที่จะนั่งที่จะนั่ง	untuk duduk, untuk mendapatkan duduk	untuk duduk, untuk duduk	बैठना, बैठ जाना	نشستن، نشستن	बस्नु, बस्नु	بیٹھنا، بیٹھنا	oturmak, oturmak	לשבת, לשבת	للجلوس، للجلوس	sitzen, sich hinsetzen	sentarse, sentarse	sedersi, sedersi	sentar, sentar	сидеть, садиться	usiąść, usiąść	អង្គុយ, អង្គុយ	ထိုင်ရန်၊ ထိုင်ရန်	বসতে, বসতে বসতে	உட்கார, உட்கார	ਬੈਠਣਾ, ਬੈਠਣਾ	बसणे, बसणे	కూర్చోవడం, కూర్చోవడం	сидіти, сідати	att sitta, att få sitta	kukaa, kukaa
eksidis	got seated (had seated)	앉았다	je me suis assis (je m'étais assis)	座った	已入座（已入座）	已入座（已入座）	đã ngồi (đã ngồi)	суусан (суусан)	ได้นั่ง (ได้นั่ง)	telah duduk (telah duduk)	telah duduk (telah duduk)	बैठ गया (बैठ गया था)	نشسته بود (نشسته بود)	बस्यो (बसिएको थियो)	بیٹھ گیا (بیٹھا تھا)	oturdum (oturmuştu)	ישב (ישב)	جلس (جلس)	setzte sich (hatte Platz genommen)	se sentó (se había sentado)	mi sono seduto (mi ero seduto)	sentou-se (estava sentado)	сел (сидел)	usiadłem (usiadłem)	បានអង្គុយ (បានអង្គុយ)	ထိုင်ပြီ (ထိုင်ပြီ)	বসা (বসা ছিল)	அமர்ந்தேன் (அமர்ந்திருந்தேன்)	ਬੈਠ ਗਿਆ (ਬੈਠਿਆ ਸੀ)	बसले (बसले होते)	కూర్చున్నాడు (కూర్చున్నాడు)	сів (сів)	satte sig (hade sittande)	alikaa (ameketi)
li eksidis	he got seated	그는 앉았다	il s'est assis	彼は座った。	他坐下了	他坐下了	anh ấy đã ngồi	тэр суулаа	เขานั่งแล้ว	dia duduk	dia duduk	वह बैठ गया	او نشست	ऊ बस्यो	وہ بیٹھ گیا	O oturdu	הוא התיישב	جلس	er setzte sich	se sentó	si è seduto	ele se sentou	он сел	usiadł	គាត់បានអង្គុយ	သူထိုင်တယ်။	তিনি বসলেন	அவர் அமர்ந்தார்	ਉਹ ਬੈਠ ਗਿਆ	तो बसला	అతను కూర్చున్నాడు	він сів	han satte sig	akaketi
kaj pensis	and thought	그리고 생각했다	et j'ai pensé	そして考えた	和思想	和思想	và nghĩ	мөн бодлоо	และคิด	dan berfikir	dan berpikir	और सोचा	و عقیده	र सोच्यो	اور سوچا	ve düşündüm	וחשב	والفكر	und dachte	y pense	e pensiero	e pensamento	и подумал	i pomyślałem	និងការគិត	အတွေး	এবং চিন্তার	மற்றும் நினைத்தேன்	ਅਤੇ ਸੋਚਿਆ	आणि विचार	మరియు ఆలోచన	і подумав	och tänkte	na mawazo
kio okazis?	what did happen?	무엇이 일어났을까?	Ce qui est arrivé?	何が起こったのか？	发生了什么？	發生了什麼事？	chuyện gì đã xảy ra vậy?	юу болсон бэ?	เกิดอะไรขึ้น?	apa yang berlaku?	apa yang telah terjadi?	क्या हुआ था?	چه اتفاقی افتاد	के भयो?	کیا ہوا	ne oldu?	מה קרה	ماذا حدث؟	was ist passiert?	¿que paso?	cos'è successo?	O que aconteceu?	что случилось?	co się stało?	តើមានអ្វីកើតឡើង?	ဘာဖြစ်တာလဲ	কি ঘটেছিল?	என்ன நடந்தது?	ਕੀ ਹੋਇਆ?	काय झाले?	ఏమి జరిగింది?	що сталося?	vad hände?	nini kilitokea?
diable	to the awful (like a devil)	끔찍하게 (악마처럼)	au terrible (comme un diable)	ひどく（悪魔のように）	可怕的（像魔鬼一样）	可怕的（像魔鬼一樣）	đến mức khủng khiếp (như một con quỷ)	аймшигт (чөтгөр шиг)	ถึงความเลวร้าย (เหมือนปีศาจ)	kepada yang dahsyat (seperti syaitan)	hingga yang mengerikan (seperti setan)	भयानक को (शैतान की तरह)	به وحشتناک (مثل شیطان)	भयानक (एक शैतान जस्तै)	خوفناک (شیطان کی طرح)	korkunç bir şekilde (bir şeytan gibi)	אל הנורא (כמו שטן)	إلى الفظيعة (مثل الشيطان)	zum Schrecklichen (wie ein Teufel)	a lo horrible (como un demonio)	all'orribile (come un diavolo)	para o terrível (como um demônio)	до ужаса (как дьявол)	do okropnego (jak diabeł)	ទៅអាក្រក់ (ដូចជាអារក្ស)	မကောင်းဆိုးဝါး (နတ်ဆိုးကဲ့သို့)	ভয়ঙ্কর (একটি শয়তানের মত)	பயங்கரமானவர்களுக்கு (பிசாசு போல)	ਭਿਆਨਕ (ਇੱਕ ਸ਼ੈਤਾਨ ਵਾਂਗ)	भयंकर (भूतासारखे)	భయంకర (దెయ్యం లాగా)	до жаху (як диявол)	till det hemska (som en djävul)	kwa wabaya (kama shetani)
damne	dam it	제기랄	bon sang	ジェギラル	该死的	該死的	chết tiệt	саад болоорой	เขื่อนมัน	dam ia	sial	बांध दो	سد آن	यसलाई बाँध	اسے بند کرو	kahretsin	לסכור את זה	السد عليه	Verdammt	maldita sea	dannazione	dane-se	запруди это	zapora	បំផ្លាញវា។	ဆည်လိုက်ပါ။	এটা বাঁধ	அணைக்கட்டு	ਇਸ ਨੂੰ ਬੰਨ੍ਹ	धरणे	ఆనకట్ట వేయండి	дамба це	fördärva det	jamani
memoras	remembers	기억한다	se souvient	覚える	记得	記得	nhớ lại	санаж байна	จำได้	teringat	ingat	याद	به یاد می آورد	सम्झन्छ	یاد کرتا ہے	hatırlıyor	זוכר	يتذكر	erinnert sich	recuerda	ricorda	lembra	помнит	pamięta	ចងចាំ	မှတ်မိသည်။	মনে পড়ে	நினைவில் கொள்கிறது	ਯਾਦ ਕਰਦਾ ਹੈ	आठवते	గుర్తుకొస్తుంది	пам'ятає	minns	anakumbuka
nun mi memoras	now I remember	나는 지금 기억한다	Maintenant, je me souviens	私は今覚えています	现在我想起了	現在我想起了	bây giờ tôi nhớ	одоо санаж байна	ตอนนี้ฉันจำได้	sekarang saya ingat	sekarang saya ingat	अब मुझे याद आया	الان یادم اومد	अब म सम्झन्छु	اب مجھے یاد ہے	şimdi hatırlıyorum	עכשיו אני זוכר	الآن أتذكر	jetzt erinnere ich mich	ahora recuerdo	ora ricordo	agora eu lembro	теперь я помню	teraz pamiętam	ឥឡូវនេះខ្ញុំចាំ	အခုငါမှတ်မိတယ်။	এখন আমি মনে করতে পারছি	இப்போது எனக்கு நினைவிருக்கிறது	ਹੁਣ ਮੈਨੂੰ ਯਾਦ ਹੈ	आता मला आठवते	ఇప్పుడు నాకు గుర్తుంది	тепер я пам'ятаю	nu kommer jag ihåg	sasa nakumbuka
dimanĉo	Sunday	일요일	Dimanche	日曜日	星期日	星期日	Chủ nhật	Ням гараг	วันอาทิตย์	Ahad	Minggu	रविवार	یکشنبه	आइतबार	اتوار	Pazar	יוֹם רִאשׁוֹן	الأحد	Sonntag	Domingo	Domenica	Domingo	Воскресенье	Niedziela	ថ្ងៃអាទិត្យ	တနင်္ဂနွေ	রবিবার	ஞாயிற்றுக்கிழமை	ਐਤਵਾਰ	रविवार	ఆదివారం	неділя	söndag	Jumapili
hodiaŭ estas ~	today is ~	오늘은 ~ 이다	aujourd'hui c'est ~	今日は〜です	今天是~	今天是~	hôm nay là ~	өнөөдөр ~	วันนี้คือ ~	hari ini ialah ~	hari ini adalah ~	आज ~ है	امروز ~ است	आज ~ छ	آج ~ ہے	bugün ~	היום זה ~	اليوم هو ~	heute ist ~	hoy es ~	oggi è ~	hoje é ~	сегодня ~	dzisiaj jest ~	ថ្ងៃនេះគឺ ~	ဒီနေ့ ~	আজ ~	இன்று ~	ਅੱਜ ~ ਹੈ	आज ~ आहे	ఈ రోజు ~	сьогодні ~	idag är ~	leo ni ~
hodiaŭ estas dimanĉo	today is Sunday	오늘은 일요일이다	Aujourd'hui est dimanche	今日は日曜日です	今天是星期天	今天是星期天	Hôm nay là chủ nhật	Өнөөдөр бүтэнсайн	วันนี้วันอาทิตย์	hari ini hari Ahad	hari ini adalah hari Minggu	आज रविवार हे	امروز یکشنبه است	आज आइतबार हो	آج اتوار ہے	Bugün Pazar	היום יום ראשון	اليوم هو الأحد	Heute ist Sonntag	Hoy es domingo	Oggi è domenica	Hoje é domingo	Сегодня воскресенье	dzisiaj jest niedziela	ថ្ងៃនេះ​ជា​ថ្ងៃ​អាទិត្យ	ဒီနေ့တနင်္ဂနွေနေ့ပါ	আজ রবিবার	இன்று ஞாயிற்று கிழமை	ਅੱਜ ਐਤਵਾਰ ਹੈ	आज रविवार आहे	ఈరోజు ఆదివారం	сьогодні неділя	idag är det söndag	leo ni Jumapili
dormi kaj ekdormi	to sleep and to get into sleep	잠자다 그리고 잠에들다	dormir et s'endormir	寝て寝る	睡觉并进入睡眠状态	睡覺並進入睡眠狀態	đi ngủ và đi vào giấc ngủ	унтах, унтах	นอนหลับและเข้านอน	untuk tidur dan untuk tidur	untuk tidur dan tertidur	सोना और नींद में आना	برای خوابیدن و به خواب رفتن	सुत्न र सुत्न	سونے کے لیے اور سونے کے لیے	uyumak ve uykuya dalmak	לישון ולהיכנס לישון	للنوم والدخول في النوم	schlafen und einschlafen	dormir y quedarme dormido	dormire e addormentarsi	dormir e adormecer	спать и заснуть	spać i zapadać w sen	ចូលគេងហើយចូលគេង	အိပ်ဖို့နဲ့ အိပ်ဖို့	ঘুমাতে এবং ঘুমাতে	தூங்குவதற்கும் தூங்குவதற்கும்	ਸੌਣ ਲਈ ਅਤੇ ਸੌਣ ਲਈ	झोपणे आणि झोपणे	నిద్రించడానికి మరియు నిద్రలోకి రావడానికి	спати і спати	att sova och att somna	kulala na kupata usingizi
suno kaj luno	a sun and a moon	태양과 달	un soleil et une lune	太陽と月	一个太阳和一个月亮	一個太陽和一個月亮	một mặt trời và một mặt trăng	нар, сар	ดวงอาทิตย์และดวงจันทร์	matahari dan bulan	matahari dan bulan	एक सूर्य और एक चंद्रमा	یک خورشید و یک ماه	एक सूर्य र चन्द्रमा	ایک سورج اور ایک چاند	bir güneş ve bir ay	שמש וירח	الشمس والقمر	eine Sonne und ein Mond	un sol y una luna	un sole e una luna	um sol e uma lua	солнце и луна	słońce i księżyc	ព្រះអាទិត្យ និងព្រះច័ន្ទ	နေနှင့်လ	একটি সূর্য এবং একটি চাঁদ	ஒரு சூரியன் மற்றும் ஒரு சந்திரன்	ਇੱਕ ਸੂਰਜ ਅਤੇ ਇੱਕ ਚੰਦ	एक सूर्य आणि एक चंद्र	ఒక సూర్యుడు మరియు చంద్రుడు	сонце і місяць	en sol och en måne	jua na mwezi
subita kaj subite	sudden and suddenly	갑작스런 그리고 갑자기	soudain et tout à coup	突然と突然	突然又突然	突然又突然	đột ngột và đột ngột	гэнэт, гэнэт	ฉับพลันและทันใด	mengejut dan mengejut	tiba-tiba dan tiba-tiba	अचानक और अचानक	ناگهانی و ناگهانی	अचानक र अचानक	اچانک اور اچانک	ani ve aniden	פתאום ופתאום	فجأة وفجأة	plötzlich und plötzlich	repentino y de repente	improvviso e improvviso	de repente e de repente	внезапно и неожиданно	nagle i nagle	ភ្លាមៗនិងភ្លាមៗ	ရုတ်တရက်နှင့် ရုတ်တရက်	হঠাৎ এবং হঠাৎ	திடீரென்று மற்றும் திடீரென்று	ਅਚਾਨਕ ਅਤੇ ਅਚਾਨਕ	अचानक आणि अचानक	ఆకస్మికంగా మరియు హఠాత్తుగా	раптово і раптово	plötsligt och plötsligt	ghafla na ghafla
ek!	off! (to start)	자! (시작)	désactivé! (commencer)	さあ！ (スタート)	离开！ （开始）	離開！ （開始）	tắt! (để bắt đầu)	унтраах! (эхлэх)	ปิด! (เริ่ม)	off! (untuk mula)	mati! (untuk memulai)	बंद! (आरंभ करना)	خاموش! (برای شروع)	बन्द! (सुरु गर्न)	بند! (شروع کرنے کے لئے)	kapalı! (başlamak)	כבוי! (להתחיל)	عن! (للبدأ)	aus! (anfangen)	¡apagado! (para comenzar)	spento! (iniziare)	desligado! (para iniciar)	выключенный! (начать)	wyłączony! (zacząć)	បិទ! (ចាប់ផ្ដើម)	ပိတ်! (စတင်ရန်)	বন্ধ! (শুরুতেই)	ஆஃப்! (தொடங்க)	ਬੰਦ! (ਸੁਰੂ ਕਰਨਾ)	बंद! (सुरू करण्यासाठी)	ఆఫ్! (ప్రారంభించడానికి)	вимкнено! (починати)	av! (att börja)	mbali! (kuanza)
salti kaj eksaltis	to jump and jumped 	점프하다 그리고 펄쩍 점프했다	sauter et sauter	ジャンプし、パルジャンジャンプした	跳啊跳	跳啊跳	nhảy và nhảy	үсрэх, үсрэх	กระโดดและกระโดด	untuk melompat dan melompat	untuk melompat dan melompat	कूदना और कूदना	پریدن و پرید	हाम फाल्ने र हाम फाल्ने	کودنا اور چھلانگ لگانا	atlamak ve atlamak	לקפוץ וקפץ	للقفز والقفز	springen und sprangen	saltar y saltó	saltare e saltare	pular e pular	прыгать и прыгать	skakać i skakać	ដើម្បីលោតនិងលោត	ခုန်ဖို့ ခုန်တယ်။	লাফানো এবং লাফানো	குதித்து குதிக்க	ਛਾਲ ਮਾਰਨ ਅਤੇ ਛਾਲ ਮਾਰਨ ਲਈ	उडी मारणे आणि उडी मारणे	దూకడం మరియు దూకడం	стрибати і стрибати	att hoppa och hoppa	kuruka na kuruka
ĉiam frua	always early	항상 일찍인	toujours tôt	いつも早い	总是早	總是早	luôn sớm	үргэлж эрт	เร็วเสมอ	selalu awal	selalu lebih awal	हमेशा जल्दी	همیشه زود	सधैं चाँडो	ہمیشہ جلدی	her zaman erken	תמיד מוקדם	دائما في وقت مبكر	immer früh	siempre temprano	sempre presto	sempre cedo	всегда рано	zawsze wcześnie	តែងតែឆាប់	အမြဲတမ်းစောတယ်။	সবসময় তাড়াতাড়ি	எப்போதும் முன்கூட்டியே	ਹਮੇਸ਼ਾ ਛੇਤੀ	नेहमी लवकर	ఎల్లప్పుడూ ముందుగానే	завжди рано	alltid tidigt	daima mapema
hodiaŭ metis kaj kuris	today put and ran	오늘 두었고 그리고 뛰었다	aujourd'hui mis et couru	今日置いて走った	今天放跑	今天放跑	hôm nay đặt và chạy	өнөөдөр тавиад гүйлээ	วันนี้ใส่และวิ่ง	hari ini meletakkan dan berlari	hari ini letakkan dan lari	आज डाल कर चला दिया	امروز گذاشت و اجرا کرد	आज राख्यो र दौडियो	آج ڈال دیا اور بھاگ گیا	bugün koydum ve koştum	היום לשים וברח	وضع اليوم وركض	heute Put and Run	hoy puso y corrió	oggi messo e scappato	hoje coloquei e corri	сегодня поставил и побежал	dzisiaj postawiłem i pobiegłem	ថ្ងៃនេះដាក់ហើយរត់	ဒီနေ့တင်ပြီးပြေးတယ်။	আজ রাখা এবং দৌড়ে	இன்று போட்டு ஓடினான்	ਅੱਜ ਪਾ ਅਤੇ ਭੱਜ	आज ठेवले आणि धावले	నేడు చాలు మరియు నడిచింది	сьогодні поставив і побіг	idag satte och sprang	leo weka na kukimbia
aĵo, ne aĝo	a thing not age	물건, 나이 말고	une chose qui n'a pas d'âge	もの、年齢ではない	与年龄无关的东西	與年齡無關的東西	một điều không tuổi	нас биш зүйл	สิ่งหนึ่งที่ไม่ใช่อายุ	sesuatu yang bukan umur	sesuatu yang bukan usia	कोई चीज़ उम्र नहीं	چیزی که سن ندارد	उमेर होइन कुरा	ایک چیز عمر نہیں	yaş değil bir şey	דבר לא גיל	شيء ليس العمر	eine Sache, die nicht altert	una cosa que no envejece	una cosa non è l'età	uma coisa que não é idade	дело не в возрасте	rzecz, a nie wiek	វត្ថុមិនមានអាយុ	အသက်အရွယ်မဟုတ်သောအရာ	একটি জিনিস বয়স নয়	வயது அல்ல ஒரு விஷயம்	ਇੱਕ ਚੀਜ਼ ਉਮਰ ਨਹੀਂ	वय नाही गोष्ट	ఒక విషయం వయస్సు కాదు	річ не вік	en sak inte ålder	jambo sio umri
kuris laŭ homoj saĝaj	ran along wise people	현명한 사람들과 같이 달렸다	j'ai couru avec des gens sages	賢い人のように走った	与聪明人同行	與聰明人同行	chạy theo những người khôn ngoan	Ухаантай хүмүүсийг дагаж гүйв	วิ่งไปตามคนฉลาด	berlari bersama orang yang bijak	berlari bersama orang bijak	बुद्धिमान लोगों के साथ दौड़ा	با مردم عاقل دوید	बुद्धिमान मानिसहरु संगै दौडे	عقلمند لوگوں کے ساتھ بھاگا۔	bilge insanlarla birlikte koştum	רץ לצד אנשים חכמים	ركض على طول الحكماء	lief entlang weise Leute	corrió junto a gente sabia	correva accanto a persone sagge	correu junto com pessoas sábias	бежал мимо мудрых людей	biegał wzdłuż mądrych ludzi	បានរត់តាមមនុស្សដែលមានប្រាជ្ញា	ပညာရှိတို့ လိုက်၍ ပြေးကြ၏။	জ্ঞানী লোকেদের সাথে দৌড়ালো	புத்திசாலிகளுடன் ஓடினார்	ਸੂਝਵਾਨ ਲੋਕਾਂ ਦੇ ਨਾਲ ਭੱਜਿਆ	हुशार लोकांबरोबर धावले	తెలివైన వ్యక్తుల వెంట నడిచింది	бігли мудрі люди	sprang tillsammans med kloka människor	alikimbia pamoja na watu wenye busara
laŭeble baldaŭ	soon as possible	가능한 한 곧바로	dès que possible	できるだけすぐに	尽快	盡快	sớm nhất có thể	аль болох хурдан	โดยเร็วที่สุด	secepat mungkin	secepatnya	जल्द से जल्द	در اسرع وقت	जति सक्दो चाडो	جتنی جلدی ممکن ہو	mümkün olur olmaz	בהקדם האפשרי	فى اسرع وقت ممكن	schnellstmöglich	tan pronto como sea posible	appena possibile	assim que possível	как можно скорее	możliwie najszybciej	ឆាប់តាមដែលអាចធ្វើបាន	အမြန်ဆုံးအဖြစ်	যত দ্রুত সম্ভব	விரைவில்	ਜਿੰਨੀ ਜਲਦੀ ਹੋ ਸਕੇ	शक्य तितक्या लवकर	వీలైనంత తొందరగా	якомога швидше	snart som möjligt	haraka iwezekanavyo
