C.th content.tsv
Level	Esperanto	th	en-us	Grupo	Alternativoj	Pronoco
level	etiketo	มารยาท ฉลาก ป้าย จรรยาบรรณ	an etiquette, a label, a tag, code of conduct	grupo	alternativoj	prononco
level	ladskatolo	กระป๋อง	a tin can	grupo	alternativoj	prononco
level	identa	เหมือนกัน	identical	grupo	alternativoj	prononco
level	skui	เขย่า	to shake	grupo	alternativoj	prononco
level	lavomaŝino	เครื่องซักผ้า, เครื่องซักผ้า	a washer, a washing machine	grupo	alternativoj	prononco
level	geamikoj	เพื่อน (ชายและหญิง)	friends (male and female)	grupo	alternativoj	prononco
level	gelernantoj	นักเรียน (ชายและหญิง)	students (male and female)	grupo	alternativoj	prononco
level	gravulo	บุคคลสำคัญ	an important person	grupo	alternativoj	prononco
level	dediĉi	อุทิศ, อุทิศ	to dedicate, to devote	grupo	alternativoj	prononco
level	geknaboj	เด็กชายและเด็กหญิง	boys and girls	grupo	alternativoj	prononco
level	havinda	คุ้มค่าที่จะมี	worth having	grupo	alternativoj	prononco
level	hommulto	ผู้คนมวลชน	people, mass people	grupo	alternativoj	prononco
level	admiri	ชื่นชม	to admire	grupo	alternativoj	prononco
level	magneto	แม่เหล็ก	a magnet	grupo	alternativoj	prononco
level	industriisto	นักอุตสาหกรรม	an industriallist	grupo	alternativoj	prononco
level	delfeno	ปลาโลมา	a dolphin	grupo	alternativoj	prononco
level	manĝobastonetoj	ตะเกียบ	chopsticks	grupo	alternativoj	prononco
level	ekstrema	สุดขีด	extreme	grupo	alternativoj	prononco
level	eksedziĝo	การหย่าร้าง (ชาย)	divorce (male)	grupo	alternativoj	prononco
level	sklavo	ทาส	a slave	grupo	alternativoj	prononco
level	mamzono	เสื้อชั้นใน, เสื้อยกทรง	a bra, a brassiere	grupo	alternativoj	prononco
level	koncentri	มีสมาธิ	to concentrate	grupo	alternativoj	prononco
level	iro	หนทางที่จะไป	a way to go	grupo	alternativoj	prononco
level	manĝoskatolo	กล่องอาหารกลางวัน	a lunch box	grupo	alternativoj	prononco
level	faco	ใบหน้า พื้นผิว	a face, a surface	grupo	alternativoj	prononco
level	eksedziĝinta	หย่าร้าง (ชาย)	divorced (male)	grupo	alternativoj	prononco
level	manpremo	การจับมือกัน	a handshake	grupo	alternativoj	prononco
level	karulo	คนที่รัก	a beloved person	grupo	alternativoj	prononco
level	komponi	เพื่อเขียน	to compose	grupo	alternativoj	prononco
level	generalo	ทั่วไป	a general	grupo	alternativoj	prononco
level	eksedziniĝinta	หย่าร้าง (หญิง)	divorced (female)	grupo	alternativoj	prononco
level	klubano	สมาชิกสโมสร	a club member	grupo	alternativoj	prononco
level	riski	เสี่ยงเสี่ยง	to risk, to venture	grupo	alternativoj	prononco
level	mevo	นกนางนวล, นกนางนวลทะเล	a gull, a sea gull	grupo	alternativoj	prononco
level	agento	ตัวแทน	an agent	grupo	alternativoj	prononco
level	kunmanĝi	ที่จะกินด้วยกัน	to eat together	grupo	alternativoj	prononco
level	banano	กล้วย	a banana	grupo	alternativoj	prononco
level	barko	เรือสำเภา, เรือลำเล็ก	a barque, a small ship	grupo	alternativoj	prononco
level	kunulino	ผู้ต้องขังหญิง	a female inmate	grupo	alternativoj	prononco
level	montaro	เทือกเขา	a mountain range	grupo	alternativoj	prononco
level	bopatro	พ่อตา	a father-in-law	grupo	alternativoj	prononco
level	artiko	ข้อต่อ, บานพับ, ข้อต่อ	a joint, hinge, articulation	grupo	alternativoj	prononco
level	mortinto	ผู้เสียชีวิต	a deceased person	grupo	alternativoj	prononco
level	lampeto	โคมไฟขนาดเล็ก	a small lamp	grupo	alternativoj	prononco
level	fundamento	รากฐาน, รากฐาน	foundation, a foundation	grupo	alternativoj	prononco
level	libertempo	เวลาว่าง	free time	grupo	alternativoj	prononco
level	muziknoto	โน้ตดนตรี	a musical note	grupo	alternativoj	prononco
level	intelekto	สติปัญญาจิตใจ	intellect, mind	grupo	alternativoj	prononco
level	alterni	เพื่อสลับกัน	to alternate	grupo	alternativoj	prononco
level	majesta	คู่บารมี	majestic	grupo	alternativoj	prononco
level	lumigi	เพื่อให้มีแสงสว่าง	to make light	grupo	alternativoj	prononco
level	malbela	น่าเกลียด	ugly	grupo	alternativoj	prononco
level	nudelo	ก๋วยเตี๋ยว	a noodle	grupo	alternativoj	prononco
level	imposto	ภาษี	tax	grupo	alternativoj	prononco
level	citi	อ้างเพื่ออ้างอิง	to quote, to cite	grupo	alternativoj	prononco
level	malbono	ความเลวร้าย	badness	grupo	alternativoj	prononco
level	manipuli	เพื่อจัดการเพื่อจัดการเพื่อจัดการ	to manipulate, to handle, to manage	grupo	alternativoj	prononco
level	malfeliĉo	ความทุกข์	an unhappiness	grupo	alternativoj	prononco
level	malforte	อย่างอ่อนแอ	weakly	grupo	alternativoj	prononco
level	akso	แกน	an axis	grupo	alternativoj	prononco
level	praa	ยุคก่อนประวัติศาสตร์ เก่าแก่มาก ห่างไกล	prehistorical, very old, remote	grupo	alternativoj	prononco
level	mallaŭte	ด้วยเสียงต่ำ	in low voice	grupo	alternativoj	prononco
level	periodaĵo	วารสาร	a periodical	grupo	alternativoj	prononco
level	groto	ถ้ำ ถ้ำ หลุมบ่อ	a grotto, a cave, a pothole	grupo	alternativoj	prononco
level	praavo	ปู่ทวด (ระยะไกล)	a great great grandfather (remote)	grupo	alternativoj	prononco
level	profesio	อาชีพ	a profession	grupo	alternativoj	prononco
level	mallumo	ความมืด	darkness	grupo	alternativoj	prononco
level	posteno	ตำแหน่ง	a position	grupo	alternativoj	prononco
level	ironio	ประชด	an irony	grupo	alternativoj	prononco
level	malmultekosta	ราคาถูก	cheap	grupo	alternativoj	prononco
level	fiziko	ฟิสิกส์	physics	grupo	alternativoj	prononco
level	malproksime	ห่างไกล	far away	grupo	alternativoj	prononco
level	malsaĝa	โง่	silly	grupo	alternativoj	prononco
level	poŝtelefono	โทรศัพท์มือถือ	a mobile phone	grupo	alternativoj	prononco
level	praarbaro	ป่าดึกดำบรรพ์	a primeval forest	grupo	alternativoj	prononco
level	poŝtoficejo	ไปรษณีย์	a post office	grupo	alternativoj	prononco
level	malsukcesa	ไม่ประสบความสำเร็จล้มเหลว	unsuccessful, failing	grupo	alternativoj	prononco
level	plekti	ถักเปีย, ถักเปีย, ร้อยเป็นเกลียว, ไว้พวงดอกไม้	to braid, to plait, to twine, to wreathe	grupo	alternativoj	prononco
level	rumano	คนโรมาเนีย	a Romanian person	grupo	alternativoj	prononco
level	elasta	ยืดหยุ่น	elastic	grupo	alternativoj	prononco
level	manĝegi	กินมาก	to eat much	grupo	alternativoj	prononco
level	mortigo	การฆาตกรรม (= murdo)	a murder (=murdo)	grupo	alternativoj	prononco
level	oblikva	เฉียง, เอียง, เบี้ยว	oblique, slanting, askew	grupo	alternativoj	prononco
level	verando	ระเบียง, ระเบียง	a veranda, a porch	grupo	alternativoj	prononco
level	rabi	ที่จะปล้น	to rob	grupo	alternativoj	prononco
level	retletero	อีเมล์	an email	grupo	alternativoj	prononco
level	orienti	เพื่อปรับทิศทาง	to orientate	grupo	alternativoj	prononco
level	eksplodi	ที่จะระเบิด	to explode	grupo	alternativoj	prononco
level	alternativo	ทางเลือกอื่น	an alternative	grupo	alternativoj	prononco
level	naskiĝtaga	วันเกิด	birthday's	grupo	alternativoj	prononco
level	efekto	ผลกระทบ	an effect	grupo	alternativoj	prononco
level	fasti	อดอาหาร (งดอาหาร)	to fast (abstain from food)	grupo	alternativoj	prononco
level	nehoma	ไร้มนุษยธรรม	inhumane	grupo	alternativoj	prononco
level	nokta	ตอนกลางคืน, กลางคืน, เวลากลางคืน	night's, nightly, nocturnal	grupo	alternativoj	prononco
level	diametro	เส้นผ่านศูนย์กลาง	a diameter	grupo	alternativoj	prononco
level	paŝti	ให้เลี้ยงสัตว์ ให้เลี้ยงแกะ ให้กิน	to pasture, to shepherd, to feed	grupo	alternativoj	prononco
level	paperujo	ถังขยะสำหรับใส่ขยะกระดาษ	a bin for paper garbage	grupo	alternativoj	prononco
level	miskompreni	ที่จะเข้าใจผิด	to misunderstand	grupo	alternativoj	prononco
level	kozako	คนคอซแซค	a Cossack person	grupo	alternativoj	prononco
level	varo	สินค้าโภคภัณฑ์ การค้าสินค้า สินค้าโภคภัณฑ์	commodity, trade good, merchandise, wares	grupo	alternativoj	prononco
level	plenigadi	เพื่อคอยเติม	to keep filling	grupo	alternativoj	prononco
level	nuko	ต้นคอคอ	a nape, a neck	grupo	alternativoj	prononco
level	tipo	ประเภท ตัวอย่าง รุ่น	type, example, model	grupo	alternativoj	prononco
level	plimulto	ส่วนใหญ่	a majority	grupo	alternativoj	prononco
level	irako	อิรัก	Iraq	grupo	alternativoj	prononco
level	resumo	สรุป, สรุปย่อ, ประวัติย่อ, สรุปผล	a summary, a digest, a résumé, a sum-up	grupo	alternativoj	prononco
level	promeno	ทางเดินเดินเล่น	a promenade, a walking	grupo	alternativoj	prononco
level	horizontalo	เส้นแนวนอน	a horizontal line	grupo	alternativoj	prononco
level	fi-	(prefix) น่าละอาย น่าขยะแขยง สกปรก	(prefix)  shameful, disgusting, dirty	grupo	alternativoj	prononco
level	aŭkcio	การประมูล	an auction	grupo	alternativoj	prononco
level	konkludi	สรุป	to conclude	grupo	alternativoj	prononco
level	salivo	น้ำลายทาส	saliva, slaver	grupo	alternativoj	prononco
level	subvencio	เงินอุดหนุน, เงินช่วยเหลือ	a subsidy, a grant	grupo	alternativoj	prononco
level	realigi	ที่จะตระหนัก	to realise	grupo	alternativoj	prononco
level	koralo	ปะการัง	a coral	grupo	alternativoj	prononco
level	cirkuli	เพื่อหมุนเวียนไปเกี่ยวกับ	to circulate, to go about	grupo	alternativoj	prononco
level	rekapti	เพื่อจับอีกครั้ง	to catch again	grupo	alternativoj	prononco
level	ekstari	ลุกขึ้นยืนขึ้น	to get stand up, to rise	grupo	alternativoj	prononco
level	ambasado	สถานทูต	an embassy	grupo	alternativoj	prononco
level	riĉeco	ความร่ำรวย	richness	grupo	alternativoj	prononco
level	rekonstrui	เพื่อสร้างใหม่เพื่อสร้างใหม่	to rebuild, to reconstruct	grupo	alternativoj	prononco
level	kukumo	แตงกวา	a cucumber	grupo	alternativoj	prononco
level	samklubano	สมาชิกของสโมสรเดียวกัน	a member of a same club	grupo	alternativoj	prononco
level	konsulti	เพื่อปรึกษาและเงยหน้าขึ้นมอง	to consult, to look up	grupo	alternativoj	prononco
level	seninterese	ไม่มีดอกเบี้ย (=malinterese)	without interests (=malinterese)	grupo	alternativoj	prononco
level	sensukcese	ปราศจากความสำเร็จ	without success	grupo	alternativoj	prononco
level	eĉ se ~	แม้ว่า ~	even if ~	grupo	alternativoj	prononco
level	modelo	โมเดล	a model	grupo	alternativoj	prononco
level	rimo	สัมผัส	a rhyme	grupo	alternativoj	prononco
level	senvorte	ไม่มีคำ	without words	grupo	alternativoj	prononco
level	referenco	การอ้างอิง	a reference	grupo	alternativoj	prononco
level	komandi	เพื่อควบคุม	to command	grupo	alternativoj	prononco
level	krizo	วิกฤติ	a crisis	grupo	alternativoj	prononco
level	vinagro	น้ำส้มสายชู	a vinegar	grupo	alternativoj	prononco
level	soleca	แต่เพียงผู้เดียว	sole, alone	grupo	alternativoj	prononco
level	dano	คนเดนมาร์ก, คนเดนมาร์ก	a Danish person, a dane	grupo	alternativoj	prononco
level	ŝtofo	ผ้า, สิ่งทอ, ผ้า, วัสดุผ้า	a fabric, textile, cloth, cloth material	grupo	alternativoj	prononco
level	viŝilo	ยางลบ, ที่ปัดน้ำฝน	an eraser, a wiper	grupo	alternativoj	prononco
level	konfidenco	การรักษาความลับความมั่นใจความลับ	a confidentiality, confidence, secret	grupo	alternativoj	prononco
level	sportisto	นักกีฬา	a sportsman	grupo	alternativoj	prononco
level	arabo	คนอาหรับ, คนอาหรับ	an Arabean person, an Arab	grupo	alternativoj	prononco
level	varii	แตกต่างกัน	to vary	grupo	alternativoj	prononco
level	subakviĝi	ที่จะจม	to sink	grupo	alternativoj	prononco
level	oficiro	เจ้าหน้าที่ (ทหาร)	an officer (military)	grupo	alternativoj	prononco
level	ĉasisto	นักล่า	a hunter	grupo	alternativoj	prononco
level	konferenco	การประชุม	a conference	grupo	alternativoj	prononco
level	surhavi	ที่จะสวมใส่	to wear on	grupo	alternativoj	prononco
level	animalo	สัตว์	an animal	grupo	alternativoj	prononco
level	teroristo	ผู้ก่อการร้าย	a terrorist	grupo	alternativoj	prononco
level	nobla	มีคุณธรรมสูง	noble	grupo	alternativoj	prononco
level	travivaĵo	การดำเนินชีวิต การเผชิญประสบการณ์	a live-through, an undergo, an experience	grupo	alternativoj	prononco
level	komunismo	คอมมิวนิสต์	communism	grupo	alternativoj	prononco
level	ŝinko	แฮม	a ham	grupo	alternativoj	prononco
level	aspiri	ปรารถนาที่จะปรารถนา	to aspire to, to be eager for	grupo	alternativoj	prononco
level	ŝarko	ฉลาม	a shark	grupo	alternativoj	prononco
level	buko	หัวเข็มขัด	a buckle	grupo	alternativoj	prononco
level	kvartalo	เขต, สี่, ย่าน	a district, quarter, neighborhood	grupo	alternativoj	prononco
level	ŝildo	โล่	a shield	grupo	alternativoj	prononco
level	veturigi	ขับ	to drive	grupo	alternativoj	prononco
level	vidvo	พ่อม่าย	a widower	grupo	alternativoj	prononco
level	Kanado	แคนาดา	Canada	grupo	alternativoj	prononco
level	strigo	นกฮูก	an owl	grupo	alternativoj	prononco
level	stilo	สไตล์	a style	grupo	alternativoj	prononco
level	ŝimo	แม่พิมพ์	a mold	grupo	alternativoj	prononco
level	aplaŭdi	เพื่อปรบมือ, ปรบมือ, โห่ร้อง	to applaud, to clap, to acclaim	grupo	alternativoj	prononco
level	ŝmiraĵo	ครีม	an ointment	grupo	alternativoj	prononco
level	vojaĝanto	นักเดินทาง	a traveller	grupo	alternativoj	prononco
level	ĉeesto	การมีส่วนร่วม	a participation	grupo	alternativoj	prononco
level	pruvi	เพื่อพิสูจน์เพื่อแสดง	to prove, to show	grupo	alternativoj	prononco
level	kantisto	นักร้อง	a singer	grupo	alternativoj	prononco
level	ĝustatempe	ในเวลาที่ถูกต้อง	in correct time	grupo	alternativoj	prononco
level	inaŭguri	เพื่อเปิดตัว	to inaugurate	grupo	alternativoj	prononco
level	kantistino	นักร้องหญิง	a female singer	grupo	alternativoj	prononco
level	fluto	ขลุ่ย	a flute	grupo	alternativoj	prononco
level	opozicii	ที่จะต่อต้าน, ที่จะต่อต้าน	to oppose, to be in opposition	grupo	alternativoj	prononco
level	kuiristo	ทำอาหาร	a cook	grupo	alternativoj	prononco
level	ŝipkuro	การแข่งขันเรือ	a ship competition	grupo	alternativoj	prononco
level	diktatoro	เผด็จการ	a dictator	grupo	alternativoj	prononco
level	funebro	วงดนตรีไว้อาลัย โศกเศร้า (งานศพ)	mourning band, grief (funeral)	grupo	alternativoj	prononco
level	instali	ติดตั้ง	to install	grupo	alternativoj	prononco
level	kuiristino	พ่อครัวหญิง	a female cook	grupo	alternativoj	prononco
level	meksiko	เม็กซิโก	Mexico	grupo	alternativoj	prononco
level	eminenta	โดดเด่น, โดดเด่น	eminent, distinguished	grupo	alternativoj	prononco
level	verbo	กริยา	a verb	grupo	alternativoj	prononco
level	surfaco	พื้นผิวพื้นผิว	surface, a surface	grupo	alternativoj	prononco
level	bovlo	ชาม	a bowl	grupo	alternativoj	prononco
level	trajto	ลักษณะ, ลักษณะ, เส้น (หน้า)	a trait, a feature, line (of face)	grupo	alternativoj	prononco
level	demokratismo	ประชาธิปไตย	democracy	grupo	alternativoj	prononco
level	ŝuti	ทิ้ง, เท, เทออก	to dump, to pour, to pour out	grupo	alternativoj	prononco
level	baki	การอบ	to bake	grupo	alternativoj	prononco
level	poŝtisto	บุรุษไปรษณีย์, บุรุษไปรษณีย์	a postman, a mailman	grupo	alternativoj	prononco
level	simpatio	ความเห็นอกเห็นใจความเห็นอกเห็นใจ	sympathy, a sympathy	grupo	alternativoj	prononco
level	melono	แตง	a melon	grupo	alternativoj	prononco
level	abnorma	ผิดปกติ	abnormal	grupo	alternativoj	prononco
level	sorĉi	ที่จะมนต์เสน่ห์	to bewitch	grupo	alternativoj	prononco
level	juĝisto	ผู้พิพากษา	a judge	grupo	alternativoj	prononco
level	reciproka	ซึ่งกันและกันซึ่งกันและกัน	reciprocal, mutual	grupo	alternativoj	prononco
level	fabriko	โรงงาน, การผลิต (=manufakturo)	a factory, a manufacture (=manufakturo)	grupo	alternativoj	prononco
level	faldi	ที่จะพับ	to fold	grupo	alternativoj	prononco
level	dentisto	ทันตแพทย์	a dentist	grupo	alternativoj	prononco
level	medikamento	ยา, ยา, ยา	medication, a medicine, a drug	grupo	alternativoj	prononco
level	kaŝtano	เกาลัด	a chestnut	grupo	alternativoj	prononco
level	testudo	เต่า, เต่า	a tortoise, a turtle	grupo	alternativoj	prononco
level	proceso	กระบวนการคดีความ	a process, a lawsuit	grupo	alternativoj	prononco
level	eksperimento	การทดลอง	an experiment	grupo	alternativoj	prononco
level	heliko	หอยทาก	a snail	grupo	alternativoj	prononco
level	dancisto	นักเต้น	a dancer	grupo	alternativoj	prononco
level	vodko	วอดก้า	vodka	grupo	alternativoj	prononco
level	esenco	สาระสำคัญ, สาระสำคัญ	essence, an essence	grupo	alternativoj	prononco
level	strukturo	โครงสร้าง, โครงสร้าง	structure, a structure	grupo	alternativoj	prononco
level	spongo	ฟองน้ำ	a sponge	grupo	alternativoj	prononco
level	imperiestro	จักรพรรดิ	an emperor	grupo	alternativoj	prononco
level	domaĝi	ต้องกังวล ต้องเสียใจ ต้องกลัว	to be concerned for, to regret, to fear for	grupo	alternativoj	prononco
level	be!	เป็น!	be!	grupo	alternativoj	prononco
level	sopiri	โหยหา, โหยหา	to yearn for, to long for	grupo	alternativoj	prononco
level	modesta	เจียมเนื้อเจียมตัวปานกลาง	modest, moderate	grupo	alternativoj	prononco
level	pozicio	ตำแหน่ง, สถานที่, สถานที่	a position, a location, a place	grupo	alternativoj	prononco
level	inĝeniero	วิศวกร	an engineer	grupo	alternativoj	prononco
level	tegolo	กระเบื้องมุงหลังคา	a roofing tile	grupo	alternativoj	prononco
level	libio	ลิเบีย	Libya	grupo	alternativoj	prononco
level	ganto	ถุงมือ	a glove	grupo	alternativoj	prononco
level	gruo	เครน	a crane	grupo	alternativoj	prononco
level	rezisti	ที่จะต่อต้าน	to resist	grupo	alternativoj	prononco
level	alfabeto	ตัวอักษร	alphabet	grupo	alternativoj	prononco
level	rampi	คลานคืบคลาน	to crawl, to creep	grupo	alternativoj	prononco
level	transporti	เพื่อการขนส่ง	to transport	grupo	alternativoj	prononco
level	pupilo	รูม่านตา (แอปเปิ้ลแห่งดวงตา)	pupil (apple of the eye)	grupo	alternativoj	prononco
level	muskolo	กล้ามเนื้อ	a muscle	grupo	alternativoj	prononco
level	beni	จะอวยพร	to bless	grupo	alternativoj	prononco
level	profito	กำไรกำไร	a profit, a gain	grupo	alternativoj	prononco
level	Maria	มาเรีย	Maria	grupo	alternativoj	prononco
level	kritiki	วิพากษ์วิจารณ์วิพากษ์วิจารณ์	to criticize, to critique	grupo	alternativoj	prononco
level	konscienco	มโนธรรม ความรู้สึกทางศีลธรรม เสียงภายใน	conscience, moral sense, inner voice	grupo	alternativoj	prononco
level	ĉefo	ผู้นำ, เจ้านาย	a leader, a boss	grupo	alternativoj	prononco
level	Pakistano	ปากีสถาน	Pakistan	grupo	alternativoj	prononco
level	treni	ลากลากจูง	to drag, to tow	grupo	alternativoj	prononco
level	Venezuelo	เวเนซุเอลา	Venezuela	grupo	alternativoj	prononco
level	ortografio	การสะกดการันต์	orthography	grupo	alternativoj	prononco
level	febro	ไข้	a fever	grupo	alternativoj	prononco
level	ĉefurbo	เมืองหลวง	a capital city	grupo	alternativoj	prononco
level	ravi	เพื่อความสุข	to delight	grupo	alternativoj	prononco
level	ĉagreni	ก่อกวน, รำคาญ, กังวล	to vex, to annoy, to worry	grupo	alternativoj	prononco
level	ĉefi	เพื่อนำไปสู่	to lead	grupo	alternativoj	prononco
level	ribeli	กบฏ, ก่อจลาจล	to rebel, to revolt	grupo	alternativoj	prononco
level	kancero	มะเร็ง	cancer	grupo	alternativoj	prononco
level	atesti	เพื่อเป็นพยาน, ให้การเป็นพยาน, ยืนยัน	to attest, to testify, to affirm	grupo	alternativoj	prononco
level	inklina	เอนเอียงคว่ำ	inclined, prone	grupo	alternativoj	prononco
level	cirkonstanco	สถานการณ์	a circumstance	grupo	alternativoj	prononco
level	bulgaro	คนบัลแกเรีย	a Bulgarian person	grupo	alternativoj	prononco
level	frosta	หนาวจัด, เยือกแข็ง	frosty, freezing	grupo	alternativoj	prononco
level	kakao	เมล็ดโกโก้, โกโก้	a cocoa bean, a cacao	grupo	alternativoj	prononco
level	tomato	มะเขือเทศ	a tomato	grupo	alternativoj	prononco
level	firmao	บริษัท, บริษัท (=firmo)	a firm, a company (=firmo)	grupo	alternativoj	prononco
level	pigo	นกกางเขน	a magpie	grupo	alternativoj	prononco
level	grafo	เอิร์ล, เอิร์ล	a count, an earl	grupo	alternativoj	prononco
level	Alĝerio	แอลจีเรีย	Algeria	grupo	alternativoj	prononco
level	instituto	สถาบัน	an institute	grupo	alternativoj	prononco
level	rifuĝi	ที่จะลี้ภัย	to take refuge	grupo	alternativoj	prononco
level	arda	กระตือรือร้น	ardent	grupo	alternativoj	prononco
level	armeno	ชาวอาร์เมเนีย	an Armenian	grupo	alternativoj	prononco
level	anĝelo	นางฟ้า	an angel	grupo	alternativoj	prononco
level	konvalo	ดอกลิลลี่แห่งหุบเขา	a lily of the valley	grupo	alternativoj	prononco
level	egoismo	ความเห็นแก่ตัวความเห็นแก่ตัวความเห็นแก่ตัว	egoism, egotism, selfishness	grupo	alternativoj	prononco
level	kinejo	โรงภาพยนตร์, โรงภาพยนตร์	a cinema, a movie theater	grupo	alternativoj	prononco
level	rezervita	ที่สงวนไว้	reserved	grupo	alternativoj	prononco
level	kolono	คอลัมน์, คอลัมน์, เสา	column, a column, a pillar	grupo	alternativoj	prononco
level	deklari	ที่จะประกาศ	to declare	grupo	alternativoj	prononco
level	kirurgo	ศัลยแพทย์ (=ĥirurgo)	a surgeon (=ĥirurgo)	grupo	alternativoj	prononco
level	indiferenta	ไม่แยแส	indifferent	grupo	alternativoj	prononco
level	trotuaro	ทางเท้า, ทางเท้า	a sidewalk, a pavement	grupo	alternativoj	prononco
level	prokrasti	ผัดวันประกันพรุ่ง, ล่าช้า	to procrastinate, to delay	grupo	alternativoj	prononco
level	cikado	จั๊กจั่น	a cicada	grupo	alternativoj	prononco
level	instrumento	เครื่องดนตรี	an instrument	grupo	alternativoj	prononco
level	cedi	ยอมจำนน, ยอมจำนน	to cede, to yield, to give in	grupo	alternativoj	prononco
level	pretendi	ที่จะเรียกร้องที่จะทึกทัก	to claim, to presume	grupo	alternativoj	prononco
level	egoisto	คนเห็นแก่ตัว	an egoist	grupo	alternativoj	prononco
level	insisti	เพื่อยืนยัน	to insist	grupo	alternativoj	prononco
level	naiva	ไร้เดียงสา	naive	grupo	alternativoj	prononco
level	situi	ที่จะตั้งอยู่, ที่จะตั้งอยู่	to be located, to be situated	grupo	alternativoj	prononco
level	penetri	ที่จะเจาะ	to penetrate	grupo	alternativoj	prononco
level	kapitalo	ทุน, ทุน	capital, a capital	grupo	alternativoj	prononco
level	demono	ปีศาจ	a demon	grupo	alternativoj	prononco
level	licenco	ใบอนุญาต	a license	grupo	alternativoj	prononco
level	diferenci	เพื่อสร้างความแตกต่าง	to differentiate	grupo	alternativoj	prononco
level	skorpio	แมงป่อง	a scorpion	grupo	alternativoj	prononco
level	sufoki	หายใจไม่ออกหายใจไม่ออก	to suffocate, to choke	grupo	alternativoj	prononco
level	tordi	บิด, บิดเบี้ยว	to twist, to contort	grupo	alternativoj	prononco
level	kontanta	เป็นเงินสด	in cash	grupo	alternativoj	prononco
level	ĵuri	สาบาน	to swear	grupo	alternativoj	prononco
level	apetita	น่ารับประทาน	appetitizing	grupo	alternativoj	prononco
level	adjektivo	คำคุณศัพท์	an adjective	grupo	alternativoj	prononco
level	pluralo	พหูพจน์	a plural	grupo	alternativoj	prononco
level	aktuala	ความสำคัญในปัจจุบัน เฉพาะประเด็น เร่งด่วน เกี่ยวข้อง	of current importance, topical, urgent, relevant	grupo	alternativoj	prononco
level	gesti	ท่าทาง, การแสดงท่าทาง	to gesture, to gesticulate	grupo	alternativoj	prononco
level	felo	ขน หนัง (ของสัตว์ มีขน) หนัง	fur, hide (of animal, with hair), skin	grupo	alternativoj	prononco
level	mediti	นั่งสมาธิ	to meditate	grupo	alternativoj	prononco
level	kolego	เพื่อนร่วมงาน	a colleague	grupo	alternativoj	prononco
level	amplekso	ขอบเขต, ขอบเขต, ขนาด	extent, scope, magnitude	grupo	alternativoj	prononco
level	kosmetiko	เครื่องสำอาง	cosmetics	grupo	alternativoj	prononco
level	Karlo	ชาร์ลส์, คาร์ลอส	Charles, Carlos	grupo	alternativoj	prononco
level	gluti	กลืน	to swallow	grupo	alternativoj	prononco
level	talento	พรสวรรค์	a talent	grupo	alternativoj	prononco
level	ĝemelo	แฝด	a twin	grupo	alternativoj	prononco
level	deca	เหมาะสม, เหมาะสม, เหมาะสม	decent, proper, suitable	grupo	alternativoj	prononco
level	krono	มงกุฏ	a crown	grupo	alternativoj	prononco
level	ŝimi	ขึ้นรา, ขึ้นรา	to mould, to get moldy	grupo	alternativoj	prononco
level	ŝoforo	คนขับ, คนขับรถ	a driver, a chauffeur	grupo	alternativoj	prononco
level	mistero	ความลึกลับ	a mystery	grupo	alternativoj	prononco
level	absolute	อย่างแน่นอน	absolutely	grupo	alternativoj	prononco
level	laktuko	ผักกาดหอม	a lettuce	grupo	alternativoj	prononco
level	destini	เพื่อกำหนด, บวช, จัดสรร	to destine, to ordain, to allocate	grupo	alternativoj	prononco
level	instigi	เพื่อกระตุ้นเพื่อให้กำลังใจ	to instigate, to encourage	grupo	alternativoj	prononco
level	heroo	วีรบุรุษ	a hero	grupo	alternativoj	prononco
level	ĉaro	รถม้า, เกวียน	a chariot, a cart	grupo	alternativoj	prononco
level	vegetalo	ผัก, พืช	a vegetable, a plant	grupo	alternativoj	prononco
level	adopti	ที่จะนำมาใช้	to adopt	grupo	alternativoj	prononco
level	centimetro	เซนติเมตร	a centimeter	grupo	alternativoj	prononco
level	enuiga	น่าเบื่อและหนักแน่น	boring, stodgy	grupo	alternativoj	prononco
level	flirti	เจ้าชู้พลิ้วไหว	to flirt, to flutter	grupo	alternativoj	prononco
level	mandato	อาณัติ, ธนาณัติ	a mandate, a money order	grupo	alternativoj	prononco
level	envii	อิจฉา	to envy	grupo	alternativoj	prononco
level	ebria	เมา, เมาสุรา	drunk, inebriated	grupo	alternativoj	prononco
level	sudano	ซูดาน	Sudan	grupo	alternativoj	prononco
level	fleksi	ที่จะโค้งงอ	to bend	grupo	alternativoj	prononco
level	naŭzi	คลื่นไส้	to nauseate	grupo	alternativoj	prononco
level	likva	ของเหลว	liquid	grupo	alternativoj	prononco
level	kupro	ทองแดง	copper	grupo	alternativoj	prononco
level	hoko	ตะขอ	a hook	grupo	alternativoj	prononco
level	pafilo	ปืน	a gun	grupo	alternativoj	prononco
level	filmi	ถ่ายทำภาพยนตร์	to film, to shoot a film	grupo	alternativoj	prononco
level	bremso	เบรก	a brake	grupo	alternativoj	prononco
level	tereno	วิทยาเขต ภูมิประเทศ พื้นดิน	a campus, a terrain, a ground	grupo	alternativoj	prononco
level	nigra tabulo	กระดานดำ	a black board	grupo	alternativoj	prononco
level	foiro	งานแสดงสินค้า, ตลาด	a fair, a market	grupo	alternativoj	prononco
level	ĉimpanzo	ชิมแปนซี	a chimpanzee	grupo	alternativoj	prononco
level	aktiva	คล่องแคล่ว	active	grupo	alternativoj	prononco
